	p-value (MWU)
Eosinophil	0.6510766340778344
Erythrocyte	0.9599216609063783
Macs_M0	0.9599216609063783
Macs_M1	0.2912928476178128
Macs_M2	0.9599216609063783
Megakaryocyte	0.6510766340778344
Mono	0.8016135209415048
NK	0.9599216609063783
Naive CD4	0.20900821168836436
Naive  CD8	0.2912928476178128
Plasma	0.2912928476178128
PMN	0.6510766340778344
Tregs	0.9599216609063783
CD4 central memory	0.03936724062349523
CD8 central memory	0.3396859668555279
CD8 effector	0.09725442843900328
CD4 effector memory	0.33849925861354513
CD8 effector memory	0.6874914489810964
iDC	0.9599216609063783
Memory B cell	0.6502754187439113
mDC	0.6510766340778344
Naive B cell	0.3393898596701387
