Celltype	MWU_pvalue
Eosinophil	-0.953011395422729
Erythroblast	-0.31647178784797814
Macrophage (M0)	0.6799884022342944
Macrophage (M1)	0.5958830905651777
Macrophage (M2)	0.5958830905651777
Megakaryocyte	-0.14071352485269262
Monocyte	-0.376759117811582
NK	-0.953011395422729
Naive CD4 T	0.376759117811582
Naive CD8 T	0.376759117811582
Plasma cell	0.768278203545834
Neutrophil	0.8596837951986661
Tregs	0.953011395422729
CD4 TEM	0.0215562667600163
CD8 TCM	-0.953011395422729
CD8 TEMRA	1.0
CD8 TEM	0.5955544485034858
Memory B	-0.5153637324829679
mDC	0.8596837951986661
Naive B	-0.5164930466870377
