	p-value (MWU)
Eosinophil	0.9599216609063783
Erythrocyte	0.20900821168836436
Macs_M0	0.6510766340778344
Macs_M1	0.5804203667959206
Macs_M2	0.7250158324858736
Megakaryocyte	0.07860873623975943
Mono	0.45098231926888266
NK	0.9599216609063783
Naive CD4	0.45098231926888266
Naive  CD8	0.2912928476178128
Plasma	0.9599216609063783
PMN	0.45098231926888266
Tregs	0.8801684549067255
CD4 central memory	0.03936724062349523
CD8 central memory	0.8801684549067255
CD8 effector	0.3929486789354336
CD4 effector memory	0.8011357056575474
CD8 effector memory	0.6508768455769158
iDC	0.02373851525005453
Memory B cell	0.5125439530653285
mDC	0.7250158324858736
Naive B cell	0.5133210590941428
