	Naive CD4	CD4 effector memory	CD4 central memory	Tregs	Naive CD8	CD8 effector memory	CD8 central memory	CD8 effector	NK	Naive B cell	Memory B cell	Plasma	Mono	DC
Naive CD4	0.699639895920291	0.6046408037607734	0.2854381406464364	0.6440706185249965	0.09321121089400418	0.3558935909156165	-0.06297779205123727	0.3851623530187724	-0.2188082282703362	-0.39468333840853914	-0.06845930011933732	-0.31565366159462316	-0.6179838390238163	0.36558848109017605
CD4 effector memory	0.40867424242217204	0.6226165352059473	0.8397060150314574	0.4158693597154317	0.5332950835766254	0.4752478121462171	0.7706508421370991	0.8389651103728577	-0.5618731902697123	0.25304945627936687	-0.6384924528896265	-0.07121071423660637	-0.2992694186139784	-0.16176159108954372
CD4 central memory	0.46988624082256125	0.8320311673986007	0.08255185449518872	0.6770152178804719	-0.04087933131407673	0.08019684759734345	-0.07860367926745677	0.3949182420961149	-0.5165327056337385	-0.30233003097476485	-0.18202333782729926	-0.3369376312541937	-0.5098060743294645	0.43119302699667483
Tregs	0.7670581349028888	-0.13109348127309686	-0.04851825128294083	0.688302836334234	-0.7093961405651416	-0.4052462489727073	-0.35116396734326794	-0.24729695295008636	-0.3388614213245013	-0.03548011698073703	-0.48909365866381255	0.5346405921910163	0.20824191053073693	0.74812362154927
Naive CD8	-0.24191335062977057	0.3129203936037966	0.015310006104769184	-0.2309065358751173	0.5155264192574338	0.6413067810953936	0.007496437414849654	0.050277835021888435	0.32727351226906565	-0.4262029541990431	0.8065240389563135	-0.6757819756014167	-0.6381272932243541	-0.29890491632561655
CD8 effector memory	0.1351771138718229	0.29331763920350257	0.673401879269636	0.4600878472873291	0.2929205861112833	0.33211560928929273	0.8261038614094826	0.5653971550645328	-0.379737008281217	-0.11559629178931535	-0.4629595119268182	-0.08604808559977252	-0.27644402075447266	0.20222041997714232
CD8 central memory	0.3891763174568614	0.8023660879373977	0.8676348249941933	0.48437587358810585	0.6984487912251408	0.7862145030858015	0.7822272324368919	0.8632452016955393	-0.44022675158991287	-0.1124327791865361	-0.2679044644696199	-0.4224618089294931	-0.6976798253262437	-0.09815209631966132
CD8 effector	-0.5026075801337434	0.14814757852862442	0.3833322650120769	-0.5219297297298641	0.8764435482451227	0.647023794140497	0.5701375970003667	0.4859028376158742	0.3785437221045637	-0.04035124408061121	0.34221630681501414	-0.5544441248786554	-0.3708758756618293	-0.7150117059154764
NK	-0.43444106478471495	-0.5766759005303154	-0.6528487091421292	-0.5937871447505777	-0.14463493720955903	-0.32179730972533094	-0.6293426786263046	-0.3629771326570426	0.9136035918678229	-0.32676055859515657	0.5346075433187035	-0.2088872487791282	0.1360097391442757	-0.10185586824074318
Naive B cell	-0.10755982546838692	-0.6711112532972456	-0.024283977436729342	-0.28400668994164996	-0.36204920716225647	-0.42335610111793665	0.07694966646255412	-0.4857482009070477	-0.21383416017341794	0.7858905540086885	-0.4010084587243174	0.8864688415197431	0.885896719070007	-0.20145173361480612
Memory B cell	-0.4388399783520358	-0.25604248006307717	-0.8623626465721307	-0.23861982505965262	-0.5286864956733063	-0.4462810772581881	-0.7245767703520645	-0.76392140973756	0.26152674955448146	-0.31426029048021475	0.6623974405754612	-0.08104257209517314	0.1352315726678129	0.25896849808238065
Plasma	-0.48399336515516284	-0.4574902466101442	-0.40179412910041923	-0.8697116445882375	0.21258402458247513	-0.11635902674423643	-0.4003488961237559	-0.16884409115815652	0.7704536337633547	0.17336197634667544	0.4140184563313096	-0.11512822869206747	0.25945545728770425	-0.6559173664597622
Mono	-0.16365372125612168	-0.7154485375769689	-0.6764803369348755	-0.10682383877445482	-0.9012693103128685	-0.9022632050106683	-0.5636523206004109	-0.818658132102141	-0.006745486374021352	0.24215944497450426	-0.1410657309273615	0.7006694541783549	0.8160425888013669	0.38408072687997097
DC	-0.16036504747506133	-0.5404759167975512	-0.4855116040787694	-0.18298947124690926	-0.7312350123544215	-0.8352942224141183	-0.35885919599215105	-0.6701730550916779	-0.30991326518128737	0.6635054092303775	-0.35880011261387507	0.8430913452730474	0.9520253520400008	0.07759072236008283
