	Naive CD4	CD4 effector memory	CD4 central memory	Tregs	Naive CD8	CD8 effector memory	CD8 central memory	CD8 effector	NK	Naive B cell	Memory B cell	Plasma	Mono	DC
Naive CD4	0.7371404172434408	0.7427335752698155	0.7760376207506408	0.5244607495650374	0.54576125647153	0.3558935909156165	-0.06297779205123727	0.3851623530187724	-0.34780560731597876	-0.07711505752342462	-0.04090790497586852	-0.31565366159462316	-0.5678136691181823	-0.7758503844658426
CD4 effector memory	0.41166280915278336	0.6265224997824247	0.6176718433973372	0.410846186103384	0.5022474832912992	0.4752478121462171	0.7706508421370991	0.8389651103728577	-0.7089148575404248	-0.30265974285173836	-0.6068737695564859	-0.07121071423660637	-0.4334564113852938	-0.09720181708435165
CD4 central memory	0.7313246698886139	0.8767990517116692	0.7060427771323333	0.47182605038732733	0.4171699611955494	0.08019684759734345	-0.07860367926745677	0.3949182420961149	-0.5338760548523779	-0.09410801924411524	0.21895394981640526	-0.3369376312541937	-0.12622431541266238	-0.5655210294844478
Tregs	0.4332978882605374	0.11611026810769358	0.3409632593980955	0.8215043725729371	-0.384240809882834	-0.4052462489727073	-0.35116396734326794	-0.24729695295008636	-0.23277100155702238	-0.574410453988095	-0.040208895452177214	0.5346405921910163	-0.34737428867044756	-0.018961973341742388
Naive CD8	-0.03460985492549494	0.21733227942803088	0.1290551657486584	-0.40310426534538973	0.706990234566887	0.6413067810953936	0.007496437414849654	0.050277835021888435	0.14239937994736043	0.8000532884292133	0.14750124283691202	-0.6757819756014167	-0.07584883004834032	-0.6995502640837132
CD8 effector memory	0.337703307757573	0.08027113429736096	0.49825265288352166	0.3883300972833564	0.19331398428875263	0.33211560928929273	0.8261038614094826	0.5653971550645328	-0.4013070437962387	-0.27051518166745314	-0.2218691713884547	-0.08604808559977252	-0.008703181339700182	0.48772131492484444
CD8 central memory	0.5390584933003975	0.7360256992291629	0.8174411560433551	0.36362029194775075	0.8370504145787737	0.7862145030858015	0.7822272324368919	0.8632452016955393	-0.6578232313179394	0.03250807699796988	-0.4505451306226065	-0.4224618089294931	-0.4702603274380779	-0.39982291527364017
CD8 effector	-0.2426474023524593	-0.0724790654246991	-0.09515030407457983	-0.6311741681963486	0.5352598439225307	0.647023794140497	0.5701375970003667	0.4859028376158742	0.19334703860490515	0.41708076414023404	-0.1978131201424684	-0.5544441248786554	0.013339803018803458	-0.03198545761124557
NK	-0.2677894075762657	-0.6212448441244338	-0.5990101067543501	-0.6618082131817961	-0.3735615060422797	-0.32179730972533094	-0.6293426786263046	-0.3629771326570426	0.9831824118673772	0.05816362006936577	0.533134818004756	-0.2088872487791282	0.2630097902342095	0.10430902014832438
Naive B cell	-0.651584350271415	-0.5441753239768861	-0.5652433202254866	0.07169822071974974	-0.6497818465346745	-0.42335610111793665	0.07694966646255412	-0.4857482009070477	-0.10498547816504084	-0.22536887570918854	-0.4720293776411952	0.8864688415197431	0.07967145026023564	0.6403511255746747
Memory B cell	-0.27668816021902815	-0.31459394206541086	-0.4364371350774367	-0.33167127629977167	-0.3301548128179511	-0.4462810772581881	-0.7245767703520645	-0.76392140973756	0.4254251586315727	0.45029416355621943	0.7541439283657746	-0.08104257209517314	0.605207204974082	-0.029200551061153327
Plasma	-0.5195151498139103	-0.4087358495178961	-0.7084142244279624	-0.8251076856272347	-0.15295873026511322	-0.11635902674423643	-0.4003488961237559	-0.16884409115815652	0.7286871274073471	0.16497661987080606	0.05748390668474068	-0.11512822869206747	0.052843200910947755	-0.09668893164762568
Mono	-0.38923341095956826	-0.644813621592062	-0.6024373754160668	0.06692634465307103	-0.9713249181196132	-0.9022632050106683	-0.5636523206004109	-0.818658132102141	0.27547814910675145	-0.2916896286727356	0.32357262685519145	0.7006694541783549	0.4843929074795077	0.6682685848196556
DC	-0.5217514249720188	-0.40611373386915645	-0.6214979347878176	0.07216265906027608	-0.8570187316869806	-0.8352942224141183	-0.35885919599215105	-0.6701730550916779	-0.07268125032689535	-0.2775381342042213	-0.011201229548857473	0.8430913452730474	0.4038357824591076	0.5946473619486965
