	Naive CD4	CD4 effector memory	CD4 central memory	Tregs	Naive CD8	CD8 effector memory	CD8 central memory	CD8 effector	NK	Naive B cell	Memory B cell	Plasma	Mono	DC
Naive CD4	0.35714285714285715	0.7142857142857143	0.6428571428571429	0.03571428571428571	0.6071428571428571	0.25	0.16216874328520062	0.23424374030084533	-0.39285714285714285	0.0	0.21428571428571427	-0.39295262399668784	-0.39285714285714285	-0.8928571428571429
CD4 effector memory	0.5	0.6428571428571429	0.7142857142857143	0.5357142857142857	0.5	0.42857142857142855	0.6847124716486248	0.7748062179181807	-0.6785714285714286	-0.25	-0.4642857142857143	-0.03742405942825599	-0.10714285714285714	-0.14285714285714285
CD4 central memory	0.6785714285714286	0.8214285714285714	0.6785714285714286	0.42857142857142855	0.35714285714285715	-0.14285714285714285	0.07207499701564471	0.3423562358243124	-0.5357142857142857	-0.17857142857142858	0.14285714285714285	-0.018712029714127994	0.07142857142857142	-0.5714285714285714
Tregs	0.03571428571428571	-0.39285714285714285	-0.17857142857142858	0.32142857142857145	-0.6428571428571429	-0.6071428571428571	-0.4865062298556018	-0.5765999761251577	0.14285714285714285	-0.5	-0.35714285714285715	0.7297691588509917	-0.42857142857142855	0.10714285714285714
Naive CD8	-0.07142857142857142	0.39285714285714285	0.2857142857142857	-0.5357142857142857	0.7142857142857143	0.5714285714285714	0.19820624179302296	0.1801874925391118	0.0	0.4642857142857143	0.5714285714285714	-0.8420413371357598	-0.21428571428571427	-0.7142857142857143
CD8 effector memory	0.35714285714285715	0.2857142857142857	0.7142857142857143	0.8928571428571429	0.39285714285714285	0.2857142857142857	0.7567874686642695	0.3423562358243124	-0.8571428571428571	-0.10714285714285714	-0.5	0.39295262399668784	0.0	0.10714285714285714
CD8 central memory	0.42857142857142855	0.5714285714285714	0.8571428571428571	0.4642857142857143	0.7857142857142857	0.7142857142857143	0.900937462695559	0.7387687194103583	-0.7142857142857143	0.07142857142857142	-0.21428571428571427	-0.22454435656953592	-0.10714285714285714	-0.17857142857142858
CD8 effector	0.0	-0.03571428571428571	0.07142857142857142	-0.35714285714285715	0.35714285714285715	0.7142857142857143	0.4865062298556018	0.6306562238868912	0.21428571428571427	0.25	0.07142857142857142	-0.5426488617097118	0.03571428571428571	0.32142857142857145
NK	-0.14285714285714285	-0.5	-0.6428571428571429	-0.75	-0.5357142857142857	-0.21428571428571427	-0.6486749731408025	-0.16216874328520062	1.0	-0.03571428571428571	0.35714285714285715	-0.20583232685540792	-0.07142857142857142	0.32142857142857145
Naive B cell	-0.5	-0.7857142857142857	-0.5	-0.10714285714285714	-0.32142857142857145	0.17857142857142858	0.16216874328520062	-0.16216874328520062	0.32142857142857145	0.14285714285714285	-0.2857142857142857	0.20583232685540792	0.10714285714285714	0.8214285714285714
Memory B cell	-0.5714285714285714	-0.2857142857142857	-0.42857142857142855	-0.35714285714285715	0.0	-0.25	-0.3423562358243124	-0.7567874686642695	0.14285714285714285	0.6428571428571429	0.6785714285714286	-0.14969623771302396	0.4642857142857143	-0.17857142857142858
Plasma	-0.6071428571428571	-0.5	-0.8214285714285714	-0.7857142857142857	-0.42857142857142855	-0.10714285714285714	-0.504524979109513	-0.32433748657040123	0.75	0.07142857142857142	0.10714285714285714	-0.2619684159977919	-0.07142857142857142	0.14285714285714285
Mono	-0.10714285714285714	-0.6428571428571429	-0.39285714285714285	0.42857142857142855	-0.7857142857142857	-0.6785714285714286	-0.3964124835860459	-0.61263747463298	0.14285714285714285	-0.32142857142857145	-0.35714285714285715	0.8981774262781437	0.07142857142857142	0.6071428571428571
DC	-0.32142857142857145	-0.21428571428571427	-0.4642857142857143	0.35714285714285715	-0.5	-0.6785714285714286	-0.28829998806257884	-0.504524979109513	-0.21428571428571427	-0.03571428571428571	-0.21428571428571427	0.5987849508520958	0.6428571428571429	0.32142857142857145
