	mB	em8	NaiveCD4	Tregs	PC	NK	cm4	ed8	cm8	NaiveCD8	Mono	em4	nB
mB	0.7027045205408882	-0.35211738477423093	-0.4195722893978577	-0.24923489356640116	-0.12634431745473618	0.23857988904899216	-0.8123358065736913	-0.7243148981012907	-0.6979518633917432	-0.4463077848946947	0.0738607730831441	-0.1803320972000884	-0.2945533728970644
em8	-0.4845468988192825	0.40652597310228483	0.17826941782048256	0.45201768384672686	-0.10800977449345484	-0.38976799611796714	0.7477832956742976	0.6433014794549976	0.8674822960585412	0.3783593922510341	-0.31303867609970304	0.347467411059194	-0.07512656101222491
NaiveCD4	-0.1567237797181438	0.46326629636008715	0.7321241502857667	0.6378141851303231	-0.31820889637767885	-0.26829031693055616	0.44363816377646376	0.5254366582990714	0.08708442886967495	0.23172792119077848	-0.6423356345660747	0.6665704589597544	-0.30629304392887247
Tregs	-0.6081746749824127	-0.2194302542811623	0.8971820882447312	0.7615438187156536	0.49492052446333706	-0.4209416164246254	0.19422899121093357	-0.02394665167107421	-0.16222081306832845	-0.5215263070335616	0.09964403811353717	0.010997865743857858	0.021768423996576348
PC	0.2895581980972263	0.08644556717809637	-0.3607729148909301	-0.8049790186978065	-0.16790290503227906	0.684985367293954	-0.14117228612980803	0.08041480960476677	-0.19018841418618265	0.428347608396191	0.14161798919203128	-0.2982662740115353	0.24003082311577084
NK	0.4957676683137288	-0.20915553147459023	-0.3859059192528952	-0.6189576664610186	-0.24858893695121106	0.9497838646883868	-0.5278340509974538	-0.23137742409791456	-0.5432070751134509	-0.00578326315535412	0.08207087335725693	-0.5404354202213674	-0.29353420388236756
cm4	-0.2770203033581563	0.25038141540469944	0.5388059619102064	0.6754247791202422	-0.34472920150772746	-0.5588729391733678	0.3043505978301508	0.5722569061499112	0.11267012770010777	0.14849816539428073	-0.5623298021305039	0.9014428984981921	-0.20578480839265928
ed8	0.24971229756204769	0.68516024870753	-0.412513350674614	-0.4503149341692204	-0.5374472915045448	0.3048168880453199	0.4747574388890688	0.5709399296103638	0.6295966228072474	0.9089649501697481	-0.39459513705415694	0.21451991675889745	-0.005057868986196793
cm8	-0.2944208548478256	0.7778019781973569	0.39041634657183655	0.4666708681606448	-0.4044345643338169	-0.43795798570177735	0.877407741213628	0.8769305155517845	0.7889644352117061	0.7076431007374678	-0.6737970355987318	0.7914204337532855	-0.07927420533241393
NaiveCD8	0.716532729556315	0.7394961259385887	-0.16796169728119814	-0.19452213120449663	-0.6865815600206728	0.26484725741031384	0.1599916742536331	0.18897370968617627	0.12286589426123445	0.6271810713215833	-0.684734215116751	0.4005975695768548	-0.3663758962043073
Mono	-0.2334799017625373	-0.8894891579336961	-0.10507254317730562	-0.0861581162810521	0.7725355454053893	-0.05441081324826149	-0.5981276915739628	-0.7830199368221068	-0.5051388111575824	-0.8868509539027566	0.8577184840027174	-0.7281960053047015	0.3215988289080231
em4	-0.6048358695077185	0.5201664473521935	0.40493777221555544	0.39013475572346534	-0.1050675166286883	-0.5225838037086664	0.8570142902365708	0.858216898840941	0.777525936745518	0.5790836412473876	-0.3309034892670933	0.6259442793951195	0.23910414598388635
nB	-0.48655638331718193	-0.2829034558808464	-0.03143667524983389	-0.24037649600858038	0.8486067386422183	-0.27207652840696617	0.15774532662527913	-0.31336640481359784	0.2314053267858884	-0.21170540412271915	0.8047966062068974	-0.5648489116108786	0.8284076599219491
