	mB	em8	NaiveCD4	Tregs	PC	NK	cm4	ed8	cm8	NaiveCD8	Mono	em4	nB
mB	0.6785714285714286	-0.25	-0.75	-0.14285714285714285	-0.14969623771302396	0.0	-0.5714285714285714	-0.7567874686642695	-0.3423562358243124	-0.6071428571428571	0.10714285714285714	-0.32142857142857145	-0.42857142857142855
em8	-0.7142857142857143	0.2857142857142857	0.5714285714285714	0.5714285714285714	0.2993924754260479	-0.6071428571428571	0.75	0.5946187253790689	0.6666937223947136	0.6071428571428571	-0.2857142857142857	0.6071428571428571	0.42857142857142855
NaiveCD4	-0.03571428571428571	0.42857142857142855	0.2857142857142857	0.21428571428571427	-0.39295262399668784	-0.32142857142857145	0.5714285714285714	0.4144312328399571	0.37839373433213475	0.35714285714285715	-0.75	0.7142857142857143	-0.14285714285714285
Tregs	-0.7142857142857143	-0.6785714285714286	0.4642857142857143	0.5357142857142857	0.9168894559922717	-0.17857142857142858	-0.07142857142857142	-0.28829998806257884	-0.37839373433213475	-0.6071428571428571	0.25	-0.21428571428571427	-0.10714285714285714
PC	0.4642857142857143	0.21428571428571427	-0.10714285714285714	-1.0	-0.5426488617097118	0.6071428571428571	-0.42857142857142855	-0.16216874328520062	-0.2522624895547565	0.03571428571428571	0.21428571428571427	-0.5	0.2857142857142857
NK	0.39285714285714285	-0.21428571428571427	-0.17857142857142858	-0.6071428571428571	-0.20583232685540792	0.9285714285714286	-0.5357142857142857	-0.16216874328520062	-0.6486749731408025	-0.35714285714285715	0.32142857142857145	-0.6428571428571429	-0.32142857142857145
cm4	-0.2857142857142857	0.03571428571428571	0.21428571428571427	0.75	-0.018712029714127994	-0.5714285714285714	0.5	0.5225437283634242	0.28829998806257884	0.32142857142857145	-0.39285714285714285	0.9285714285714286	-0.17857142857142858
ed8	0.25	0.7142857142857143	-0.07142857142857142	-0.42857142857142855	-0.5426488617097118	0.4642857142857143	0.35714285714285715	0.6306562238868912	0.4865062298556018	0.7857142857142857	-0.17857142857142858	0.0	0.21428571428571427
cm8	-0.21428571428571427	0.7142857142857143	0.21428571428571427	0.39285714285714285	-0.22454435656953592	-0.42857142857142855	0.8928571428571429	0.7387687194103583	0.900937462695559	0.8571428571428571	-0.6428571428571429	0.7142857142857143	0.17857142857142858
NaiveCD8	0.6071428571428571	0.5714285714285714	-0.21428571428571427	-0.39285714285714285	-0.8420413371357598	0.17857142857142858	0.17857142857142858	0.1801874925391118	0.19820624179302296	0.2857142857142857	-0.6071428571428571	0.2857142857142857	-0.25
Mono	-0.5	-0.7857142857142857	0.17857142857142858	0.32142857142857145	0.8981774262781437	-0.03571428571428571	-0.39285714285714285	-0.504524979109513	-0.5225437283634242	-0.7142857142857143	0.5714285714285714	-0.5	-0.03571428571428571
em4	-0.5	0.42857142857142855	0.4642857142857143	0.39285714285714285	-0.03742405942825599	-0.5	0.7142857142857143	0.7748062179181807	0.6847124716486248	0.8214285714285714	-0.2857142857142857	0.75	0.4642857142857143
nB	-0.21428571428571427	0.39285714285714285	0.17857142857142858	-0.35714285714285715	0.16840826742715195	0.10714285714285714	0.21428571428571427	0.018018749253911177	0.43244998209386826	0.32142857142857145	0.07142857142857142	-0.4642857142857143	0.5714285714285714
