	NaiveCD8	NaiveCD4	mB	em4	ed8	nB	NK	Tregs	cm4	cm8	em8	PC	Mono
NaiveCD8	0.8058272170110964	0.015062545365849786	0.016432537089344623	0.3210850974352445	0.18897370968617627	0.7612987281604192	0.04278747944918245	-0.35710865651332624	0.21584096921688073	0.12286589426123445	0.7394961259385887	-0.6865815600206728	-0.18642012865316607
NaiveCD4	0.6365884805327363	0.7423549218953148	-0.19357617306318955	0.8093092830784263	0.5254366582990714	-0.10454963827626798	-0.43603186648718734	0.5353598717096352	0.8272466351949909	0.08708442886967495	0.46326629636008715	-0.31820889637767885	-0.66057485634884
mB	-0.2170129197292784	-0.2753203371379514	0.6950629133406611	-0.22271828584657993	-0.7243148981012907	0.5278818123512506	0.36741516370498045	-0.3432287046833583	-0.39516665549575586	-0.6979518633917432	-0.35211738477423093	-0.12634431745473618	0.5398152005109745
em4	0.5426551236134163	0.40822850743792577	-0.6223203581329964	0.6307552400219184	0.858216898840941	-0.2757332419961545	-0.6863735438345655	0.3818145685168671	0.6206386968825572	0.777525936745518	0.5201664473521935	-0.1050675166286883	-0.46454602730551325
ed8	0.5814905698690606	-0.1769119506679809	-0.2779454477612096	0.014824468216751069	0.5709399296103638	0.35757555111930867	0.10346991812235838	-0.550867793114951	-0.011315020485239876	0.6295966228072474	0.68516024870753	-0.5374472915045448	-0.06842536930986205
nB	-0.5158196327558604	-0.5881107373811515	-0.617375858371122	-0.43190517327326444	-0.31336640481359784	-0.2543662646916597	-0.2109400922920499	0.11807560089276921	-0.4527367632766231	0.2314053267858884	-0.2829034558808464	0.8486067386422183	-0.046131033284845975
NK	-0.27609094667243217	-0.24180437886120246	0.41170978572770883	-0.5689918128960545	-0.23137742409791456	0.031124256532867982	0.9727563109126385	-0.678491299829573	-0.5527881295119345	-0.5432070751134509	-0.20915553147459023	-0.24858893695121106	0.13438242884391594
Tregs	-0.2037715826172916	0.5301732515873936	-0.2427991098562174	0.27951831603728317	-0.02394665167107421	-0.6204779649318491	-0.38078147601783124	0.9036259601361203	0.5030566471114782	-0.16222081306832845	-0.2194302542811623	0.49492052446333706	-0.5403233598872339
cm4	0.55647769737628	0.7459070532308013	0.0028146333837947802	0.9615259549225694	0.5722569061499112	-0.11778905183489936	-0.6377994687287724	0.49750338556149776	0.7891234653327711	0.11267012770010777	0.25038141540469944	-0.34472920150772746	-0.2890168091370148
cm8	0.8254037677552495	0.5271513272995608	-0.47663632663300526	0.7323527663555619	0.8769305155517845	0.008728387297512545	-0.657031732979618	0.35542576085474487	0.8016556153426083	0.7889644352117061	0.7778019781973569	-0.4044345643338169	-0.482318590231111
em8	0.2757980386672648	0.35534323810793483	-0.3078557446657095	0.15684626014382275	0.6433014794549976	-0.267192856427953	-0.4444434713035658	0.3877350096083065	0.5377939983253214	0.8674822960585412	0.40652597310228483	-0.10800977449345484	-0.09900107305751904
PC	0.04628240103418356	-0.4228230627583805	-0.15852929570348426	-0.23164625590579718	0.08041480960476677	0.1218104361358723	0.5714815325468451	-0.7541941465834838	-0.5420689243242324	-0.19018841418618265	0.08644556717809637	-0.16790290503227906	-0.14404478146959276
Mono	-0.9785848608028495	-0.3920715498840726	0.21801927652453693	-0.6333457203778647	-0.7830199368221068	-0.3530075203900118	0.2181093104068283	0.12202432362365469	-0.5844311125919056	-0.5051388111575824	-0.8894891579336961	0.7725355454053893	0.4145338182736678
