	NaiveCD8	NaiveCD4	mB	em4	ed8	nB	NK	Tregs	cm4	cm8	em8	PC	Mono
NaiveCD8	0.7142857142857143	-0.07142857142857142	0.5714285714285714	0.39285714285714285	0.1801874925391118	0.4642857142857143	0.0	-0.5357142857142857	0.2857142857142857	0.19820624179302296	0.5714285714285714	-0.8420413371357598	-0.21428571428571427
NaiveCD4	0.7142857142857143	0.42857142857142855	0.07142857142857142	0.75	0.4144312328399571	-0.03571428571428571	-0.5	0.14285714285714285	0.7857142857142857	0.37839373433213475	0.42857142857142855	-0.39295262399668784	-0.4642857142857143
mB	0.0	-0.5714285714285714	0.6785714285714286	-0.2857142857142857	-0.7567874686642695	0.6428571428571429	0.14285714285714285	-0.35714285714285715	-0.42857142857142855	-0.3423562358243124	-0.25	-0.14969623771302396	0.4642857142857143
em4	0.5	0.5	-0.4642857142857143	0.6428571428571429	0.7748062179181807	-0.25	-0.6785714285714286	0.5357142857142857	0.7142857142857143	0.6847124716486248	0.42857142857142855	-0.03742405942825599	-0.10714285714285714
ed8	0.35714285714285715	0.0	0.07142857142857142	-0.03571428571428571	0.6306562238868912	0.25	0.21428571428571427	-0.35714285714285715	0.07142857142857142	0.4865062298556018	0.7142857142857143	-0.5426488617097118	0.03571428571428571
nB	-0.07142857142857142	-0.42857142857142855	-0.5357142857142857	-0.5357142857142857	0.018018749253911177	0.03571428571428571	0.0	0.07142857142857142	-0.21428571428571427	0.43244998209386826	0.39285714285714285	0.16840826742715195	-0.14285714285714285
NK	-0.5357142857142857	-0.14285714285714285	0.35714285714285715	-0.5	-0.16216874328520062	-0.03571428571428571	1.0	-0.75	-0.6428571428571429	-0.6486749731408025	-0.21428571428571427	-0.20583232685540792	-0.07142857142857142
Tregs	-0.7142857142857143	0.32142857142857145	-0.5714285714285714	-0.25	-0.28829998806257884	-0.7142857142857143	0.0	0.6071428571428571	-0.03571428571428571	-0.37839373433213475	-0.6785714285714286	0.9168894559922717	-0.2857142857142857
cm4	0.4642857142857143	0.75	0.0	0.8571428571428571	0.5225437283634242	-0.21428571428571427	-0.6428571428571429	0.5357142857142857	0.8214285714285714	0.28829998806257884	0.03571428571428571	-0.018712029714127994	0.0
cm8	0.7857142857142857	0.42857142857142855	-0.21428571428571427	0.5714285714285714	0.7387687194103583	0.07142857142857142	-0.7142857142857143	0.4642857142857143	0.8571428571428571	0.900937462695559	0.7142857142857143	-0.22454435656953592	-0.10714285714285714
em8	0.32142857142857145	0.5	-0.6785714285714286	0.4642857142857143	0.5946187253790689	-0.39285714285714285	-0.75	0.7857142857142857	0.7142857142857143	0.6666937223947136	0.2857142857142857	0.2993924754260479	-0.21428571428571427
PC	-0.07142857142857142	-0.6071428571428571	0.21428571428571427	-0.32142857142857145	-0.16216874328520062	0.25	0.6071428571428571	-0.8571428571428571	-0.6071428571428571	-0.2522624895547565	0.21428571428571427	-0.5426488617097118	-0.14285714285714285
Mono	-0.8928571428571429	0.0	-0.42857142857142855	-0.5357142857142857	-0.504524979109513	-0.5	0.21428571428571427	0.39285714285714285	-0.42857142857142855	-0.5225437283634242	-0.7857142857142857	0.8981774262781437	0.03571428571428571
