File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF206XGR	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR598OBF	WGBS	/human-donors/ENCDO271OUW/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF737DVV/	2039861133	ENCODE Processing Pipeline	0f26c3a0027f221deeb2b264ab767198		https://www.encodeproject.org/files/ENCFF206XGR/@@download/ENCFF206XGR.bigWig				released	s3://encode-public/2021/03/01/43af69c3-9a4d-4f34-807a-26f42cbb3a07/ENCFF206XGR.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF440OPK	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR598OBF	WGBS	/human-donors/ENCDO271OUW/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF586VVJ/	1240106709	ENCODE Processing Pipeline	c4ce3b3bdf7fd993257469d8e64e1f52		https://www.encodeproject.org/files/ENCFF440OPK/@@download/ENCFF440OPK.bigBed				released	s3://encode-public/2021/03/01/7750e89a-88c1-4eab-b4c7-504d4ec0ac41/ENCFF440OPK.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF586VVJ	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR598OBF	WGBS	/human-donors/ENCDO271OUW/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF737DVV/	685276092	ENCODE Processing Pipeline	7a2b4a50215da2d236bc5a7c4aaf60b2		https://www.encodeproject.org/files/ENCFF586VVJ/@@download/ENCFF586VVJ.bed.gz				released	s3://encode-public/2021/03/01/7ed38569-2c8c-4dd1-a231-de754343e22a/ENCFF586VVJ.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF391LLV	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR598OBF	WGBS	/human-donors/ENCDO271OUW/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF737DVV/	2037487430	ENCODE Processing Pipeline	8628312fff8e443957d650246320e0bf		https://www.encodeproject.org/files/ENCFF391LLV/@@download/ENCFF391LLV.bigWig				released	s3://encode-public/2021/03/01/20e8a590-28d8-4edb-a798-b1dc7cc45dab/ENCFF391LLV.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF911ZIV	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR156JXJ	WGBS	/human-donors/ENCDO451RUA/	UBERON:0001157	transverse colon	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF504OJG/, /files/ENCFF792NJK/	469987644	ENCODE Processing Pipeline	4e56afad0785e3727c2fa354ac770f84		https://www.encodeproject.org/files/ENCFF911ZIV/@@download/ENCFF911ZIV.bed.gz				released	s3://encode-public/2021/03/03/65470b4e-cb8b-45e9-a28c-12ecf5b88320/ENCFF911ZIV.bed.gz	ENCODE4 v1.1.5 GRCh38	released	low coverage		
ENCFF452VCS	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR156JXJ	WGBS	/human-donors/ENCDO451RUA/	UBERON:0001157	transverse colon	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF504OJG/, /files/ENCFF792NJK/	1531804101	ENCODE Processing Pipeline	f641d303a04bc2975e852e60941fd0d5		https://www.encodeproject.org/files/ENCFF452VCS/@@download/ENCFF452VCS.bigWig				released	s3://encode-public/2021/03/03/8e1c7687-b6fd-4d87-a094-916fb7bb637a/ENCFF452VCS.bigWig	ENCODE4 v1.1.5 GRCh38	released	low coverage		
ENCFF875JEL	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR156JXJ	WGBS	/human-donors/ENCDO451RUA/	UBERON:0001157	transverse colon	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF504OJG/, /files/ENCFF792NJK/	1548817431	ENCODE Processing Pipeline	4246fda2e79753ceaeb699111146fb8a		https://www.encodeproject.org/files/ENCFF875JEL/@@download/ENCFF875JEL.bigWig				released	s3://encode-public/2021/03/03/78da0b5b-a411-4f0e-86d3-b420c4d3265d/ENCFF875JEL.bigWig	ENCODE4 v1.1.5 GRCh38	released	low coverage		
ENCFF169BVN	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR156JXJ	WGBS	/human-donors/ENCDO451RUA/	UBERON:0001157	transverse colon	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF911ZIV/	980932133	ENCODE Processing Pipeline	7cffc74b71de570c32752c87e4f6248c		https://www.encodeproject.org/files/ENCFF169BVN/@@download/ENCFF169BVN.bigBed				released	s3://encode-public/2021/03/03/df7b39d3-f19a-4c6a-9aa5-f5b49bf3927d/ENCFF169BVN.bigBed	ENCODE4 v1.1.5 GRCh38	released	low coverage		
ENCFF821OMH	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR224CTR	WGBS	/human-donors/ENCDO845WKR/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF041MJS/, /files/ENCFF792NJK/	657420035	ENCODE Processing Pipeline	cb2d15dc7f4f62f344c89f6dccf077ea		https://www.encodeproject.org/files/ENCFF821OMH/@@download/ENCFF821OMH.bed.gz				released	s3://encode-public/2021/03/03/be54a63e-3b4a-4b9c-9377-46bd0771be7c/ENCFF821OMH.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF318ZNK	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR224CTR	WGBS	/human-donors/ENCDO845WKR/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF821OMH/, /files/ENCFF792NJK/	1206554772	ENCODE Processing Pipeline	cef00d7e39cc31964dca6ee191f620e2		https://www.encodeproject.org/files/ENCFF318ZNK/@@download/ENCFF318ZNK.bigBed				released	s3://encode-public/2021/03/03/600f9f2c-ebf5-48de-bcaf-adafe98c6a8d/ENCFF318ZNK.bigBed	ENCODE4 v1.1.5 GRCh38	released			
