Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL
Y-3674-cfDNA	69.72415605478572	41.19538359919714	125.98521844618764	179.92814737457647	0	262.40543721044855	70.32421937487496	175.85309160557242	138.6177079338528	84.64016509582501	88.53466208825823	1482.6918174320347	89.15314124934574	100.80911915566223	1038.8902357683476	45.4193080528472	147.44860133152517	224.8645070758275	283.7077075315999	59.80787170847434	256.01773308294344	164.21599969536965	10.979527777777779
Y-3685-cfDNA	108.577934871331	89.71413510724027	207.3058731736978	308.4856430477498	0	391.0704166395892	127.89468227038816	321.3715527573378	276.7652147774568	144.14585859635034	138.05847203156304	1821.0551657057972	139.87132733451256	180.80042979344262	1810.8421352783373	96.9601171845208	217.7079513763747	406.37419195194536	554.2294838012186	97.25172041152432	510.3741240553936	302.28398945062355	11.491824999999997
Y-3688-cfDNA	139.54884286638264	97.94800415175786	242.47772101055168	297.5208782810998	0	376.91013234397315	158.84678199221884	427.41317373333163	309.2417169750933	148.12739238127534	159.98084617438764	1028.1255018639756	185.3013171047313	280.64082763523544	1792.1197335380314	124.049654072853	389.7460697110562	411.5340368395522	679.3760185765935	149.66938535331343	586.2303875038392	369.9656113136391	4.274583333333333
Y-3694-cfDNA	127.774600044497	86.23779384086944	255.5593789098198	361.74284886212087	0	646.5515817741765	171.1606067413606	377.17372873594485	342.96692362563425	171.92927146616853	182.3587768104278	1364.1101091383835	170.52611161181375	221.86126010184395	1882.7881190841836	95.61751659232151	266.082517311864	425.1447173650073	580.3440310992064	132.7125319370712	472.4380544332427	340.0641820763482	9.409250000000002
Y-3703-cfDNA	97.60777056046356	51.60331236671541	146.84944846866014	217.3490656295534	0	268.10324496379695	95.64294141902806	244.5031219351319	231.10424535324236	89.23499766466328	114.8523555736947	997.7320532567427	128.51542477981127	182.07617365039366	1225.3724429734325	74.13223412729116	224.62800537306632	313.08633660932384	415.910435297521	95.94792462890733	451.39372051082813	237.8299307829752	8.027000000000001
Y-3706-cfDNA	139.01929242855797	65.09841535634335	251.35889925596146	273.3397021724779	0	528.3204066270164	128.8132156008461	380.44561847370323	302.1223538702902	168.56612740407368	164.12168652848138	1591.1571555669104	216.7252990888237	266.7923873618806	1745.6094175358999	120.4178945012994	312.9875714441962	473.81078431160074	642.5937138207669	138.77247335010398	540.0818360988229	344.53466537975527	9.895748611111111
Y-3707-cfDNA	48.23408456417288	22.391011212561946	75.40270590320029	103.95247385531826	0	130.15056036587907	36.08973746927809	114.16985225457418	91.43595957168867	44.84626115982615	57.20335715906545	658.1456449146928	41.08018800622207	59.91377132877095	471.13917689751236	28.95763498599685	56.245685219125825	111.21594612305276	222.97648198622903	34.321942262435996	179.40611935693897	94.34127177632801	2.3671666666666664
Y-3711-cfDNA	889.637146837403	681.3335125149028	1297.045885808367	1998.519221929736	0	2183.730573408978	653.1451216729223	1726.315659077189	1636.9757116327035	696.5332019882346	788.0011144467662	7545.356398405307	1450.2152312938597	2035.4540953126032	9506.472695487268	799.3784913409584	2315.5848749462098	3336.121157207011	2792.0008053723045	1091.7247705413322	2268.8368655949207	2001.4605382849277	82.17461111111112
Y-3715-cfDNA	61.520039864698546	49.56354668634915	121.84925978509416	166.53630985968474	0	239.4955083538137	65.68346203329445	191.32835118371446	163.98246953734343	81.04007615580298	83.2126347041217	1116.710109570575	88.00582729306446	101.11734281308814	1066.2061784499565	55.41957189965478	127.82498951713698	188.27904219523717	289.84596625101125	71.09989226854631	289.7677133336582	172.9476230143202	10.16838888888889
Y-3720-cfDNA	693.5820036719056	460.12227127536323	1100.725162479563	1217.9427020965595	0	1806.2761434831723	514.1777893466369	1413.7041934716447	1165.6508354026357	550.1323830440987	629.9000874346684	6304.585085640741	1162.576381350301	1391.0558598518296	6448.818998828851	655.9851573521267	1825.5784256032193	2149.5700272963923	2513.4806689196585	867.038752070989	1987.2405457466657	1772.262353884333	48.11259722222221
