Mixture	NaiveCD4	NaiveCD8	nB	NK	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Tregs	em4	ed8	cm4	mB	CD8TIL
Y-3674-cfDNA	69.72415605	41.1953836	125.9852184	179.9281474	262.4054372	70.32421937	175.8530916	138.6177079	84.6401651	88.53466209	1482.691817	89.15314125	100.8091192	45.41930805	147.4486013	224.8645071	59.80787171	164.2159997	10.97952778
Y-3685-cfDNA	108.5779349	89.71413511	207.3058732	308.485643	391.0704166	127.8946823	321.3715528	276.7652148	144.1458586	138.058472	1821.055166	139.8713273	180.8004298	96.96011718	217.7079514	406.374192	97.25172041	302.2839895	11.491825
Y-3688-cfDNA	139.5488429	97.94800415	242.477721	297.5208783	376.9101323	158.846782	427.4131737	309.241717	148.1273924	159.9808462	1028.125502	185.3013171	280.6408276	124.0496541	389.7460697	411.5340368	149.6693854	369.9656113	4.274583333
Y-3694-cfDNA	127.7746	86.23779384	255.5593789	361.7428489	646.5515818	171.1606067	377.1737287	342.9669236	171.9292715	182.3587768	1364.110109	170.5261116	221.8612601	95.61751659	266.0825173	425.1447174	132.7125319	340.0641821	9.40925
Y-3703-cfDNA	97.60777056	51.60331237	146.8494485	217.3490656	268.103245	95.64294142	244.5031219	231.1042454	89.23499766	114.8523556	997.7320533	128.5154248	182.0761737	74.13223413	224.6280054	313.0863366	95.94792463	237.8299308	8.027
Y-3706-cfDNA	139.0192924	65.09841536	251.3588993	273.3397022	528.3204066	128.8132156	380.4456185	302.1223539	168.5661274	164.1216865	1591.157156	216.7252991	266.7923874	120.4178945	312.9875714	473.8107843	138.7724734	344.5346654	9.895748611
Y-3707-cfDNA	48.23408456	22.39101121	75.4027059	103.9524739	130.1505604	36.08973747	114.1698523	91.43595957	44.84626116	57.20335716	658.1456449	41.08018801	59.91377133	28.95763499	56.24568522	111.2159461	34.32194226	94.34127178	2.367166667
Y-3711-cfDNA	889.6371468	681.3335125	1297.045886	1998.519222	2183.730573	653.1451217	1726.315659	1636.975712	696.533202	788.0011144	7545.356398	1450.215231	2035.454095	799.3784913	2315.584875	3336.121157	1091.724771	2001.460538	82.17461111
Y-3715-cfDNA	61.52003986	49.56354669	121.8492598	166.5363099	239.4955084	65.68346203	191.3283512	163.9824695	81.04007616	83.2126347	1116.71011	88.00582729	101.1173428	55.4195719	127.8249895	188.2790422	71.09989227	172.947623	10.16838889
Y-3720-cfDNA	693.5820037	460.1222713	1100.725162	1217.942702	1806.276143	514.1777893	1413.704193	1165.650835	550.132383	629.9000874	6304.585086	1162.576381	1391.05586	655.9851574	1825.578426	2149.570027	867.0387521	1772.262354	48.11259722
Y-3735-cfDNA	110.9802656	64.48619842	217.5428328	297.6133552	402.1772611	138.2066397	379.6325885	278.5091239	158.4629238	120.5055925	1518.325711	144.367428	154.2643689	88.80032143	212.009876	341.3165773	103.0035517	335.1680047	9.93475
Y-3737-cfDNA	437.1622749	297.5658061	888.6711093	963.8997183	1756.788604	509.7054714	1337.234972	1084.266443	614.3361649	498.8893414	11224.30758	655.9683893	850.0084214	392.510351	1063.024008	1298.885883	511.8987259	1150.652762	49.96225833
Y-3814-cfDNA	65.69997123	40.66017986	114.8576282	151.0121883	309.554862	79.21539243	208.5237632	178.0927291	90.82147776	103.1704068	1002.548948	87.59867732	136.6999075	63.30604659	158.4949222	262.4232504	72.18647087	179.8479008	9.414888889
Y-3824-cfDNA	719.2229306	480.5886511	1288.141564	1783.087878	2290.116992	688.4443715	2123.227572	1608.004538	796.6153777	742.2719549	6610.717672	1038.883047	1316.082205	622.1016542	1513.406171	2449.189888	743.0852068	1698.859668	77.837625
Y-3879-cfDNA	61.44135912	47.34377177	136.7449764	192.4840451	226.1583551	73.773405	199.7281267	170.3468695	82.92120815	88.51053287	1079.889491	97.19177659	100.7873309	53.39034125	139.8844873	207.1457347	63.58151318	170.2347413	6.755138889
Y-3880-cfDNA	37.4770422	27.79470826	93.21634114	109.6438101	146.784383	44.78008377	96.7864542	94.71638651	53.31495265	64.83275434	676.8733411	60.56855906	86.84269339	45.4585338	96.51003191	142.2964896	48.90494063	119.7160718	1.137208333
Y-3893-cfDNA	96.91422489	52.45452351	157.1291932	197.8841578	294.1684495	77.22443038	231.2670868	213.6577834	106.4011504	78.15563824	817.6856151	129.2540305	157.44629	72.71022062	218.9261377	267.5989893	114.1510457	219.2600961	8.349375
Y-3918-cfDNA	48.79568178	28.36858632	80.51517955	80.29859783	125.0234116	40.8710573	113.2101165	104.0412944	43.89848553	47.75939843	468.4211693	56.02762107	68.5175435	34.68004866	109.2604467	132.7776977	56.26197433	107.9446951	3.491888889
Y-3920-cfDNA	29.55534427	17.97814982	59.30947103	65.67002189	115.0801311	27.4446177	64.92054634	60.79048537	21.09407843	31.02168418	358.0617485	29.66580185	51.47318242	21.01289933	61.93743646	96.24963274	31.08928351	55.57411224	1.521583333
Y-3925-cfDNA	54.87195652	33.72746655	80.42019071	115.7410606	189.3561702	43.15734155	125.7590652	100.2612235	52.0412393	65.42815132	523.600405	70.10305167	84.84450271	49.27694487	104.4020609	138.815811	41.31416608	114.147841	4.085555556
Y-3938-cfDNA	950.4551689	618.267518	1491.40571	1276.809914	1952.97034	578.4719082	1805.073998	1980.013761	623.498313	723.649163	4904.260089	1588.356802	1954.665964	807.776867	2438.174652	2721.238405	1174.49341	2566.422015	60.64759722
Y-3941-cfDNA	506.9050328	357.4831119	1108.78676	1361.900775	2814.404818	676.3403098	1747.556953	1584.167222	767.7510693	749.8694802	9512.754484	880.7391577	1123.509166	544.5408211	1400.447599	2001.801621	687.9811556	1465.899682	56.65301944
tot-66-cfDNA	307.200865	212.6358062	682.2817947	808.3968646	1556.183558	365.1491902	949.9538472	700.4582234	445.6564404	448.818978	5705.618959	579.5055111	759.6181472	383.8621581	908.5104213	1175.463026	420.8386718	876.8811486	33.54565
tot-67-cfDNA	356.070436	194.2886194	632.7603502	828.0229138	1367.639312	291.9183163	909.2748561	644.7048393	448.0317501	445.4749199	3894.361118	644.460968	823.0451145	425.6136508	1109.232372	1247.862678	457.5846524	838.1797283	20.52108333
tot-72-cfDNA	453.2559501	335.603685	916.2494823	1103.947277	1577.044158	479.8833663	1259.525764	1088.071819	572.2365618	466.7777318	7483.553427	676.0881411	885.4660933	443.7876666	1007.579656	1479.515966	564.9936756	1192.406226	48.62385833
tot-PH1-cfDNA	580.4088249	397.8306657	1275.10812	1535.659129	1752.39964	605.3463019	1599.44484	1453.423435	715.2332222	686.672705	8611.844555	701.0039573	834.7728282	504.5910965	1016.266678	1680.021183	599.5998629	1454.040619	54.10662222
tot-PH16-cfDNA	551.3189524	385.7166025	1158.748903	1624.000033	1449.401253	499.408409	1557.272397	1330.251084	700.1372794	580.4292586	5372.901866	793.0071816	937.4325855	492.5895926	1039.764029	1816.437346	605.0987799	1317.191028	63.66296528
tot-PH17-cfDNA	483.2921646	332.5962256	1073.751555	1331.678961	1923.874753	533.7609725	1475.878092	1351.683222	611.6979568	580.0245564	6838.097297	682.4074127	849.2474017	464.9343993	1021.294356	1706.075967	512.8462021	1387.715345	64.68051944
tot-PH4-cfDNA	641.6170656	421.6565419	1304.728515	1638.384119	2341.21205	696.2476303	1836.099894	1720.859598	758.7741546	751.1368678	8836.664887	775.7839524	1016.562322	504.1938185	1156.416012	1919.496623	625.0405035	1636.388723	60.10624167
tot-PH7-cfDNA	450.661584	304.1388594	885.8191007	1088.81775	1947.95561	496.5902143	1382.66399	1119.360935	584.2493603	565.7741099	5861.41543	748.3500757	997.8328366	467.8067136	1176.435994	1519.140404	571.2385222	1192.116133	33.65854444
tot-YUCLUE_20-3998-cfDNA	490.4082814	340.9233465	944.4839426	1261.679162	1683.043759	515.2503679	1379.999803	1269.88184	638.8723293	513.3433235	7715.127514	788.4153414	993.496411	454.2830633	1186.399693	1878.223614	556.9732638	1391.316265	44.43590833
tot-YUMARS_15-3443-cfDNA	406.253619	289.3664765	794.3059299	1205.485798	1774.251664	477.7668251	1251.502741	1017.026648	489.5812496	515.1010518	4996.82386	661.0221592	911.4978694	377.2146224	1017.289011	1539.719763	459.6169721	1119.475877	36.37849306
tot-YUMICRO_20-4006-cfDNA	569.0839293	419.9866735	1090.252133	1001.72015	1415.778353	544.0312361	1685.640394	1570.239035	496.7381176	684.3661333	3724.218376	956.2563991	1194.54704	462.5721364	1473.804323	1489.257219	699.7267496	1499.414882	35.39131111
tot-YUMOTE_17-3755-cfDNA	414.9168219	314.041433	853.7039493	816.5727782	1551.319237	478.5724639	1415.580251	1067.582879	411.5141879	457.5885176	4187.287942	740.5843326	917.2030852	385.5185308	1136.874318	1230.943896	535.6554827	1255.279597	34.69161667
tot-YUPRAF_19-3925-cfDNA	407.3511182	288.3253469	758.2540689	965.8993464	1662.908847	411.5837575	1170.487826	993.3112904	435.4862963	465.499324	4922.056521	750.9295924	939.8071177	388.6329037	1093.557207	1632.687756	555.8705814	1034.254388	42.99784028
tot-YUREIL_17-3713-cfDNA	357.4534667	217.4386481	644.5921007	869.6387457	1473.720103	409.2562953	1055.524861	888.9147927	432.7189124	420.6816029	7764.012876	467.0700787	632.6993718	287.0366201	776.1054281	1101.775741	423.0691912	915.84526	45.68505556
tot-YUSTRAW_20-4002-cfDNA	411.157924	333.7908871	719.7272796	1465.700056	1749.362416	462.9681424	1162.714851	1063.497788	544.608872	527.8991189	8109.545725	561.5815612	835.5467171	327.4929395	949.7869858	1839.148641	458.9278406	1030.769703	55.68438889
tot-YUTAUR_19-3926-cfDNA	334.7152427	235.9299123	692.8111402	695.2710731	1022.733858	318.1918235	787.1442595	744.1600566	388.6043095	397.8791692	5313.018929	594.9853423	672.7874845	287.3690398	838.815814	1020.902646	378.5349426	999.2299208	28.37661389
tot-YUTHEA_20-4000-cfDNA	489.9873839	328.7236614	1067.721604	1140.378093	1630.512496	493.6455761	1405.082457	1224.497176	563.2163234	556.392362	6201.59064	899.5142747	1015.502919	427.3247129	1337.369403	1582.49629	564.1622089	1572.754817	50.87782063
tot-YUVIRTUE_20-4029-cfDNA	456.3520614	320.4815129	850.76925	1200.055601	1696.174353	474.069303	1365.870797	1154.927043	537.7808282	511.8112566	4310.49991	752.9045447	936.4061239	447.9939455	1090.134701	1539.916122	588.1695949	1172.940576	50.90146389
y4-YUEVRY_19_3935-cfDNA	63.11147599	54.34236164	165.1614118	221.2204322	370.0459507	112.2840397	258.3525136	228.5130114	116.906176	114.8921373	970.9841446	99.52356901	116.0782166	64.732402	130.1303536	256.8273132	81.55477325	233.3083052	9.400972222
y4-YUMORF_17_3654-cfDNA	384.1470509	267.3395847	618.2849261	797.6012672	1071.107617	372.6596077	1156.400064	809.7668243	341.4142204	465.6838188	3565.82581	794.6607018	939.3369927	447.4682391	1503.159536	1111.761495	700.7367525	1101.420684	20.18905556
y4-YUPARK_18_3832-cfDNA	50.68957986	42.94563422	117.7620752	138.6814456	233.5892494	69.87638621	163.861939	131.4494114	75.05697677	77.65922871	1177.916074	78.42891589	92.5491242	41.37773838	116.7487643	191.0092811	54.29198537	158.1810826	4.6477
y4-YUPARK_18_3856-cfDNA	623.6209787	417.7427838	1228.612963	1389.864486	2859.075392	757.6867882	1880.128598	1519.188287	822.5960866	829.133631	10197.54803	997.8664685	1279.04468	638.5914868	1600.268631	1968.553315	745.0028545	1568.966566	66.54730833
