Mixture	NK	Mono
Y-3674-cfDNA	179.9281474	262.4054372
Y-3685-cfDNA	308.485643	391.0704166
Y-3688-cfDNA	297.5208783	376.9101323
Y-3694-cfDNA	361.7428489	646.5515818
Y-3703-cfDNA	217.3490656	268.103245
Y-3706-cfDNA	273.3397022	528.3204066
Y-3707-cfDNA	103.9524739	130.1505604
Y-3711-cfDNA	1998.519222	2183.730573
Y-3715-cfDNA	166.5363099	239.4955084
Y-3720-cfDNA	1217.942702	1806.276143
Y-3735-cfDNA	297.6133552	402.1772611
Y-3737-cfDNA	963.8997183	1756.788604
Y-3814-cfDNA	151.0121883	309.554862
Y-3824-cfDNA	1783.087878	2290.116992
Y-3879-cfDNA	192.4840451	226.1583551
Y-3880-cfDNA	109.6438101	146.784383
Y-3893-cfDNA	197.8841578	294.1684495
Y-3918-cfDNA	80.29859783	125.0234116
Y-3920-cfDNA	65.67002189	115.0801311
Y-3925-cfDNA	115.7410606	189.3561702
Y-3938-cfDNA	1276.809914	1952.97034
Y-3941-cfDNA	1361.900775	2814.404818
tot-66-cfDNA	808.3968646	1556.183558
tot-67-cfDNA	828.0229138	1367.639312
tot-72-cfDNA	1103.947277	1577.044158
tot-PH1-cfDNA	1535.659129	1752.39964
tot-PH16-cfDNA	1624.000033	1449.401253
tot-PH17-cfDNA	1331.678961	1923.874753
tot-PH4-cfDNA	1638.384119	2341.21205
tot-PH7-cfDNA	1088.81775	1947.95561
tot-YUCLUE_20-3998-cfDNA	1261.679162	1683.043759
tot-YUMARS_15-3443-cfDNA	1205.485798	1774.251664
tot-YUMICRO_20-4006-cfDNA	1001.72015	1415.778353
tot-YUMOTE_17-3755-cfDNA	816.5727782	1551.319237
tot-YUPRAF_19-3925-cfDNA	965.8993464	1662.908847
tot-YUREIL_17-3713-cfDNA	869.6387457	1473.720103
tot-YUSTRAW_20-4002-cfDNA	1465.700056	1749.362416
tot-YUTAUR_19-3926-cfDNA	695.2710731	1022.733858
tot-YUTHEA_20-4000-cfDNA	1140.378093	1630.512496
tot-YUVIRTUE_20-4029-cfDNA	1200.055601	1696.174353
y4-YUEVRY_19_3935-cfDNA	221.2204322	370.0459507
y4-YUMORF_17_3654-cfDNA	797.6012672	1071.107617
y4-YUPARK_18_3832-cfDNA	138.6814456	233.5892494
y4-YUPARK_18_3856-cfDNA	1389.864486	2859.075392
