Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL
Y-3674-cfDNA	2.605751765425156	2.1884407467539235	2.4418698671990384	3.2924346692546598	0	5.037875682255471	4.821285092813913	3.8579614095730843	2.619172101255515	4.592556454593643	3.9313955161076124	19.912969589258847	2.904010666534767	2.6227374727258588	5.171047856415614	2.3216653025679133	3.3848388441694723	3.0770132345627395	9.138610953901564	2.5232650702194723	7.049400158472636	1.7650746699440354	4.7406228759950775
Y-3685-cfDNA	2.4824546583032356	2.915661411451159	2.4581280456755255	3.4533690137516118	0	4.59324439801958	5.3641430814053255	4.313256402987497	3.199239850662333	4.78487001642456	3.7504764235575845	14.962295068898962	2.7872776144365923	2.877692819481611	5.51416118784013	3.032090796834312	3.057465768792011	3.401923514982619	10.921660023614324	2.5101044507968453	8.597273382739981	1.9877086725695472	3.0355033967746463
Y-3688-cfDNA	2.959899960139302	2.9531319400740133	2.6673240611422186	3.089843791323984	0	4.106893567796948	6.180695282655167	5.3217784907072145	3.3162282704516044	4.561570571655971	4.031831858573224	7.836683188927429	3.425634961773716	4.143877157214034	5.062638684199378	3.5987831096782315	5.077852741313234	3.1960622686489746	12.419962537131392	3.583756730021327	9.161180951878693	2.25688791288598	1.0474819618079676
Y-3694-cfDNA	2.681068212658375	2.572156787697573	2.7810468509512747	3.716478042856842	0	6.969335218747577	6.588328862333944	4.645825200935624	3.638405667375847	5.2377092136737735	4.546462709990102	10.286038038260594	3.118645462299934	3.2407836235682415	5.2616735619179575	2.744164337690409	3.429471819564947	3.266320518380366	10.495620896917591	3.1436198431971087	7.303659995675216	2.052211251867202	2.280973883439504
Y-3703-cfDNA	2.9866361391643785	2.2444605106697777	2.330362002317854	3.256296808686888	0	4.2142940537588	5.368574264610357	4.391778499699518	3.575208665924433	3.9642530283938076	4.1756247103166295	10.971025197508256	3.427401335269974	3.87843276955245	4.993731067674253	3.102518173522242	4.221914052581123	3.5076860549232056	10.968747011609747	3.314272865067485	10.176203365818019	2.0929664742157112	2.8376129487150794
Y-3706-cfDNA	2.8660838135447984	1.9077466356596855	2.687578922462507	2.7592103663491416	0	5.595463160985354	4.871720376263325	4.6043093648320195	3.14914182927447	5.045594558685437	4.020345836314921	11.788600604620337	3.894352026117631	3.829062655878783	4.793138817488959	3.3955815474595954	3.963587677631275	3.5766581460411637	11.418513391527268	3.229772219736651	8.203623601356785	2.0428880938424863	2.3570263539273997
Y-3707-cfDNA	3.3066275158981187	2.1819329916276193	2.680842587881245	3.4892681599853343	0	4.583551543780077	4.538612201043392	4.594526606352036	3.169157404446078	4.463604471791462	4.659468519970009	16.213941882842768	2.454570104214774	2.859322352576601	4.3016945766593455	2.715211392766494	2.368470672634896	2.7916243271895596	13.17496815479525	2.6561820930763314	9.061515318297525	1.860076478956311	1.8748306432147779
Y-3711-cfDNA	3.3134444223446504	3.6071400082267813	2.50538959920932	3.6445456546635064	0	4.178213987006593	4.46256533765234	3.7743753620021616	3.082510507787127	3.7664901166334253	3.4872031075320615	10.099082155396708	4.707724361356806	5.277561720995517	4.7156906230461955	4.0721949712467	5.2975498306892845	4.549537769222862	8.962756571902805	4.590232666394886	6.225903627051696	2.1439351923307814	3.5359524073077986
Y-3715-cfDNA	2.406465906850549	2.7558904380043168	2.4719469615210707	3.189630134644543	0	4.812661540140729	4.7133236122780175	4.393397826078341	3.243068155421769	4.602472189125174	3.8675506284393415	15.697804573705392	3.0004494737525826	2.7535564263486996	5.554735935936708	2.965074395468852	3.0713296715853655	2.6966449158244306	9.7721392277795	3.1396902255936268	8.351133771103637	1.9456984913170285	4.595335499080317
Y-3720-cfDNA	3.3123720507972902	3.1235683747388134	2.72629808126946	2.8479767293969283	0	4.431495205338574	4.504667360347367	3.9633090464588383	2.814526376141509	3.81449221539223	3.5743460273513756	10.820147248300565	4.839211171556092	4.624780151139541	4.101857806871811	4.284938876722756	5.355368438055086	3.75882037129326	10.346086976023123	4.674493468432958	6.992364781477992	2.434261035265248	2.654618207629193
