Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL
Y-3674-cfDNA	2.5939649353335383	2.2811512588378644	2.275597156905349	2.966377412315693	0	6.285355841266756	5.505299948644391	4.76813874619343	2.920813964859954	5.220130148079118	4.459669777803757	17.459557509129503	3.006643398438721	2.761130025863534	4.586055414288497	2.283589911240286	3.55490667556174	2.8876851418399556	8.540874390085445	2.6326012220329	6.513423468755268	1.6667863273024126	4.830247325221879
Y-3685-cfDNA	2.461127874039801	3.0267613106044133	2.2813880506453303	3.098660678508623	0	5.707208929585522	6.100147275393214	5.309065392396743	3.5531083802995003	5.4165002255924595	4.237055937016035	13.065234569067345	2.8739931938867533	3.0171594644307236	4.870370407270716	2.9701781632707434	3.197964253419377	3.179558450283801	10.165590076174958	2.608169370532729	7.911151137518306	1.869353231717473	3.080253628345444
Y-3688-cfDNA	2.8983430317201075	3.027916074438758	2.4450646174893937	2.7383405332607977	0	5.040081547143828	6.94220121490849	6.469779665075707	3.6376923700612456	5.10014962202245	4.498835026909232	6.758824722673909	3.4887230014272803	4.291218233402764	4.416511503266246	3.4818965994125763	5.24580329298075	2.9503762113926557	11.41784447689784	3.6779211638730485	8.326266431228852	2.0963728614185486	1.0498377989955114
Y-3694-cfDNA	2.611235784780578	2.6231546390622245	2.5356443359268037	3.2760307943072	0	8.507088338457011	7.360386275912079	5.617732238599557	3.969704179207726	5.824724325293571	5.045878188575675	8.823735741902148	3.159052801839829	3.3380223308961225	4.565536366101483	2.640801667865382	3.523908400940997	2.999068862792133	9.597043117634838	3.2089236867802224	6.6024460763503905	1.8960338034374802	2.2738480433365384
Y-3703-cfDNA	2.94659498586272	2.318666722687327	2.15230258010898	2.9076377062512533	0	5.210919069395695	6.075530525685386	5.3794577702251845	3.951375691761612	4.465758804622998	4.69444756087224	9.533480532516842	3.5168653872876474	4.046647492119136	4.389276707797342	3.0244047265777887	4.3944716275120355	3.2624830158271596	10.159825171126835	3.427027055940959	9.318585566834829	1.9587823751217193	2.8654589238642965
Y-3706-cfDNA	2.815517790703125	1.9623583451443833	2.471567195701559	2.453196754425727	0	6.889009656662763	5.489576669297077	5.615569809303318	3.4655359623435302	5.659492725432381	4.500468294112796	10.199943957244145	3.97884710000746	3.9779822352066634	4.194875512667763	3.2958770224703136	4.107872980813592	3.3123501178152	10.531010368357837	3.325312206878718	7.4799932444696084	1.903705449509405	2.369936601432663
Y-3707-cfDNA	3.286230385869186	2.27060908599232	2.494168856584038	3.1385225838304103	0	5.709081125987082	5.173958255258239	5.669091245650221	3.528298674826616	5.065172059242205	5.276841106507984	14.192780479662254	2.5371189331114987	3.005223857758091	3.8087457637853643	2.666268140201501	2.48336119416096	2.615526469734387	12.29287289271148	2.7666977604400853	8.358717562694922	1.7535950826146365	1.907118483376499
Y-3711-cfDNA	3.260114468273806	3.7162454366764344	2.3076515678627407	3.2454485798328636	0	5.152229507806764	5.036453852981819	4.610607921202576	3.397555222750818	4.231416330777877	3.9098068698210837	8.751877009718486	4.817445829328295	5.491455350352727	4.133597106172024	3.958851090837448	5.499046050508519	4.219974699766194	8.279151793949884	4.733463149644635	5.68566991500509	2.0010161705980916	3.560922076131834
Y-3715-cfDNA	2.383430378790701	2.8580704905789482	2.2919424680313383	2.8591784505304454	0	5.973920524762742	5.354724467720592	5.402356412250595	3.598219334636641	5.2048677260648475	4.364994173785872	13.693920974412514	3.0907347088599963	2.8841491442274596	4.901351577573653	2.901655144033083	3.209285396624378	2.5178852564141505	9.086643477055086	3.25912262038796	7.67704856411836	1.8280332282487413	4.658465480891887
Y-3720-cfDNA	3.260188051583167	3.2191616679712687	2.511994500410089	2.5369864944490823	0	5.466447568482828	5.0857309284358365	4.8430775495157	3.1032564217661682	4.286827813095155	4.008898283257083	9.380000313209601	4.953712164098641	4.813883872123476	3.5967795623933165	4.167116244284226	5.560989076272859	3.487743399450608	9.560283043948647	4.8220225788768785	6.387835254733262	2.272775157549346	2.6742900540927703
