Mixture	NaiveCD4	NaiveCD8	nB	NK	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Tregs	em4	ed8	cm4	mB	CD8TIL
Y-3674-cfDNA	3.2279446724486274	2.838677560117933	2.8317660030892426	3.69137687103522	7.821532444977642	6.850826469310468	5.933498889745255	3.6346774572785576	6.495959553439966	5.549638356835409	21.72677234941288	3.7414840919707926	3.435965860621732	2.8417122327606013	4.423746021566902	3.5934517633541585	3.2760238869806537	2.0741583560208094	6.010787159033157
Y-3685-cfDNA	3.194076077275712	3.9281607402629497	2.9608079577711406	4.02147244971391	7.406872148184031	7.916831419074648	6.890157532727302	4.611259169066149	7.02958752021088	5.49889306548712	16.95619054050906	3.729896767651479	3.9156993694319837	3.8547265721834223	4.150349611649613	4.12646237848692	3.3849079836299896	2.42606509795233	3.9975835987313713
Y-3688-cfDNA	3.821686206363846	3.992538138540164	3.2240040662558203	3.610710715709437	6.645731685303592	9.153821452245724	8.530897628661467	4.796574663275146	6.724936022178092	5.932056895091704	8.912025570603044	4.60014719545252	5.658298326181828	4.591146065194846	6.916991488335444	3.890295918551673	4.849619395370127	2.7642274078574576	1.3842911588280835
Y-3694-cfDNA	3.29555957133894	3.3106019882128037	3.200157952823901	4.1345767042548855	10.73653194105057	9.289314884660179	7.089965356910392	5.010040335307984	7.351203641959541	6.368246123897378	11.13616279152339	3.9869424128803654	4.212814296504335	3.3328737550570753	4.447415331260528	3.7850316534954915	4.049882906794718	2.3929253679541715	2.8697529841133647
Y-3703-cfDNA	3.8703605431276356	3.0455750586090296	2.8270553044140194	3.819190049701849	6.84455639787723	7.980225900861687	7.065932438730551	5.190142739334421	5.865786358370524	6.166169664579704	12.522252657909958	4.619412270080627	5.315282509109463	3.972563849745204	5.7721504579825496	4.28528033114413	4.501409376380698	2.572865987418347	3.7637881046223676
Y-3706-cfDNA	3.619190959854489	2.5225021159698735	3.177061670253857	3.153447493174085	8.8554373756468	7.056544385726399	7.218501534940282	4.454753037323905	7.274961991216744	5.78510077949694	13.11145861006712	5.1145858521088625	5.113474117150176	4.236665939823258	5.280441418781791	4.257841184319083	4.274503227920714	2.4471070925784257	3.0464212136471764
Y-3707-cfDNA	4.350337585458757	3.0058501348158675	3.3018003145529726	4.154800839590925	7.557726419995246	6.84932656049576	7.504787503439323	4.670789487209734	6.705314539990927	6.9855236867164345	18.78851422964752	3.3586579635208955	3.9783389377503133	3.5296266980286193	3.2874930463748573	3.462454475072997	3.6625762170507796	2.3214229383717635	2.5246584219163135
Y-3711-cfDNA	3.980526897058798	4.537452614322914	2.817590985240647	3.9626201753840795	6.290757067657571	6.149397582312071	5.629449217409756	4.14833898736265	5.166464761351206	4.7737867976148864	10.68584621047805	5.88199367914803	6.704944239339074	4.833668695298291	6.7142123157512685	5.1524947852168745	5.779452708015411	2.4431960181857346	4.347806262852683
Y-3715-cfDNA	3.042614036590124	3.64852502967441	2.9258233794993505	3.649939417942707	7.6261235103635405	6.835676834937711	6.896482313685508	4.593376315943898	6.644374320673261	5.572217532064007	17.48123904212709	3.9455370262234433	3.681816237415188	3.7041638597338484	4.096875193637519	3.2142550051555983	4.160495863844854	2.333611088069234	5.946853992418717
Y-3720-cfDNA	4.052183099965881	4.001190207677339	3.122231446734757	3.153294728328513	6.794407591389226	6.321203743590799	6.0196027591412555	3.857128185038901	5.3282236913163095	4.982776948543176	11.658676783700034	6.157113758160883	5.983317086151556	5.179430681316148	6.911916000369965	4.335018297759558	5.993432922420685	2.824898729139102	3.3239533392559104
Y-3735-cfDNA	3.377847067033102	2.921364151516996	3.214651935836087	4.014145418501483	7.8811200085618065	8.851530331394608	8.421234300981826	4.8010695600151445	7.995504686406488	4.966037086182157	14.627182383894096	3.9831611695829614	3.456734735245732	3.652628706992743	4.181739999082336	3.5859125746861675	3.7093030672889826	2.783174283847471	3.5756585329498116
Y-3737-cfDNA	2.8805893592931864	2.9184106150530313	2.8429858007803306	2.8146019911649582	7.453056026116177	7.067294699450201	6.4219133637683194	4.04649529636495	6.7107143258814075	4.450936858877413	23.40990984624332	3.918194796255666	4.123520017522908	3.4953168947369226	4.539295544514467	2.9543215590173135	3.9908795374502213	2.068552677339917	3.8930107901692947
Y-3814-cfDNA	3.013730152638482	2.776087666871734	2.557961373388754	3.069712108012675	9.142248439820527	7.646170762817711	6.97128406116765	4.626895821524165	6.906400228085243	6.407710173127635	14.556141768246247	3.642513497460017	4.616508169827501	3.9244711802020404	4.71152227594248	4.15517755654449	3.917787620226569	2.2507547890538357	5.106922355042242
Y-3824-cfDNA	3.690189354444706	3.6701459460920383	3.208807575834781	4.054192223442291	7.565175387240863	7.432744615545427	7.939619928442119	4.672795171563991	6.7757567485106724	5.15652005818003	10.735820544520287	4.83188092094432	4.9713500819164	4.313633563460955	5.0320777034307165	4.337661684491067	4.510966869598681	2.378078893085818	4.722582729254822
Y-3879-cfDNA	3.035990735710883	3.481987274771507	3.2805447241110883	4.214837421481195	7.1949614319876956	7.670694521787078	7.192782006357386	4.7673620273323305	6.79249368566639	5.921655204645924	16.88964222736977	4.353450250961503	3.666500731832973	3.5653247328052537	4.4793592552688635	3.533163339210388	3.7172038911676775	2.294940599160533	3.947105938371581
Y-3880-cfDNA	2.9464763875043998	3.2525536935723967	3.558153370574618	3.8200428853633825	7.430083843271704	7.4082868513664035	5.545877577837825	4.217616877834495	6.948813879524016	6.901455037025879	16.84405202508539	4.316674843204409	5.026632624941053	4.830030226687853	4.917188173683458	3.8617124819619106	4.549213182529317	2.5678741849978612	1.0572618530336302
Y-3893-cfDNA	4.0709152921595	3.2795343395031638	3.2044712082822184	3.683511484528262	7.955671384222694	6.825814530488193	7.080051394773252	5.083087732466162	7.409260372651094	4.445016588649523	10.871573435810982	4.921676571939929	4.86903811695559	4.127592062113705	5.9594868546457915	3.880048015456545	5.673229191145903	2.5127412250492136	4.147280199158285
Y-3918-cfDNA	4.201530402012868	3.635703947531997	3.365881639823564	3.063942029778564	6.9309644477589885	7.405207353384083	7.104432607099977	5.073833538010779	6.266133624646049	5.567926593247617	12.766273403353324	4.3731335456245235	4.34344281532246	4.035548632622348	6.096713734927539	3.9463840407330557	5.731746624145629	2.5357769504648244	3.5554240695118042
Y-3920-cfDNA	3.9167414422182656	3.5461620137882686	3.815995779100419	3.8565814157798077	9.8189587190036	7.653168885591113	6.270311091872949	4.5627727557336755	4.6341856857335415	5.566250996978096	15.019252409090345	3.5637678814097655	5.021993018801689	3.7633241528302266	5.319230606546037	4.402871940065149	4.874673018920655	2.0093011854388774	2.3844570010975135
Y-3925-cfDNA	4.114317853289919	3.7640537129588933	2.9275710744310053	3.8457523549143398	9.141196849502377	6.809219124763233	6.872341567583318	4.257794951423188	6.46872992041475	6.642331971767207	12.426501469853743	4.764844756372861	4.68357314261316	4.993303177318003	5.072980327155788	3.5928114113930127	3.6651544547997426	2.335063643906746	3.622458235538708
Y-3938-cfDNA	4.54006345226547	4.395734098058616	3.4587648882526376	2.7027320663742125	6.006232490202035	5.814438620941043	6.284103619652194	5.3567680596287675	4.937300525257057	4.680226625855125	7.414899808577571	6.877693060715	6.87399228582009	5.2145695550227	7.54747719631791	4.486885319676745	6.637839783326734	3.344583044233692	3.425695499822419
Y-3941-cfDNA	2.706410235693878	2.8408431204262348	2.874153838006588	3.2222479315168195	9.674528208723716	7.598494041870092	6.800117297301715	4.790406801840368	6.79534402465791	5.4207731772319265	16.075882361025556	4.262641088175742	4.416211333240235	3.9291104132367334	4.845522330630608	3.689233579770116	4.345997402922252	2.135280336474561	3.57680247725497
tot-66-cfDNA	2.778430033237444	2.8624514286367493	2.995958326407137	3.240023150976735	9.061791356139034	6.949324688927565	6.261776725845583	3.5880923880347386	6.681919081268027	5.496127210905558	16.333576930354113	4.751153241810058	5.05799698214525	4.691903793146858	5.324926968702892	3.6697298610477747	4.5033797169537	2.1637216475299033	3.587716467930872
tot-67-cfDNA	3.4408856964726855	2.7945146404155583	2.968715237938801	3.5458727583102547	8.509070285065496	5.935959184489619	6.403944404909258	3.528577071883096	7.177399425336869	5.828625085532627	11.911653654167223	5.645408672114458	5.8555025548201325	5.558359668379728	6.946460604997218	4.162451799860549	5.231806520380335	2.2098108854537375	2.3449818494723575
tot-72-cfDNA	3.2392794285792883	3.569902189790699	3.179168857844451	3.4962275763817505	7.256462553616455	7.2166530528893436	6.560395108224297	4.4041977360134235	6.7796066333437865	4.516724084695366	16.92833597101351	4.379985315146758	4.658896242903202	4.286244044414892	4.666497107417823	3.649830090763557	4.777430535376269	2.32494540916464	4.109218062420498
tot-PH1-cfDNA	3.4920790158124255	3.5626487700973875	3.72470618914583	4.094410130802216	6.788274811994816	7.663888532643772	7.013541379136197	4.95275176548363	7.13381311964346	5.593818522637694	16.400147129960803	3.8232699353122275	3.697639462713524	4.102857234173215	3.9624559991136614	3.489095886522966	4.268324952662179	2.3867680721143723	3.8495090900296063
tot-PH16-cfDNA	3.643651824056599	3.7942590470762196	3.7180757922134355	4.756269386950638	6.167352706891056	6.945204371339357	7.500955266592316	4.979341558822666	7.670808576661859	5.1938784018717525	11.23943199240937	4.7508958053549515	4.561211365003819	4.399627898307483	4.453233309640787	4.143835082085999	4.731579277220127	2.375014896893144	4.975373440608398
tot-PH17-cfDNA	3.1943190354813895	3.271979312742453	3.445619332199559	3.9004483936837095	8.186938656279299	7.423531953940711	7.109467332508183	5.059968421826985	6.702387908250255	5.190670356484794	14.305574996743392	4.088619619109434	4.132462925925749	4.152952676111423	4.374477419338252	3.8923778527777397	4.010528201891128	2.502375918026886	5.055299686678675
tot-PH4-cfDNA	3.481823558969351	3.4057627637677195	3.437525758544939	3.939971178092102	8.17989650845334	7.950415276139528	7.261815320066139	5.2890861298822855	6.826017174036089	5.518975482246248	15.17821658038284	3.8162435357463727	4.061356057559671	3.6976443475248684	4.066789195430743	3.595557988948711	4.0131455353107945	2.422707348902281	3.8570502599959826
tot-PH7-cfDNA	3.201251722787725	3.2156287036859714	3.054986400611799	3.4274485236747836	8.908909512109634	7.4227130978117355	7.158202501427533	4.503433775457946	6.880048919150826	5.4415282666031155	13.178722000008246	4.8187958810739175	5.218350930993863	4.49089089097874	5.4155715972840035	3.724905791293113	4.801010645145403	2.310316488509842	2.827284351391799
tot-YUCLUE_20-3998-cfDNA	3.2379303305662988	3.3503574527003357	3.0276051663101677	3.6915189080047996	7.154533438677832	7.158520056971102	6.640591581716583	4.748728772871033	6.992746383768244	4.589085568408325	16.12331430560692	4.718774329409935	4.82927804975601	4.053526507697048	5.076301892222154	4.280604396487216	4.351008668573791	2.506220007568711	3.4693541826834906
tot-YUMARS_15-3443-cfDNA	3.190448968449239	3.382419529109081	3.0285679266036563	4.195300948800539	8.97110596171518	7.895248081765035	7.163155949410695	4.5236733782660155	6.373871892490113	5.477161281213347	12.42081540593901	4.705816793189664	5.2700704556635305	4.003500123809101	5.177327343149304	4.173922068084513	4.270674900325903	2.398572914590612	3.378346077425453
tot-YUMICRO_20-4006-cfDNA	3.853874496851467	4.2333234625207545	3.5846201802487516	3.006174027748834	6.172949432645401	7.752473902960066	8.319633933320231	6.0227018407897015	5.576641516064849	6.275065869514532	7.982848586559081	5.870296503534619	5.955671106210315	4.23347970596769	6.467966829908453	3.4812807790548344	5.606548951579946	2.7702992790094934	2.834149595510995
tot-YUMOTE_17-3755-cfDNA	3.3613654305102005	3.786747387170883	3.357816287865779	2.931541502053212	8.09155648321524	8.158261544361409	8.35809346281863	4.8984720573317215	5.526669498360516	5.019244337948815	10.737149999492484	5.438681718835035	5.470492127382689	4.2208188364593076	5.968618962560085	3.442239135884193	5.134357876376584	2.774462009954526	3.3234113414186917
tot-YUPRAF_19-3925-cfDNA	3.255274649138715	3.4294639652170007	2.9419035279374937	3.4205587798559423	8.555854150280426	6.92105311134016	6.817162806565337	4.495815116659453	5.769221468432156	5.036702634757777	12.44992763091786	5.439793072850017	5.529217285060613	4.197155483638667	5.663265760407012	4.503705161618883	5.255793689909825	2.2549126414386738	4.063219063973985
tot-YUREIL_17-3713-cfDNA	3.066265421403175	2.7762058736208495	2.6845417682864325	3.305792389122675	8.139194847828021	7.38721657561853	6.598978910975943	4.318716676389984	6.153470221711839	4.885986753509837	21.080358203240284	3.6319236965204253	3.9957088837852552	3.32754783068965	4.314372756379401	3.262357345096376	4.293856516249477	2.1433641384567013	4.634141191115127
tot-YUSTRAW_20-4002-cfDNA	2.9491795966687904	3.5636228027999692	2.506429389729572	4.658907876125358	8.078831559051377	6.9877747099814105	6.078323596688161	4.320494883022571	6.4759168280873896	5.1268667060364415	18.41156011016224	3.6514876247599832	4.41234535238767	3.174616467072635	4.414946878635605	4.553627266220458	3.894779329269697	2.017148292927011	4.723140730373679
tot-YUTAUR_19-3926-cfDNA	3.3832852221229173	3.5495297881243983	3.3999531933699423	3.1143236569552424	6.655826012481738	6.767797692638303	5.798764822289388	4.260237636835294	6.511705162268042	5.445313109286814	16.9983196541577	5.451723554099076	5.0066499663103485	3.925544144553191	5.494604568490043	3.562013352891994	4.527046887296887	2.7555746288083873	3.391786947020292
