Mixture	NK	Mono
Y-3674-cfDNA	32.06293708837806	67.93706291162195
Y-3685-cfDNA	35.188582346857075	64.81141765314293
Y-3688-cfDNA	35.204319144353676	64.79568085564634
Y-3694-cfDNA	27.802746942879054	72.19725305712093
Y-3703-cfDNA	35.81471172890551	64.18528827109449
Y-3706-cfDNA	26.25928658339875	73.74071341660124
Y-3707-cfDNA	35.47313698835073	64.52686301164927
Y-3711-cfDNA	38.64697534730102	61.353024652698984
Y-3715-cfDNA	32.36891671454122	67.63108328545879
Y-3720-cfDNA	31.698724257944882	68.30127574205511
Y-3735-cfDNA	33.74574063197258	66.25425936802742
Y-3737-cfDNA	27.412307523563793	72.58769247643619
Y-3814-cfDNA	25.136931092995884	74.86306890700412
Y-3824-cfDNA	34.891677062654935	65.10832293734505
Y-3879-cfDNA	36.940505924867985	63.059494075132015
Y-3880-cfDNA	33.95555425735943	66.04444574264056
Y-3893-cfDNA	31.64750933175735	68.35249066824265
Y-3918-cfDNA	30.65503450847124	69.34496549152877
Y-3920-cfDNA	28.20057838864211	71.7994216113579
Y-3925-cfDNA	29.61243856722287	70.38756143277712
Y-3938-cfDNA	31.033908208219145	68.96609179178085
Y-3941-cfDNA	24.98491015489335	75.01508984510666
tot-66-cfDNA	26.3377662628761	73.6622337371239
tot-67-cfDNA	29.414263887864063	70.58573611213593
tot-72-cfDNA	32.51491053971564	67.48508946028436
tot-PH1-cfDNA	37.62316149299351	62.37683850700648
tot-PH16-cfDNA	43.54113815079739	56.45886184920261
tot-PH17-cfDNA	32.268747393967544	67.73125260603246
tot-PH4-cfDNA	32.50836791284412	67.49163208715588
tot-PH7-cfDNA	27.78330941541003	72.21669058458997
tot-YUCLUE_20-3998-cfDNA	34.035599220889665	65.96440077911032
tot-YUMARS_15-3443-cfDNA	31.86367379736566	68.13632620263434
tot-YUMICRO_20-4006-cfDNA	32.750120866330754	67.24987913366924
tot-YUMOTE_17-3755-cfDNA	26.594533641731193	73.4054663582688
tot-YUPRAF_19-3925-cfDNA	28.56079528828499	71.439204711715
tot-YUREIL_17-3713-cfDNA	28.884194631949995	71.11580536805
tot-YUSTRAW_20-4002-cfDNA	36.575625524724174	63.424374475275826
tot-YUTAUR_19-3926-cfDNA	31.875905306727105	68.12409469327291
tot-YUTHEA_20-4000-cfDNA	32.495726900946	67.504273099054
tot-YUVIRTUE_20-4029-cfDNA	32.74909312151109	67.25090687848892
y4-YUEVRY_19_3935-cfDNA	29.151956091221088	70.84804390877892
y4-YUMORF_17_3654-cfDNA	33.88579940342733	66.11420059657269
y4-YUPARK_18_3832-cfDNA	29.00929881456652	70.99070118543348
y4-YUPARK_18_3856-cfDNA	25.070800459899427	74.92919954010058
