Mixture	NaiveCD4	NaiveCD8	nB	NK	Mono	cm8	em8	Tregs	em4	ed8	cm4	mB	CD8TIL
Y-3674-cfDNA	69.72415605	41.1953836	125.9852184	179.9281474	262.4054372	89.15314125	100.8091192	45.41930805	147.4486013	224.8645071	59.80787171	164.2159997	10.97952778
Y-3685-cfDNA	108.5779349	89.71413511	207.3058732	308.485643	391.0704166	139.8713273	180.8004298	96.96011718	217.7079514	406.374192	97.25172041	302.2839895	11.491825
Y-3688-cfDNA	139.5488429	97.94800415	242.477721	297.5208783	376.9101323	185.3013171	280.6408276	124.0496541	389.7460697	411.5340368	149.6693854	369.9656113	4.274583333
Y-3694-cfDNA	127.7746	86.23779384	255.5593789	361.7428489	646.5515818	170.5261116	221.8612601	95.61751659	266.0825173	425.1447174	132.7125319	340.0641821	9.40925
Y-3703-cfDNA	97.60777056	51.60331237	146.8494485	217.3490656	268.103245	128.5154248	182.0761737	74.13223413	224.6280054	313.0863366	95.94792463	237.8299308	8.027
Y-3706-cfDNA	139.0192924	65.09841536	251.3588993	273.3397022	528.3204066	216.7252991	266.7923874	120.4178945	312.9875714	473.8107843	138.7724734	344.5346654	9.895748611
Y-3707-cfDNA	48.23408456	22.39101121	75.4027059	103.9524739	130.1505604	41.08018801	59.91377133	28.95763499	56.24568522	111.2159461	34.32194226	94.34127178	2.367166667
Y-3711-cfDNA	889.6371468	681.3335125	1297.045886	1998.519222	2183.730573	1450.215231	2035.454095	799.3784913	2315.584875	3336.121157	1091.724771	2001.460538	82.17461111
Y-3715-cfDNA	61.52003986	49.56354669	121.8492598	166.5363099	239.4955084	88.00582729	101.1173428	55.4195719	127.8249895	188.2790422	71.09989227	172.947623	10.16838889
Y-3720-cfDNA	693.5820037	460.1222713	1100.725162	1217.942702	1806.276143	1162.576381	1391.05586	655.9851574	1825.578426	2149.570027	867.0387521	1772.262354	48.11259722
Y-3735-cfDNA	110.9802656	64.48619842	217.5428328	297.6133552	402.1772611	144.367428	154.2643689	88.80032143	212.009876	341.3165773	103.0035517	335.1680047	9.93475
Y-3737-cfDNA	437.1622749	297.5658061	888.6711093	963.8997183	1756.788604	655.9683893	850.0084214	392.510351	1063.024008	1298.885883	511.8987259	1150.652762	49.96225833
Y-3814-cfDNA	65.69997123	40.66017986	114.8576282	151.0121883	309.554862	87.59867732	136.6999075	63.30604659	158.4949222	262.4232504	72.18647087	179.8479008	9.414888889
Y-3824-cfDNA	719.2229306	480.5886511	1288.141564	1783.087878	2290.116992	1038.883047	1316.082205	622.1016542	1513.406171	2449.189888	743.0852068	1698.859668	77.837625
Y-3879-cfDNA	61.44135912	47.34377177	136.7449764	192.4840451	226.1583551	97.19177659	100.7873309	53.39034125	139.8844873	207.1457347	63.58151318	170.2347413	6.755138889
Y-3880-cfDNA	37.4770422	27.79470826	93.21634114	109.6438101	146.784383	60.56855906	86.84269339	45.4585338	96.51003191	142.2964896	48.90494063	119.7160718	1.137208333
Y-3893-cfDNA	96.91422489	52.45452351	157.1291932	197.8841578	294.1684495	129.2540305	157.44629	72.71022062	218.9261377	267.5989893	114.1510457	219.2600961	8.349375
Y-3918-cfDNA	48.79568178	28.36858632	80.51517955	80.29859783	125.0234116	56.02762107	68.5175435	34.68004866	109.2604467	132.7776977	56.26197433	107.9446951	3.491888889
Y-3920-cfDNA	29.55534427	17.97814982	59.30947103	65.67002189	115.0801311	29.66580185	51.47318242	21.01289933	61.93743646	96.24963274	31.08928351	55.57411224	1.521583333
Y-3925-cfDNA	54.87195652	33.72746655	80.42019071	115.7410606	189.3561702	70.10305167	84.84450271	49.27694487	104.4020609	138.815811	41.31416608	114.147841	4.085555556
Y-3938-cfDNA	950.4551689	618.267518	1491.40571	1276.809914	1952.97034	1588.356802	1954.665964	807.776867	2438.174652	2721.238405	1174.49341	2566.422015	60.64759722
Y-3941-cfDNA	506.9050328	357.4831119	1108.78676	1361.900775	2814.404818	880.7391577	1123.509166	544.5408211	1400.447599	2001.801621	687.9811556	1465.899682	56.65301944
tot-66-cfDNA	307.200865	212.6358062	682.2817947	808.3968646	1556.183558	579.5055111	759.6181472	383.8621581	908.5104213	1175.463026	420.8386718	876.8811486	33.54565
tot-67-cfDNA	356.070436	194.2886194	632.7603502	828.0229138	1367.639312	644.460968	823.0451145	425.6136508	1109.232372	1247.862678	457.5846524	838.1797283	20.52108333
tot-72-cfDNA	453.2559501	335.603685	916.2494823	1103.947277	1577.044158	676.0881411	885.4660933	443.7876666	1007.579656	1479.515966	564.9936756	1192.406226	48.62385833
tot-PH1-cfDNA	580.4088249	397.8306657	1275.10812	1535.659129	1752.39964	701.0039573	834.7728282	504.5910965	1016.266678	1680.021183	599.5998629	1454.040619	54.10662222
tot-PH16-cfDNA	551.3189524	385.7166025	1158.748903	1624.000033	1449.401253	793.0071816	937.4325855	492.5895926	1039.764029	1816.437346	605.0987799	1317.191028	63.66296528
tot-PH17-cfDNA	483.2921646	332.5962256	1073.751555	1331.678961	1923.874753	682.4074127	849.2474017	464.9343993	1021.294356	1706.075967	512.8462021	1387.715345	64.68051944
tot-PH4-cfDNA	641.6170656	421.6565419	1304.728515	1638.384119	2341.21205	775.7839524	1016.562322	504.1938185	1156.416012	1919.496623	625.0405035	1636.388723	60.10624167
tot-PH7-cfDNA	450.661584	304.1388594	885.8191007	1088.81775	1947.95561	748.3500757	997.8328366	467.8067136	1176.435994	1519.140404	571.2385222	1192.116133	33.65854444
tot-YUCLUE_20-3998-cfDNA	490.4082814	340.9233465	944.4839426	1261.679162	1683.043759	788.4153414	993.496411	454.2830633	1186.399693	1878.223614	556.9732638	1391.316265	44.43590833
tot-YUMARS_15-3443-cfDNA	406.253619	289.3664765	794.3059299	1205.485798	1774.251664	661.0221592	911.4978694	377.2146224	1017.289011	1539.719763	459.6169721	1119.475877	36.37849306
tot-YUMICRO_20-4006-cfDNA	569.0839293	419.9866735	1090.252133	1001.72015	1415.778353	956.2563991	1194.54704	462.5721364	1473.804323	1489.257219	699.7267496	1499.414882	35.39131111
