Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL
Y-3674-cfDNA	2.593964935333538	2.2811512588378644	2.275597156905349	2.9663774123156927	0	6.285355841266756	5.5052999486443905	4.768138746193429	2.9208139648599536	5.220130148079117	4.459669777803757	17.4595575091295	3.0066433984387206	2.7611300258635336	4.586055414288497	2.2835899112402855	3.5549066755617393	2.887685141839955	8.540874390085444	2.6326012220328994	6.513423468755267	1.6667863273024126	4.830247325221878
Y-3685-cfDNA	2.4611278740398004	3.026761310604413	2.28138805064533	3.0986606785086224	0	5.707208929585521	6.100147275393213	5.309065392396742	3.5531083802994994	5.416500225592459	4.237055937016034	13.065234569067341	2.873993193886753	3.017159464430723	4.870370407270715	2.9701781632707434	3.197964253419377	3.179558450283801	10.165590076174956	2.6081693705327287	7.911151137518305	1.8693532317174726	3.0802536283454436
Y-3688-cfDNA	2.8983430317201075	3.027916074438758	2.4450646174893937	2.7383405332607977	0	5.040081547143828	6.94220121490849	6.469779665075707	3.6376923700612456	5.10014962202245	4.498835026909232	6.758824722673909	3.4887230014272803	4.291218233402764	4.416511503266246	3.4818965994125763	5.24580329298075	2.9503762113926557	11.41784447689784	3.6779211638730485	8.326266431228852	2.0963728614185486	1.0498377989955114
Y-3694-cfDNA	2.6112357847805785	2.623154639062225	2.535644335926804	3.2760307943072	0	8.507088338457013	7.36038627591208	5.617732238599558	3.9697041792077266	5.824724325293573	5.045878188575676	8.823735741902148	3.1590528018398296	3.3380223308961234	4.565536366101484	2.6408016678653823	3.5239084009409978	2.9990688627921336	9.59704311763484	3.2089236867802233	6.602446076350392	1.8960338034374806	2.273848043336539
Y-3703-cfDNA	2.946594985862721	2.3186667226873277	2.152302580108981	2.9076377062512546	0	5.210919069395697	6.075530525685388	5.379457770225186	3.9513756917616134	4.465758804622999	4.6944475608722405	9.533480532516847	3.516865387287648	4.046647492119137	4.389276707797344	3.02440472657779	4.394471627512037	3.2624830158271614	10.159825171126839	3.42702705594096	9.31858556683483	1.95878237512172	2.8654589238642973
Y-3706-cfDNA	2.815517790703124	1.9623583451443827	2.471567195701558	2.453196754425726	0	6.88900965666276	5.489576669297076	5.615569809303317	3.4655359623435285	5.659492725432378	4.500468294112795	10.199943957244141	3.9788471000074592	3.9779822352066625	4.194875512667762	3.295877022470313	4.10787298081359	3.3123501178151993	10.531010368357832	3.3253122068787175	7.479993244469606	1.9037054495094048	2.369936601432662
Y-3707-cfDNA	3.286230385869187	2.2706090859923203	2.4941688565840385	3.1385225838304107	0	5.709081125987083	5.17395825525824	5.669091245650222	3.5282986748266167	5.065172059242206	5.276841106507985	14.192780479662256	2.5371189331114987	3.0052238577580916	3.808745763785365	2.6662681402015016	2.4833611941609606	2.6155264697343874	12.292872892711483	2.7666977604400858	8.358717562694922	1.7535950826146367	1.9071184833764994
Y-3711-cfDNA	3.260114468273806	3.7162454366764344	2.3076515678627407	3.2454485798328636	0	5.152229507806764	5.036453852981819	4.610607921202576	3.397555222750818	4.231416330777877	3.9098068698210837	8.751877009718486	4.817445829328295	5.491455350352727	4.133597106172024	3.958851090837448	5.499046050508519	4.219974699766194	8.279151793949884	4.733463149644635	5.68566991500509	2.0010161705980916	3.560922076131834
Y-3715-cfDNA	2.3834303787907016	2.858070490578949	2.2919424680313383	2.859178450530446	0	5.973920524762743	5.354724467720592	5.402356412250596	3.598219334636641	5.204867726064848	4.364994173785873	13.693920974412515	3.090734708859997	2.88414914422746	4.901351577573654	2.9016551440330836	3.209285396624379	2.517885256414151	9.086643477055087	3.259122620387961	7.677048564118362	1.8280332282487415	4.658465480891887
Y-3720-cfDNA	3.260188051583167	3.2191616679712687	2.511994500410089	2.5369864944490823	0	5.466447568482828	5.0857309284358365	4.8430775495157	3.1032564217661682	4.286827813095155	4.008898283257083	9.380000313209601	4.953712164098641	4.813883872123476	3.5967795623933165	4.167116244284226	5.560989076272859	3.487743399450608	9.560283043948647	4.8220225788768785	6.387835254733262	2.272775157549346	2.6742900540927703
