Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL	NaiveCD4_real	NaiveCD8_real	nB_real	NK_real	Mono_real	M0_real	M1_real	M2_real	iDC_real	mDC_real	PMN_real	cm8_real	em8_real	Eo_real	Tregs_real	em4_real	ed8_real	Mg_real	cm4_real	Er_real	mB_real	CD8TIL_real
tot-66-cfDNA	2.10824552402669	2.17200013737751	2.27330386477359	2.45849786563853	0	6.87599861595755	5.27307957954027	4.75137491238911	2.7226093970877	5.07017482086637	4.17040755208545	12.3937583625544	3.60512859355853	3.83795862092641	6.53539235273996	3.5601706910837	4.04050248322454	2.78455511338482	10.4915542612563	3.41712046709181	7.09403181607212	1.64181081573935	2.72232415262535	2.126824329	2.092579905	2.449774539	2.740325105	5.534709743	4.637539758	3.860733182	2.451810903	4.479583126	3.692019852	14.19538956	3.496862365	3.661084425	7.400352684	3.634911228	3.863551125	2.979729477	11.27351063	3.289118951	7.710410038	1.746014149	2.683164928
tot-67-cfDNA	2.41414341368358	1.9606460982471	2.08286614906726	2.48780288617248	0	5.97000824755958	4.16470003251452	4.49304091218696	2.4756681418206	5.03570100335583	4.08939386642097	8.35727854820677	3.96084827183613	4.10825123960329	6.44996814723588	3.89977423504208	4.87367311891948	2.92039796940363	14.03671002756	3.67066283796429	9.35279843060547	1.55041488327277	1.64525153932133	2.430187124	1.884897022	2.239732773	2.767033632	4.79512814	3.654881185	3.642982441	2.224642745	4.439569083	3.612523552	9.551583683	3.833647712	3.910503397	7.287935808	3.97309245	4.650224281	3.118381703	15.05049876	3.525575359	10.14360044	1.645276111	1.618102597
tot-72-cfDNA	2.41112253595332	2.65721800497145	2.36637988387563	2.60237910417867	0	5.40126925715067	5.3716374870154	4.88315899747468	3.27821685340371	5.04632672133084	3.36197462099251	12.6004234127514	3.26019459972025	3.46779892581012	5.60543756436824	3.19041930080153	3.47345654659049	2.71671147097046	11.5400666913757	3.55602864183921	8.42057953163494	1.73054791796738	3.05865192982345	2.421818999	2.548950228	2.53901378	2.888117006	4.328793453	4.70372565	3.950602372	2.939349838	4.439172259	2.96341126	14.36949139	3.14856939	3.293633948	6.31978405	3.243267119	3.306930917	2.894519651	12.34637981	3.407975842	9.112515737	1.832399828	3.00157747
tot-PH1-cfDNA	2.53929165022738	2.5906069804399	2.70844825806651	2.97728127233044	0	4.93614533569112	5.57285447169269	5.09994962416418	3.60143087984529	5.18740612845615	4.06758741820718	11.9254909411664	2.78011963055521	2.68876648286945	4.29371573318277	2.98342364810965	2.88132982932854	2.53712244471583	13.0650306841124	3.10374474999946	9.92549776371977	1.73555644283483	2.79919963028491	2.549987417	2.484498583	2.905388342	3.303445448	3.95514152	4.878834008	4.125070681	3.228432696	4.562259	3.584573126	13.59676457	2.684332335	2.553157235	4.839818336	3.032165739	2.742579849	2.702573204	13.97477427	2.973858554	10.73869872	1.83729295	2.746353419
tot-PH16-cfDNA	2.46057817954118	2.56228406821764	2.51083709556272	3.21193495905883	0	4.16484731070577	4.69013483044031	5.06543647635494	3.3625768262547	5.18013935327948	3.50745474084608	7.59005043542909	3.20830614897859	3.08021120004943	4.33285947124783	2.97109299341206	3.00729302433676	2.7983546933127	15.6617374057417	3.19526159134294	12.4748513978566	1.6038606634468	3.35989713458384	2.468096023	2.454505047	2.690305589	3.559700399	3.333286204	4.101314743	4.09243521	3.010844316	4.550619883	3.087394001	8.643774008	3.094197517	2.92148999	4.878314629	3.016155198	2.859179909	2.977407177	16.73299713	3.058018867	13.48137454	1.695921451	3.292668166
tot-PH17-cfDNA	2.36901962889605	2.42661522924069	2.55539278917113	2.89271005849399	0	6.0717223815034	5.50555305199823	5.27263165593379	3.75265099644088	4.9707272005965	3.84958416012428	10.6095188354835	3.03226447502252	3.06478021719517	5.84870470309662	3.07997613866488	3.24426670061957	2.88672466144908	11.1498749359977	2.97434912668282	8.83789433995936	1.85585021470173	3.74918849872815	2.390081081	2.338065444	2.753973986	3.224561778	4.887699732	4.842368262	4.284611638	3.379662643	4.392058715	3.408261354	12.15272082	2.941429195	2.923764131	6.623293327	3.144878581	3.10242561	3.089298858	11.98182262	2.863154455	9.606533242	1.973790754	3.695543773
tot-PH4-cfDNA	2.66671355729931	2.60845892405982	2.6327860648759	3.01760683163897	0	6.26494724476929	6.08918856573809	5.56179284817779	4.05088811876362	5.22801693752319	4.22695937705436	11.624930226231	2.92284436663831	3.11057498220596	4.22669074170145	2.83200976308882	3.11473620054441	2.75382226321929	10.7396418739854	3.0736507540218	8.44410125172927	1.85554104723817	2.95409805949584	2.700703841	2.522878668	2.848225415	3.376642392	5.062518791	5.376168896	4.536860835	3.662199862	4.637050357	3.756676202	13.36671863	2.846122771	2.978792769	4.804756524	2.902738379	2.989941673	2.958333192	11.58508721	2.97005143	9.213569902	1.981004093	2.922958169
tot-PH7-cfDNA	2.40830809143485	2.41912392261291	2.29827239604982	2.57847639749599	0	6.70219049377401	5.58412194957041	5.38513009823159	3.38794226095786	5.17587460018756	4.0936726278326	9.91437899069165	3.62518980537183	3.92577587097869	5.40386871980825	3.37850622374697	4.07414537252454	2.80225409680888	11.4720527452494	3.61180993712479	7.89387798358171	1.73805572795214	2.12697168801358	2.443008868	2.343596734	2.49042056	2.890000913	5.424733441	4.938337644	4.399965322	3.067892933	4.598338917	3.644191611	11.41858721	3.535827704	3.76562894	6.153016898	3.468568514	3.917331931	3.015303957	12.39547142	3.495801342	8.62734802	1.858621299	2.108005828
tot-YUCLUE_20-3998-cfDNA	2.47402012682964	2.55992282795206	2.31331602367279	2.82059560938907	0	5.46659684325313	5.46964291714399	5.07390695642157	3.62838275209379	5.34297947392498	3.50640344317044	12.3194139546808	3.60549532344404	3.68992840254311	4.56096622512311	3.09719639981779	3.87867303150701	3.27070083353724	10.8775284503392	3.32449494520786	8.15405136091553	1.9149388989729	2.65084520005992	2.493638709	2.464160235	2.490711707	3.141180907	4.396387713	4.806203601	4.119199791	3.26463473	4.716480479	3.101467846	14.09789297	3.494158367	3.516796713	5.160092395	3.159450851	3.705564061	3.496887901	11.67802619	3.197163432	8.85477754	2.03469556	2.610428301
tot-YUMARS_15-3443-cfDNA	2.45427327597181	2.60194785819599	2.32974524921643	3.22726208987682	0	6.90108064137817	6.0734700876284	5.51030353333167	3.47986468262134	4.90314172308018	4.2133413496108	9.55479169782402	3.61997966808839	4.05403540711783	5.17268469101315	3.07971807812635	3.98269217356823	3.21081624918313	10.2141217975315	3.28524398405587	7.68755387643495	1.84511755737304	2.59881432877191	2.494741348	2.525881459	2.529701248	3.624588131	5.59716804	5.382107786	4.511471149	3.157593091	4.364970231	3.758411675	11.02700796	3.537985785	3.896629975	5.901860392	3.16829874	3.837250929	3.462012607	11.05891585	3.186244456	8.419081016	1.977155657	2.580922471
