Mixture	NaiveCD4_real	NaiveCD8_real	nB_real	NK_real	Mono_real	M0_real	M1_real	M2_real	iDC_real	mDC_real	PMN_real	cm8_real	em8_real	Eo_real	Tregs_real	em4_real	ed8_real	Mg_real	cm4_real	Er_real	mB	CD8TIL_real
Y-3674-cfDNA	2.605751765	2.188440747	2.441869867	3.292434669	5.037875682	4.821285093	3.85796141	2.619172101	4.592556455	3.931395516	19.91296959	2.904010667	2.622737473	5.171047856	2.321665303	3.384838844	3.077013235	9.138610954	2.52326507	7.049400158	1.76507467	4.740622876
Y-3685-cfDNA	2.482454658	2.915661411	2.458128046	3.453369014	4.593244398	5.364143081	4.313256403	3.199239851	4.784870016	3.750476424	14.96229507	2.787277614	2.877692819	5.514161188	3.032090797	3.057465769	3.401923515	10.92166002	2.510104451	8.597273383	1.987708673	3.035503397
Y-3688-cfDNA	2.95989996	2.95313194	2.667324061	3.089843791	4.106893568	6.180695283	5.321778491	3.31622827	4.561570572	4.031831859	7.836683189	3.425634962	4.143877157	5.062638684	3.59878311	5.077852741	3.196062269	12.41996254	3.58375673	9.161180952	2.256887913	1.047481962
Y-3694-cfDNA	2.681068213	2.572156788	2.781046851	3.716478043	6.969335219	6.588328862	4.645825201	3.638405667	5.237709214	4.54646271	10.28603804	3.118645462	3.240783624	5.261673562	2.744164338	3.42947182	3.266320518	10.4956209	3.143619843	7.303659996	2.052211252	2.280973883
Y-3703-cfDNA	2.986636139	2.244460511	2.330362002	3.256296809	4.214294054	5.368574265	4.3917785	3.575208666	3.964253028	4.17562471	10.9710252	3.427401335	3.87843277	4.993731068	3.102518174	4.221914053	3.507686055	10.96874701	3.314272865	10.17620337	2.092966474	2.837612949
Y-3706-cfDNA	2.866083814	1.907746636	2.687578922	2.759210366	5.595463161	4.871720376	4.604309365	3.149141829	5.045594559	4.020345836	11.7886006	3.894352026	3.829062656	4.793138817	3.395581547	3.963587678	3.576658146	11.41851339	3.22977222	8.203623601	2.042888094	2.357026354
Y-3707-cfDNA	3.306627516	2.181932992	2.680842588	3.48926816	4.583551544	4.538612201	4.594526606	3.169157404	4.463604472	4.65946852	16.21394188	2.454570104	2.859322353	4.301694577	2.715211393	2.368470673	2.791624327	13.17496815	2.656182093	9.061515318	1.860076479	1.874830643
Y-3711-cfDNA	3.313444422	3.607140008	2.505389599	3.644545655	4.178213987	4.462565338	3.774375362	3.082510508	3.766490117	3.487203108	10.09908216	4.707724361	5.277561721	4.715690623	4.072194971	5.297549831	4.549537769	8.962756572	4.590232666	6.225903627	2.143935192	3.535952407
Y-3715-cfDNA	2.406465907	2.755890438	2.471946962	3.189630135	4.81266154	4.713323612	4.393397826	3.243068155	4.602472189	3.867550628	15.69780457	3.000449474	2.753556426	5.554735936	2.965074395	3.071329672	2.696644916	9.772139228	3.139690226	8.351133771	1.945698491	4.595335499
Y-3720-cfDNA	3.312372051	3.123568375	2.726298081	2.847976729	4.431495205	4.50466736	3.963309046	2.814526376	3.814492215	3.574346027	10.82014725	4.839211172	4.624780151	4.101857807	4.284938877	5.355368438	3.758820371	10.34608698	4.674493468	6.992364781	2.434261035	2.654618208
Y-3735-cfDNA	2.430104514	2.007162037	2.47045598	3.190802265	4.523989067	5.551575091	4.879785984	3.083288532	5.037732285	3.135234462	11.9475678	2.75524482	2.351527414	4.863345251	2.659518728	2.851562198	2.736498742	14.60309348	2.546162665	11.75132116	2.11076355	2.513263979
Y-3737-cfDNA	2.318749596	2.243523716	2.444586355	2.503290843	4.78691286	4.959507919	4.163676667	2.907654088	4.730918686	3.14411939	21.39469493	3.032535324	3.138626443	5.460926761	2.847551654	3.463393291	2.522556191	9.182869505	3.065137601	6.871812684	1.75530786	3.061647634
