CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.001	15.12669	6.547052	2.517002	2.124054	3.659133	17.372485	4.152356	3.902539	6.344278	14.303358	10.984065	3.042574	9.923415
0.001	7.888109	0.140637	4.500843	8.463596	28.997611	1.303287	4.241982	9.993002	0.686452	5.726866	11.272572	8.453686	8.330358
0.001	11.132429	11.326828	10.310387	7.304736	13.042821	9.753691	3.162507	11.702242	2.311022	3.908007	1.538575	13.5948	0.910955
0.001638	0.565098	15.082211	1.742157	5.078778	8.324809	13.542727	9.131153	4.777391	9.984689	19.697481	3.884341	0.195999	7.991528
0.001638	4.321466	10.273502	3.856369	9.164431	11.056878	9.091235	12.89356	1.183792	6.151566	1.667803	16.87403	4.589852	8.873879
0.001638	10.329289	1.902079	2.025463	10.569426	7.981279	4.666713	9.72182	6.708841	9.50262	10.584597	11.32975	6.834307	7.842177
0.002683	14.480528	6.649874	3.655158	4.067171	1.015881	10.615361	4.054126	4.102905	12.991323	12.107567	11.181688	8.747967	6.327769
0.002683	2.969286	8.081937	8.329076	1.532724	11.577944	7.956463	4.133025	7.474668	6.3867	9.33066	10.801236	12.15359	9.270009
0.002683	2.1166	7.493774	11.106405	1.87338	8.668639	9.746795	12.224458	11.068768	7.866024	5.222581	9.327122	8.253369	5.029403
0.004394	8.8687	8.484129	3.867312	8.348599	2.048653	9.597994	7.289636	9.20181	6.834001	9.162155	7.362883	9.850104	9.079631
0.004394	12.256649	12.133514	10.055299	5.410054	6.438855	7.977232	6.620025	8.932075	2.715069	3.86861	11.12804	5.031703	7.428482
0.004394	5.077113	3.131831	10.099256	10.460268	13.575337	6.978786	6.422427	11.316128	2.521697	8.132854	5.849254	10.76759	5.663065
0.007197	7.628808	9.305163	7.882456	0.557594	11.542677	8.083421	2.088581	6.232928	10.752033	10.861349	9.921327	7.509511	7.626958
0.007197	7.710918	4.275155	6.783996	11.705783	8.467543	20.392393	4.485779	6.769959	1.760804	2.231212	10.511596	1.385955	13.511709
0.007197	5.790868	2.127759	9.111008	0.815516	14.52438	1.645024	9.631361	15.557279	6.247054	4.361484	8.347711	9.315866	12.517494
0.011788	14.579941	2.144667	8.636674	1.676658	3.54141	7.75711	10.043198	3.428475	6.34403	6.432769	10.296356	10.243892	14.863032
0.011788	3.598629	8.89085	13.39677	13.126319	6.612494	6.372998	8.818985	2.110757	9.863764	4.369785	2.120837	13.054751	7.651274
0.011788	10.61121	8.62927	1.321754	12.642199	5.260852	5.207785	12.594002	9.487409	4.992165	5.998112	9.612373	1.848435	11.782645
0.019307	11.166739	8.079919	14.063668	20.09282	0.430937	4.887522	2.968838	18.956909	3.455395	3.586819	2.169832	6.738131	3.383165
0.019307	6.278992	0.025686	9.039646	0.095577	4.331726	7.593271	1.127313	11.771379	2.053434	14.061683	15.784753	15.71184	12.105393
0.019307	10.068206	4.370268	5.541461	14.787031	15.93233	2.212885	3.933791	7.929048	14.001943	1.770172	3.331319	11.036782	5.065455
