CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
10.694942	0.001	13.772368	6.144376	9.031397	9.695885	2.38734	1.88027	5.756695	4.929389	13.118684	11.633922	3.143548	7.810183
7.910221	0.001	3.454401	11.558155	0.522697	11.355859	17.201744	12.473108	2.80671	1.101479	6.579862	3.504356	8.378871	13.151537
9.044669	0.001	3.141031	11.99146	7.649123	8.185668	11.078933	2.523935	12.195583	5.127143	12.261643	2.129074	3.727597	10.943141
1.637358	0.001638	9.110263	4.154461	10.488273	5.955171	11.360761	0.118367	12.307445	0.305537	9.11311	12.85471	12.359323	10.233584
9.278433	0.001638	6.582358	9.33687	6.414422	3.93811	10.827232	7.116609	8.294069	11.134782	11.240263	5.003877	4.160421	6.670917
3.479636	0.001638	7.495175	12.427413	11.280863	8.184258	5.408951	12.271153	5.686796	5.843894	10.942025	8.714337	7.90572	0.358141
8.023027	0.002683	15.758378	2.512476	1.914058	1.240222	2.552838	9.066739	9.243589	0.290927	5.079368	19.537012	16.604839	8.173844
4.532803	0.002683	6.464794	2.443737	15.015647	15.566332	4.849238	9.211879	5.856887	5.222415	5.553658	3.118083	13.815325	8.346517
1.791469	0.002683	2.569825	13.602556	14.425085	1.092028	11.713816	8.985274	6.985674	5.271777	11.578887	12.704822	1.087892	8.188212
9.047687	0.004394	8.56033	2.637487	0.293886	6.538313	15.045286	14.178323	14.555499	7.128689	2.474849	5.069008	2.312231	12.154019
2.81336	0.004394	8.37292	11.227856	12.468822	9.968759	1.532551	12.937411	10.567954	8.338359	2.762444	1.29429	8.639809	9.071071
10.821185	0.004394	10.677712	9.055747	10.190525	5.20518	8.278517	9.864173	5.199433	7.375041	10.910137	4.07202	0.15872	8.187214
3.148696	0.007197	6.416598	10.031673	13.018028	4.65671	3.637837	5.21234	6.898762	7.020877	5.754276	11.843756	12.747732	9.605515
7.332858	0.007197	3.736259	8.900394	11.074921	1.831713	2.949047	8.615163	10.986316	7.461189	7.017821	9.946633	10.779128	9.361362
2.637265	0.007197	16.814878	1.475673	2.735896	15.79311	9.205958	4.802287	7.876403	14.800296	6.67363	6.508593	10.429267	0.239545
5.3237	0.011788	7.847933	9.41391	3.296157	10.259736	5.177574	4.59871	2.421778	1.803449	13.853688	12.494887	12.936786	10.559903
3.930766	0.011788	4.61031	9.786776	6.283427	5.931333	7.05122	10.503624	10.724134	10.576395	11.563887	6.147081	2.195647	10.683614
5.269939	0.011788	8.140484	8.405856	3.46928	3.405	9.753824	5.020604	11.514774	4.482132	13.058425	1.855979	12.462969	13.148946
7.260482	0.019307	1.375853	5.44224	9.344997	9.543494	13.652034	4.633803	4.437214	5.717643	18.282876	4.069517	6.391032	9.829508
12.398852	0.019307	12.974945	7.696775	2.212958	1.42392	7.042619	6.346556	0.063489	13.803312	12.482071	13.897974	3.499306	6.137916
