CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
4.786104	14.840199	8.942123	14.409154	6.851133	5.41119	4.64154	0.001	2.098664	1.851293	9.959539	12.050159	11.083181	3.074721
7.102895	13.211633	2.986667	3.905131	10.398633	0.759509	6.939754	0.001	9.531561	12.538503	4.547153	4.493332	11.068976	12.515251
0.147142	5.1429	6.502196	15.40316	7.805145	11.576909	14.650881	0.001	13.537865	2.4059	8.281384	7.304594	7.211917	0.029007
11.295019	9.020268	4.957678	13.050251	15.957403	18.081233	0.851386	0.001638	16.506555	0.488634	2.871613	1.911806	1.37076	3.635758
9.211973	3.400968	1.895243	12.65172	9.37456	2.64676	7.52473	0.001638	5.081515	10.77132	9.332553	8.299921	11.902661	7.904438
4.536328	12.955569	10.048538	7.719542	5.536042	8.183772	7.783267	0.001638	5.472649	0.668602	10.702101	10.169296	8.340208	7.882448
13.515901	7.620139	15.972187	12.137481	0.493789	6.234048	3.414877	0.002683	7.592912	0.503226	11.210349	2.881141	10.575358	7.845909
13.115797	6.527249	9.123415	8.378929	13.498187	1.004094	5.377151	0.002683	2.022802	1.905988	6.863061	11.462729	9.887874	10.830041
7.728903	11.200569	4.478137	14.169318	9.361879	3.147843	3.928829	0.002683	3.220129	5.474241	5.123154	13.382691	12.586087	6.195537
5.139887	0.559514	3.332746	6.075802	11.097172	12.75174	12.190546	0.004394	13.166524	7.850223	6.294507	11.934994	4.549475	5.052478
10.77504	4.591978	9.127705	5.376551	5.984112	6.346254	9.987183	0.004394	9.205718	6.241612	5.238404	11.186202	12.901645	3.033202
1.301604	12.6602	7.435405	13.445571	2.075006	11.170319	2.295148	0.004394	9.23437	1.356402	8.5098	10.577589	13.401114	6.533079
6.157261	7.426227	14.503275	0.075301	2.493392	15.090296	4.093523	0.007197	10.107296	12.624698	5.44204	10.665777	8.507163	2.806554
8.773623	5.537068	1.140196	10.599239	6.009328	10.429878	3.929234	0.007197	8.929696	10.958652	7.657113	5.438221	13.76146	6.829095
5.238963	9.786584	7.141958	9.779027	1.19443	12.71798	11.980585	0.007197	8.828911	13.037562	7.008147	3.535657	3.539891	6.203109
0.445541	3.620864	5.547944	7.464759	13.346635	10.084688	10.09498	0.011788	8.097694	10.459268	4.30026	11.967025	10.072838	4.485715
16.024223	16.572776	1.768446	2.395509	9.209064	12.989248	12.8309	0.011788	2.2148	16.269311	0.759368	2.484134	5.214106	1.256328
9.816569	12.517435	2.015904	6.321656	12.475186	4.077365	1.279301	0.011788	0.077655	11.756379	14.109229	5.875902	7.998324	11.667306
