CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
10.624837	11.604943	7.595871	3.167241	4.523068	9.538072	0.072421	2.523824	0.001	14.696775	17.532314	9.237622	2.153229	6.728782
16.95275	15.71022	11.780285	13.532435	3.913532	0.095316	0.437879	13.277032	0.001	0.994278	2.1235	13.77809	3.073443	4.330241
1.687828	0.898855	10.039193	16.080051	10.471229	1.34826	7.103203	15.879174	0.001	13.452383	0.020028	3.858442	10.54101	8.619344
1.333282	5.494034	10.755574	4.129749	10.71184	6.805047	13.309851	13.002115	0.001638	6.776418	12.355062	5.501052	0.031325	9.793014
4.294708	4.757579	10.060793	4.198279	12.648313	11.313884	5.89865	0.699212	0.001638	5.797098	7.180421	13.88503	7.383485	11.880911
7.828257	12.690982	0.111402	10.269005	15.926975	0.772933	0.281469	1.482952	0.001638	15.951575	6.139452	10.632634	7.338975	10.571752
2.34435	10.347142	9.790848	10.187369	6.976818	8.854463	9.694171	1.914114	0.002683	7.500733	5.573188	4.630926	10.706199	11.476998
4.828637	11.85718	8.370968	0.655857	7.087405	5.881653	1.207787	1.862717	0.002683	11.855479	12.851116	8.782272	10.297389	14.458856
4.511093	2.851103	2.351358	4.04521	10.148277	12.823833	6.728854	7.685452	0.002683	14.397623	5.589349	18.838382	7.663376	2.363408
2.691436	8.805315	10.714751	9.24845	10.013032	5.783716	1.245176	18.565028	0.004394	2.629865	6.284031	3.716606	13.743987	6.554214
10.092882	2.001277	9.396745	3.352596	15.036058	11.129203	0.024225	10.435806	0.004394	6.097636	1.952714	2.197546	13.089626	15.189293
4.403443	13.439596	0.867714	15.997831	12.365738	2.927506	2.402072	4.363614	0.004394	15.457368	8.385685	10.23225	0.500646	8.652143
13.852409	0.098845	10.571188	4.244871	13.278206	11.009862	9.465671	5.161595	0.007197	10.423208	1.892988	13.533889	0.209473	6.250598
5.549172	9.577476	4.34387	13.233086	4.927942	5.277369	7.286083	2.252054	0.007197	12.013869	11.558492	9.261889	13.081927	1.629572
2.083855	2.279081	7.312014	5.605649	11.029263	4.923083	12.517614	10.289824	0.007197	14.145193	5.973103	8.475748	13.721852	1.636525
3.732608	8.20407	2.657368	15.912565	6.187139	3.396783	7.181116	15.811112	0.011788	11.415857	8.67436	2.629862	5.709842	8.47553
2.628312	2.682055	3.94134	15.065925	8.941131	9.47136	1.618164	1.092303	0.011788	4.415163	9.756114	16.350798	10.212264	13.813284
0.586788	2.296372	8.169262	12.008506	9.347191	12.094905	14.249157	6.216532	0.011788	9.758301	11.526406	2.007389	2.944419	8.782984
3.078651	14.009346	12.685915	11.975577	4.996717	6.620869	2.677962	11.123189	0.019307	6.877591	4.681578	12.591373	0.540557	8.121368
15.234941	10.029938	0.179906	16.920759	12.279844	9.254585	4.304214	0.230677	0.019307	8.304683	2.818528	3.304082	12.702338	4.416198
8.909605	1.712037	6.24534	12.725621	8.152596	3.375847	6.294765	6.116487	0.019307	8.279473	3.835274	15.499462	15.312053	3.522133
4.164929	7.094272	5.403447	9.028195	4.466987	2.831544	6.931707	9.158575	0.031623	8.755758	11.531561	4.407154	13.111939	13.082309
3.241	9.7547	4.952844	11.913691	10.280082	4.91822	4.481346	11.875543	0.031623	7.675363	7.716053	8.767514	2.226649	12.165371
11.163597	12.993843	7.06303	6.988858	4.119266	6.869008	3.580847	12.026038	0.031623	12.505597	4.89085	5.998508	1.263065	10.50587
5.303467	7.620647	8.304173	9.114789	10.07228	0.805142	10.962523	5.733496	0.051795	2.440111	11.44348	3.395628	13.243357	11.509111
15.412195	0.643124	8.956771	4.026509	5.350217	0.768179	6.973669	13.91814	0.051795	12.961795	10.87595	9.967017	1.07642	9.018218
8.652497	14.653743	2.578153	10.790253	0.596281	3.836153	10.972949	1.373237	0.051795	2.022736	5.193522	9.152976	14.561485	15.56422
2.754311	2.373845	1.965551	0.995684	11.313952	8.136463	13.673282	6.961876	0.084834	14.174473	4.839558	13.845624	13.355702	5.524846
3.413504	10.84023	7.586822	6.300797	7.052659	8.574531	9.775403	4.075985	0.084834	10.820353	7.132605	13.130653	3.262543	7.949081
14.800485	2.96145	15.68273	11.246911	5.689506	5.25793	14.679679	5.722674	0.084834	1.854144	1.52144	14.293559	3.834047	2.37061
15.321603	2.443006	8.793409	3.800413	9.107291	16.472528	6.156002	14.767149	0.13895	0.588914	2.733585	0.945143	7.536291	11.195716
8.782425	3.252774	7.856015	12.376581	2.115289	3.924124	9.635774	5.265845	0.13895	4.493427	8.716765	12.032263	9.370503	12.039266
1.050099	6.649749	8.925114	2.190603	15.134599	4.712513	16.271025	8.800239	0.13895	2.797391	15.585499	0.638502	12.883739	4.22198
3.710665	4.078465	5.19586	7.66679	17.330326	13.879395	3.230247	7.174702	0.227585	1.173859	0.465194	14.443693	6.909155	14.514063
6.812035	3.822826	9.435502	14.140199	12.468299	6.127713	6.366874	5.87243	0.227585	2.673046	17.105505	6.938156	4.688641	3.321188
5.049908	6.038866	6.761457	4.347593	6.32382	0.04361	12.070922	6.909127	0.227585	9.25643	8.0141	11.373247	11.893334	11.690003
11.338859	11.530398	7.796817	5.876581	0.531283	10.232985	10.728825	8.668756	0.372759	5.633279	8.045204	2.283566	7.112239	9.848449
9.181429	4.912348	11.917499	5.838534	0.809106	5.367407	14.977043	10.914758	0.372759	6.544921	6.76973	10.722624	9.188526	2.483316
9.498698	2.941126	6.048261	11.138722	12.253695	1.935273	7.949021	9.47075	0.372759	10.778433	9.103485	10.847718	3.5744	4.087658
12.560217	10.984132	1.0077	5.604944	10.936662	3.152681	8.995475	7.446223	0.61054	11.814348	1.899337	11.475965	1.366999	12.144776
10.447381	0.83484	3.982706	0.712312	1.327582	12.876543	13.434803	9.579628	0.61054	8.941487	4.893595	8.46173	11.904228	11.992625
0.367518	2.676025	9.487167	13.717114	6.280409	12.04182	13.674603	1.947086	0.61054	5.651813	3.856542	12.41939	5.095827	12.174147
8.578398	9.408209	7.202918	9.324572	3.015936	8.211569	5.640929	8.644798	1.0	8.48077	10.450931	8.875143	4.96228	6.203547
9.693686	12.853179	6.844399	2.865721	10.67563	6.120676	6.325398	10.542628	1.0	3.432721	13.298289	7.597154	0.39864	8.351877
14.446084	7.999512	13.457783	11.968056	2.604778	0.775849	6.777573	13.894166	1.0	10.78712	4.014194	11.125059	0.760889	0.388937
