CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
7.508744	0.048103	8.198961	13.145538	4.486133	8.711049	6.834599	13.848163	7.299744	2.767137	12.988198	1.115921	0.001	13.04671
2.486968	1.746666	7.228711	9.106319	4.15728	1.228789	16.888212	8.979381	6.012119	1.835788	8.777362	15.33331	0.001	16.218095
7.336843	12.160211	12.966013	0.000106	10.160209	5.727369	3.126155	12.558929	1.952764	4.280102	9.017053	11.652088	0.001	9.061157
10.773685	3.850279	7.490008	9.07376	6.960939	7.605069	11.3955	4.127646	0.752925	8.43622	9.995179	8.641189	0.001638	10.895963
0.357974	5.165729	10.434952	12.105948	8.91247	0.986865	10.487381	10.888774	5.786942	12.131895	9.84248	6.317114	0.001638	6.579838
2.058941	12.235196	6.639374	9.05438	8.695423	8.12863	4.113777	3.777271	12.943611	2.758543	9.18416	12.237254	0.001638	8.171804
7.131559	10.075706	5.582125	9.510043	2.913838	11.977693	11.12824	5.164971	7.178723	11.365954	3.73102	9.881392	0.002683	4.356052
9.958263	5.894212	7.821805	11.415205	13.226334	2.358232	13.502912	9.893966	6.923894	3.411817	5.946984	5.324252	0.002683	4.319441
2.420211	7.221845	11.130886	9.610258	2.228367	0.019163	6.136946	4.650377	11.056407	4.567019	15.721778	14.376193	0.002683	10.857866
8.919441	12.981321	6.420214	6.331281	4.970589	9.585291	11.772462	4.552788	7.233195	10.14546	6.175444	6.846505	0.004394	4.061613
2.911809	11.942222	6.179814	1.286995	4.448707	1.170829	10.363636	2.910613	7.735981	15.128213	15.364635	5.992092	0.004394	14.560058
7.473591	10.553731	3.739366	0.34474	4.174023	3.819498	15.668446	11.196856	5.366215	6.234558	14.469312	1.138247	0.004394	15.817025
8.594626	3.901406	2.031551	4.774794	13.777618	15.491632	1.77397	7.688424	1.148335	11.050125	5.182255	15.136273	0.007197	9.441794
3.223057	1.768132	15.235691	13.360459	9.13577	3.591676	6.564649	18.387793	1.589004	11.591917	9.054885	3.085775	0.007197	3.403996
10.817921	11.410298	8.499411	6.825563	5.490267	9.610288	9.949224	10.366251	3.622192	3.760003	12.015367	1.832542	0.007197	5.793475
6.06567	16.077887	6.928999	13.769469	3.224421	6.424553	1.450822	11.553807	5.382211	5.305152	3.499208	16.141409	0.011788	4.164605
8.100655	0.33393	1.118225	3.645812	17.305306	0.156106	10.536956	16.479547	3.870528	19.326059	1.163221	6.261279	0.011788	11.690587
16.623703	20.00115	1.025349	1.599634	7.017682	7.801667	16.938011	2.414299	9.100653	6.029647	0.297159	4.927159	0.011788	6.212097
3.852859	7.278253	0.282205	4.835056	1.728184	7.904162	18.502595	10.170945	18.197818	10.472777	2.560451	3.241585	0.019307	10.953803
5.065544	6.152452	5.791412	16.45297	3.171708	13.186287	4.276236	10.234566	1.724966	13.104871	3.467156	8.69885	0.019307	8.653674
14.003179	3.732939	9.626802	4.255371	8.825981	13.966998	10.67653	3.169278	10.752194	13.914461	4.407748	1.762188	0.019307	0.887024
11.02799	9.717325	10.042497	3.154548	5.093064	12.342374	8.359202	3.797179	7.937581	8.080185	6.673647	9.889071	0.031623	3.853715
9.325622	9.872634	0.337727	1.248527	7.899583	8.539718	11.997773	13.24974	11.294925	1.374877	9.016084	10.971035	0.031623	4.840132
10.061394	1.234866	16.436159	15.491526	11.493484	5.696158	4.532119	10.099596	1.710822	3.478483	18.263462	1.298943	0.031623	0.171366
0.552276	5.801802	14.10016	13.15323	12.023127	13.707153	1.184532	0.147812	11.484061	1.798386	12.332026	8.687473	0.051795	4.976168
0.705082	10.746072	9.969343	2.759212	9.44909	1.125347	8.596487	12.968661	11.763059	13.413141	5.876386	2.931639	0.051795	9.644685
7.64265	15.091308	0.896971	8.508418	2.639013	13.928335	0.910334	13.901975	14.034492	4.37001	1.130865	14.947021	0.051795	1.946814
11.543202	7.788543	11.565979	13.773897	2.316134	6.277221	4.797579	3.676903	14.791194	0.717655	8.011707	3.058534	0.084834	11.596617
8.496765	9.210427	4.96373	1.540891	1.171805	3.830177	14.742989	12.633313	16.228391	3.300495	4.511166	5.538248	0.084834	13.746769
12.958059	10.452122	8.733892	0.520942	5.691497	2.152346	3.523077	2.705469	12.293773	13.168331	15.44591	3.202855	0.084834	9.066892
15.324295	10.626982	3.90606	0.192231	2.277465	7.672014	15.306104	2.675245	13.143706	0.051998	5.982046	16.521844	0.13895	6.18106
2.975026	16.929066	7.769818	3.577196	11.207168	8.351128	1.769725	1.573849	0.175001	6.350595	17.741579	4.238603	0.13895	17.202297
10.960842	13.287244	12.574721	7.074979	7.250451	6.834906	1.181573	6.846331	4.851621	12.50057	9.470281	6.840129	0.13895	0.187402
8.5228	9.148196	4.819432	4.202713	8.336662	13.664484	1.561011	15.457074	0.051248	10.592014	10.483482	12.511703	0.227585	0.421598
2.150441	6.27007	0.718676	11.789684	3.238983	3.946988	11.842616	10.477104	11.729302	8.708238	6.204277	9.676371	0.227585	13.019666
4.8588	20.36854	16.286239	9.142316	7.938206	4.062023	6.21325	4.111532	6.676106	1.14561	8.582399	7.466385	0.227585	2.921009
9.634211	8.278294	10.404903	11.331964	3.94099	1.472196	7.476	1.398922	6.70519	6.697748	13.820158	6.616386	0.372759	11.850279
3.110491	6.37785	0.662279	0.455341	5.288345	9.146645	10.860464	10.775157	12.851416	7.1955	12.779194	7.060906	0.372759	13.063653
8.996299	12.820518	6.947025	8.233761	9.704648	11.509563	4.004737	5.506736	6.215273	4.950743	14.395958	3.761199	0.372759	2.58078
13.408907	11.463987	6.807263	5.444462	9.976786	6.494377	1.565476	9.118211	5.802231	9.617342	3.246767	13.519477	0.61054	2.924174
9.852321	0.652684	7.369894	9.743294	12.923764	6.729246	3.325816	12.994679	5.051198	11.680938	5.205416	13.755459	0.61054	0.10475
3.360021	14.789411	12.357656	13.975554	7.097442	12.792895	6.859201	6.528745	3.414912	12.721066	0.583063	1.674852	0.61054	3.234642
4.866677	10.791618	15.212006	0.680045	11.07219	2.338646	15.051595	11.830477	11.08406	1.065309	2.864059	6.769062	1.0	5.374255
7.39353	16.737897	3.57237	1.746435	19.616275	0.317983	10.761736	1.006489	1.386393	17.871678	3.868591	2.254791	1.0	12.465832
11.756448	1.116022	2.774251	10.13604	8.331967	8.27785	12.171498	6.60624	6.462713	5.160908	13.812573	3.069266	1.0	9.324223
