CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
17.257946	3.646181	4.039076	8.691734	0.976113	7.366802	9.384579	11.619632	10.468638	0.35179	1.243369	0.001	16.871713	8.081428
9.718335	9.173154	0.228863	12.713074	4.313415	0.387379	4.52552	9.547804	12.963096	2.454597	10.838661	0.001	10.444257	12.690846
7.358126	8.235025	8.871552	3.959718	0.306999	18.505811	3.420801	4.022263	9.439147	5.031741	9.738891	0.001	6.719775	14.389152
9.684404	0.461992	3.353294	4.408195	12.816391	7.872502	8.9192	1.53963	9.811808	14.122845	4.410606	0.001638	13.529133	9.068363
6.195052	6.792981	19.22984	2.721873	11.044982	3.67462	3.148259	19.563659	0.082457	17.464354	3.633544	0.001638	1.880356	4.566386
0.760032	4.774441	12.008248	18.350811	10.783425	21.372219	4.173239	4.570485	0.53643	1.322019	13.723889	0.001638	0.259171	7.363952
11.414747	10.76803	11.295989	6.653301	3.819378	3.235249	9.197091	0.172698	11.68784	1.196189	7.968425	0.002683	9.443776	13.144604
21.936433	2.098361	2.050637	7.532259	3.074545	5.856059	0.373657	11.279977	19.686365	4.853263	4.657895	0.002683	5.192167	11.405698
3.348509	13.717238	14.070338	3.426287	4.486991	11.968108	3.987921	14.114454	1.393817	10.519178	2.223384	0.002683	6.74843	9.992663
9.077544	13.202011	6.242236	7.314783	1.447084	14.023383	8.854172	11.354662	8.110504	12.248886	5.265627	0.004394	2.729497	0.125217
6.213899	12.170507	0.585453	7.748762	8.358675	7.069223	1.669124	2.982256	12.786129	11.580223	14.209669	0.004394	13.287806	1.333881
3.151032	5.559025	5.329917	11.90855	1.444928	14.909935	11.331852	16.772163	8.610566	5.498219	9.140755	0.004394	3.689174	2.649492
7.101998	8.244115	2.366668	4.043541	16.309988	5.689119	3.186873	13.611964	2.800416	12.228881	11.8038	0.007197	5.462057	7.143383
3.124461	18.122239	1.187287	11.452298	1.610368	2.032994	6.731958	13.101329	0.383159	11.56843	6.667012	0.007197	13.317846	10.693423
13.120355	10.479184	4.582651	14.438993	3.488021	0.258068	2.629354	14.428801	4.143875	2.478724	2.099916	0.007197	14.066504	13.778356
10.085605	16.072615	2.435742	10.638475	3.645491	12.331635	0.476519	1.724031	16.194844	4.436595	1.092711	0.011788	7.667436	13.186512
4.481459	8.826079	7.482338	3.07886	1.1094	0.613795	3.508544	9.539063	14.059348	9.867078	16.945198	0.011788	5.826085	14.650967
13.579867	6.264388	13.163086	4.220847	2.245836	13.314086	10.743544	0.481555	3.218073	7.4821	7.42569	0.011788	9.172007	8.677134
7.491089	4.904519	2.21318	7.868215	12.396437	0.986405	11.676717	8.312809	6.408333	5.519954	11.23079	0.019307	9.692031	11.280216
13.292645	9.94727	1.673467	11.689367	13.219038	6.349582	2.539663	9.95291	13.658855	7.732513	6.319311	0.019307	1.011738	2.594334
9.136429	6.35891	9.652057	6.768418	4.139745	12.357896	7.23317	5.530232	10.153404	12.451023	3.293515	0.019307	12.265838	0.640056
5.082794	2.802563	1.703698	0.114698	1.345258	16.433522	14.562311	17.382103	12.141467	2.172147	9.57088	0.031623	14.160459	2.496476
2.954805	17.261136	10.029305	4.282419	11.653572	1.905942	1.995199	2.039889	5.019525	18.49612	13.730974	0.031623	6.26933	4.330159
7.231935	8.308142	11.84996	4.653476	3.969024	3.902578	1.680008	15.570329	2.541516	8.55668	16.216063	0.031623	11.327532	4.161134
4.299739	4.915425	9.514028	11.572582	12.277285	3.884602	14.034686	11.348712	3.162784	4.500231	12.924156	0.051795	3.330194	4.18378
6.58139	8.79608	9.981954	10.505977	4.909727	12.031092	10.197753	5.900191	11.789271	2.160124	4.269066	0.051795	4.551942	8.273639
16.207046	7.974561	2.070253	1.737706	9.986477	6.44356	8.960164	2.54069	4.83465	3.788625	6.735931	0.051795	15.492845	13.175697
14.654385	7.696641	1.915054	6.774528	14.399341	10.237657	13.128653	2.406618	11.694499	0.944361	11.561591	0.084834	1.712094	2.789743
3.408824	11.954976	1.392941	16.701839	3.721052	3.373313	4.258996	12.12471	8.600015	4.454057	5.254896	0.084834	9.817339	14.852206
12.162951	1.849789	10.40126	7.341399	0.974375	0.527187	9.914699	7.125602	2.109994	11.091336	7.051106	0.084834	14.769829	14.595638
10.561584	7.791865	7.138251	3.422272	12.049099	9.968708	5.198207	6.222045	7.471186	14.740816	9.112136	0.13895	5.840224	0.344656
0.478213	9.528693	12.176512	9.903281	4.959942	13.571138	0.877559	16.41906	5.633716	5.517722	1.596373	0.13895	15.374743	3.8241
16.061177	14.007953	5.090288	10.663253	7.619301	10.587493	4.701743	5.604595	0.293628	7.394474	1.985477	0.13895	15.267526	0.584143
10.429769	14.297593	5.025898	12.44248	0.411593	19.173937	4.924983	4.028276	6.861727	7.404033	0.475171	0.227585	7.209182	7.087774
5.127154	11.532161	3.789088	3.94839	13.547307	8.744989	1.391243	8.407078	10.845944	10.730592	11.071923	0.227585	8.52204	2.114504
4.839287	16.741841	1.286899	1.456295	6.545215	16.61575	0.400197	11.257388	9.861723	15.248767	5.222153	0.227585	9.14317	1.153731
5.042258	9.96698	6.27725	10.488814	9.909623	4.565601	11.117719	1.735452	12.315181	8.419679	10.620434	0.372759	3.462522	5.705727
13.72974	4.115686	1.167537	11.527366	4.370023	4.380826	7.764167	16.677302	3.346073	14.75783	4.650204	0.372759	6.734516	6.40597
15.769992	4.239184	0.870311	7.634115	16.084085	2.98566	9.03479	10.585594	2.866114	2.14629	4.292455	0.372759	15.425942	7.692711
5.308132	11.946441	13.542517	9.165749	4.553977	1.808711	14.576142	5.331978	1.520517	4.315969	8.83332	0.61054	10.190539	8.29547
6.068442	7.951003	4.170826	14.53041	1.990595	6.626413	2.284475	7.767037	4.442797	13.713428	2.84466	0.61054	14.949748	12.049626
6.9854	8.304038	11.118644	7.347501	9.796423	4.561264	0.072613	12.503215	6.904532	6.926444	4.910982	0.61054	9.515355	10.44305
4.004584	10.562341	9.175069	9.101266	3.216707	11.25068	5.082729	1.295511	10.188634	12.378122	8.60851	1.0	10.319199	3.816647
9.944999	14.527152	0.284353	10.525773	8.261118	7.94342	0.799107	8.391695	8.103502	2.903492	15.059789	1.0	2.889843	9.365756
6.304429	13.372951	5.933861	7.393389	5.724936	14.997123	5.3222	7.24832	5.711158	5.595754	0.289882	1.0	8.456317	12.64968
