CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
3.326103	5.823641	11.001156	13.546908	0.001	12.179326	6.851346	9.190174	12.096268	1.872177	5.200905	5.196797	1.795727	11.918472
6.115423	5.537398	7.241813	10.612662	0.001	2.918864	10.344316	11.05206	10.359773	2.148983	10.316366	4.950913	10.859117	7.541312
5.612007	0.956426	9.92734	9.190313	0.001	18.380055	3.749364	17.905036	14.51781	7.396489	0.478902	0.735581	5.160403	5.989272
8.01294	13.260106	2.239318	7.929557	0.001638	6.633716	11.366102	7.692063	7.107727	7.410305	10.746394	4.526103	0.202885	12.871146
10.697749	12.150164	3.633205	4.206312	0.001638	3.148949	9.554411	10.016738	5.509643	7.465302	6.878258	5.646359	11.680689	9.410583
16.054493	7.326538	3.334683	5.468644	0.001638	4.566079	1.794971	7.849837	5.830429	8.052898	18.373164	2.466731	6.817008	12.062888
13.444487	4.890184	13.897422	4.181085	0.002683	9.648424	0.543805	11.620555	5.326507	14.328001	7.687327	3.422335	5.673451	5.333736
3.492671	12.681023	2.721696	14.430335	0.002683	7.754448	8.480501	6.164833	11.240949	8.212967	7.322811	1.811513	6.510748	9.172823
0.086832	12.7606	8.022465	0.505751	0.002683	2.494344	12.746298	8.870873	13.480707	7.719545	9.317971	4.927652	13.830445	5.233836
1.100113	7.929487	12.475698	12.768019	0.004394	12.906257	4.036256	10.655063	4.459108	0.831036	3.563442	2.527865	13.530347	13.212915
0.932045	8.057384	4.354832	12.295484	0.004394	10.525653	8.707391	4.196246	1.364136	7.749049	16.106994	9.38516	0.876481	15.444754
8.043821	13.170344	9.096332	0.146771	0.004394	9.876626	12.342328	10.12365	1.12562	2.85676	7.614079	3.476067	12.709126	9.414081
16.537238	8.400324	16.09351	0.924046	0.007197	1.495951	0.324033	3.247658	0.355352	4.961045	18.156541	1.51726	18.260199	9.719646
17.074816	14.716251	5.850184	14.231821	0.007197	2.054935	7.043517	0.0976	5.510464	1.747247	0.652456	15.081237	0.05423	15.878044
1.521102	6.96364	2.202849	5.751129	0.007197	15.215233	8.977689	1.458708	10.774024	7.488661	10.115215	11.454536	17.225067	0.844951
10.4039	6.186517	10.218571	3.676739	0.011788	3.584298	8.939581	8.833651	10.796057	9.574695	5.86501	6.71391	11.25539	3.939894
4.019062	0.854132	0.511176	4.224991	0.011788	0.30714	16.238723	4.260786	16.60905	17.65381	8.142804	7.352452	1.058173	18.755914
7.394665	8.19113	11.79022	6.989567	0.011788	3.416925	7.233763	1.023473	9.812505	3.136133	10.60874	9.866656	8.475489	12.048947
3.486914	5.480775	3.85663	10.857413	0.019307	13.315873	6.249268	7.623501	12.94017	9.196937	4.891498	6.191792	3.722745	12.167178
4.531068	4.944268	11.188762	15.342447	0.019307	1.370504	7.532409	13.402117	13.836932	14.315764	0.66298	2.21223	1.127298	9.513914
7.920441	6.753608	4.084998	13.014569	0.019307	3.399822	2.749636	5.017984	11.798091	9.782108	2.244738	12.918721	9.484658	10.81132
9.346586	3.123252	10.631601	9.730382	0.031623	0.790213	10.282836	9.062718	4.207868	9.917787	9.253993	10.630829	6.794636	6.195677
5.878347	5.428154	12.747806	5.756217	0.031623	3.347202	11.171571	5.936237	10.457588	7.721713	14.160214	2.639948	5.801875	8.921504
9.792729	11.732303	9.725325	7.278355	0.031623	10.967919	8.240264	5.495272	9.300434	6.923637	11.250814	2.244264	6.463969	0.553094
10.449474	11.76468	10.830926	6.007457	0.051795	4.133118	10.064148	9.627199	5.319192	1.754915	11.518865	0.974514	12.113907	5.389811
1.044176	17.755142	0.782322	19.665776	0.051795	6.905082	16.610676	0.512289	1.994673	10.712092	4.933249	10.738254	3.595327	4.699148
3.185882	9.958145	0.442701	11.63411	0.051795	5.574046	12.63977	8.535293	8.12903	10.465107	8.308232	7.253603	11.270043	2.552243
10.7633	14.74998	0.445566	9.357787	0.084834	7.841665	5.361292	6.709789	1.938213	3.537858	15.035701	8.876308	4.580362	10.717344
13.60051	7.019778	4.862168	8.259551	0.084834	10.959632	3.985478	9.851748	5.787733	12.026119	9.546484	7.351648	2.816304	3.848013
3.617541	9.860366	12.555581	12.846586	0.084834	3.587216	3.95571	8.391987	10.653639	3.565976	11.142146	1.319704	10.103596	8.315117
3.624366	10.228343	6.008099	1.822512	0.13895	15.237091	4.380266	13.536455	8.746023	5.105445	11.371151	1.912632	12.382663	5.506004
9.145314	4.229632	7.544017	4.992708	0.13895	0.912655	11.293807	7.992775	12.865169	12.606671	2.623844	1.409841	14.058264	10.186354
7.040447	3.160918	10.161907	7.969442	0.13895	10.997973	10.077695	9.522129	8.664586	1.494114	9.599288	9.611799	2.304877	9.255875
2.799665	8.235298	11.389022	3.617663	0.227585	8.229822	7.412665	7.963598	14.371182	0.917864	9.122219	13.409333	9.666505	2.63758
2.950711	14.508113	11.195141	12.681411	0.227585	3.141203	2.022667	10.204399	0.197466	6.286474	5.789121	15.203225	13.566658	2.025826
14.151924	10.230799	3.572748	16.142466	0.227585	3.509291	0.173436	4.079347	5.29662	11.40823	15.9609	0.540451	9.077892	5.62831
12.312388	10.038376	11.356888	3.739823	0.372759	13.081789	11.873654	5.254274	3.464275	0.738774	9.731265	3.4561	6.322165	8.257471
7.756717	14.480329	6.002184	13.40221	0.372759	2.192207	0.868304	11.917901	12.450295	8.254214	11.020974	1.993036	5.693161	3.59571
6.72793	6.636537	8.784217	7.609781	0.372759	9.566433	4.82815	10.749745	4.687766	8.811867	9.215776	6.684834	7.075165	8.249041
15.310787	5.409679	15.535576	13.580348	0.61054	13.402915	4.583747	7.954646	8.46274	3.105359	2.22473	0.51304	9.223124	0.082768
1.959597	11.220943	12.497787	11.682602	0.61054	5.403435	2.175535	6.378329	3.290277	7.274854	6.476607	12.722762	2.540925	15.765807
10.492573	8.009621	7.760062	4.753575	0.61054	3.607514	1.541848	8.636188	4.989044	11.048524	11.237189	14.655677	4.574825	8.08282
3.103083	4.177187	1.023991	12.340599	1.0	3.991792	11.690346	2.120196	9.552452	13.370097	10.863726	8.894574	9.488878	8.383079
2.59958	11.209954	10.908821	6.276542	1.0	8.154714	10.751622	9.407995	6.456672	5.78679	3.963001	11.61807	0.580203	11.286035
8.933869	3.041767	9.293516	11.604075	1.0	10.375268	1.508283	5.938068	10.715217	4.386089	6.390098	13.157607	1.038061	12.618081
