CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
10.661167	9.040588	7.93978	0.001	10.522044	4.693635	7.568753	3.169541	11.505563	3.544004	5.772381	9.303615	13.961396	2.316532
7.033532	9.757469	13.019352	0.001	7.951799	5.771683	10.153824	9.010385	1.586856	8.743611	7.383793	0.157651	13.71278	5.716266
7.181009	9.543503	8.239158	0.001	5.303883	3.468036	8.269928	4.658755	0.886095	12.342282	8.948517	12.139333	10.57648	8.44202
0.70161	9.424297	11.522935	0.001638	2.462415	4.879224	13.412565	8.978669	6.111416	4.916039	6.852589	5.095276	13.557965	12.083361
4.817281	13.209552	2.642771	0.001638	6.101469	4.911157	8.875441	13.192591	1.958116	4.568322	4.798905	11.912805	9.738646	13.271306
6.861685	11.458148	0.086735	0.001638	6.604378	9.042071	8.530942	6.684684	5.58117	9.827397	3.340924	13.763534	6.007691	12.209002
5.937323	9.234816	3.569266	0.002683	4.542834	10.288365	16.90616	1.438685	3.097209	15.114711	16.122004	0.170387	11.199156	2.376401
5.069474	11.41633	7.071341	0.002683	10.775484	8.482827	6.943866	8.244781	6.179871	7.535955	4.290255	10.034786	3.193797	10.75855
6.777751	0.803646	12.734854	0.002683	11.42111	12.834744	8.797144	8.873657	5.157248	7.030896	8.749489	1.950719	4.076568	10.78949
5.296194	10.828436	15.715707	0.004394	12.292443	3.564002	5.06578	12.941882	9.258807	7.644922	2.812215	9.146911	4.702796	0.725511
11.293544	0.910945	1.149034	0.004394	9.271436	2.028259	10.074612	12.85391	13.851437	8.389221	11.93659	10.144987	3.597061	4.49457
11.466611	0.67437	3.736779	0.004394	14.229589	2.716574	10.616398	3.567336	14.920354	0.839689	10.149977	8.284518	14.50186	4.291551
17.628216	7.758521	7.136835	0.007197	3.123533	17.140605	0.588795	11.570993	13.871423	13.887378	0.85495	2.666135	2.685525	1.079893
9.58211	8.070213	6.193238	0.007197	7.375966	1.533244	8.459899	8.347462	10.571851	5.387322	11.527561	11.289972	0.82227	10.831695
9.593734	13.713367	18.836972	0.007197	7.33963	7.643294	0.439725	1.218245	2.975845	4.138597	2.550749	16.908763	8.5732	6.060681
5.861855	11.757599	2.129219	0.011788	14.334823	7.040173	0.247011	9.202443	8.947941	13.129339	4.240177	9.899839	12.464596	0.733199
8.151373	4.786604	1.18547	0.011788	13.569082	19.385532	8.289687	1.233386	2.825548	10.901464	13.028525	9.706712	0.231578	6.693251
14.98582	11.152967	14.356315	0.011788	0.39734	7.100729	13.522959	8.222811	4.409481	2.637523	10.126794	3.213657	1.386041	8.475776
8.75359	10.994236	9.979988	0.019307	3.725035	3.368901	7.13138	8.23342	9.897422	3.477746	11.446759	10.009512	9.575903	3.386802
0.625628	12.060118	9.904792	0.019307	0.540169	9.334935	0.770743	6.025102	12.581059	11.044723	12.851062	2.631648	10.184823	11.42589
7.946066	5.057386	0.6081	0.019307	3.518712	11.603939	9.295019	10.068396	12.005788	5.573083	11.953686	9.643412	2.94128	9.765826
8.872958	9.522361	11.876299	0.031623	1.080928	1.447745	12.403663	7.32966	3.135848	10.346796	6.1061	6.547104	11.397606	9.901309
6.232233	9.807153	0.414617	0.031623	5.758654	11.854648	5.073052	3.259138	5.432162	16.530195	16.368135	9.105105	5.56008	4.573205
3.569403	6.771915	6.067847	0.031623	1.537452	10.264292	12.003994	10.405289	10.541018	12.498786	11.578997	11.685677	2.874367	0.169341
1.58218	1.723611	19.305614	0.051795	7.07728	11.216149	2.664513	2.637496	10.699034	0.88744	25.614583	9.025081	6.176327	1.338897
1.135406	8.961739	3.538496	0.051795	13.857478	8.867264	9.469519	3.9345	7.065651	3.588618	4.724246	15.395687	5.585393	13.824207
11.102307	0.796785	2.478875	0.051795	15.273905	0.068412	11.144354	3.608576	7.075966	13.561151	7.052428	1.731196	15.554798	10.49945
13.947256	9.89345	15.210091	0.084834	7.423635	2.517857	16.018542	4.617832	1.073138	6.543188	6.450378	1.030945	13.778171	1.410684
9.280422	9.356695	2.130236	0.084834	10.88656	1.609675	9.400006	12.583923	12.248253	3.783728	7.523955	9.304551	7.21134	4.595823
10.327128	7.200331	8.480025	0.084834	6.467796	11.075296	0.469325	8.956027	0.014269	8.847067	12.336512	8.975035	10.069944	6.69641
