CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.144291	7.367377	7.917214	14.603716	8.007906	10.50334	4.999058	9.674203	7.725441	0.001	14.295928	6.192554	7.450429	1.117543
1.820407	8.625282	11.51566	9.901655	9.531374	8.686866	5.134572	10.000571	0.07078	0.001	4.071329	8.441365	11.518857	10.680281
10.751896	5.615848	9.954873	8.848789	9.93878	9.175151	1.606317	6.585624	10.260221	0.001	9.891698	4.756228	4.800848	7.812729
1.881831	12.252853	9.637219	12.170192	11.567378	11.969683	11.422995	1.919221	7.673254	0.001638	0.41926	2.571568	4.074087	12.438823
6.061118	9.353678	11.470786	13.400911	10.700499	11.609616	1.904719	8.821081	2.995326	0.001638	4.859268	6.943389	10.25892	1.61905
7.413525	11.390303	9.770982	3.734398	0.060965	4.377763	6.673991	11.074758	11.244129	0.001638	11.497297	4.669527	10.624775	7.465949
2.60857	14.703114	1.737802	0.02525	0.237815	9.106132	6.846565	12.865143	16.152948	0.002683	14.898921	9.75641	2.539158	8.51949
9.276283	1.67043	3.530193	0.096313	7.230975	8.583582	8.060528	12.733552	7.961292	0.002683	9.746959	10.068344	10.40365	10.635214
8.249525	4.406161	9.184407	11.138427	12.984572	15.045528	4.045334	9.473568	4.539465	0.002683	1.115098	6.472993	8.529369	4.81287
12.193611	4.240786	6.010631	2.051876	1.269052	0.024435	15.135778	5.699354	6.466427	0.004394	12.853138	12.481333	8.901444	12.667742
13.820979	8.830389	0.116135	8.602009	9.713602	0.64304	7.58804	12.738778	12.508535	0.004394	4.015451	1.816057	9.176965	10.425627
12.85715	1.016305	4.361101	5.083574	13.069121	1.250651	8.939785	9.677771	8.90583	0.004394	8.933105	9.256177	13.529386	3.11565
11.563275	12.053329	12.010246	11.924837	9.884415	4.202053	4.075283	1.746436	0.92678	0.007197	6.086623	9.126708	4.664875	11.727945
3.897664	0.32316	0.3581	5.524735	16.207449	6.274191	10.191761	1.083183	16.077208	0.007197	12.687279	3.50736	15.175141	8.685571
1.97208	4.335309	1.570489	11.69248	12.200422	14.481742	7.837396	8.507445	12.437612	0.007197	11.630475	0.116759	5.722699	7.487896
2.754004	3.991404	9.952702	13.3669	9.349533	8.078927	13.637751	7.827491	13.24019	0.011788	7.89307	6.029988	2.125229	1.741023
12.872867	10.439347	14.820258	12.740423	7.383564	4.646578	2.283743	10.403936	1.961473	0.011788	4.950951	9.177929	3.555179	4.751965
10.889433	4.586559	3.265509	6.071987	14.324576	9.227803	2.892469	6.899341	9.232555	0.011788	13.593647	0.455122	8.054272	10.49494
12.557853	2.782495	5.290627	0.445453	3.402156	12.246201	12.619626	3.828802	10.495839	0.019307	13.785592	5.289365	13.725603	3.51108
