CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
4.43128	5.75882	1.281715	9.901459	11.532895	12.857864	0.001	10.070409	4.0133	5.020744	5.342917	11.275031	11.710604	6.801962
7.172163	4.191291	1.971464	13.953603	4.956837	4.642113	0.001	10.819636	15.40475	5.446402	7.090676	4.636355	9.201066	10.512644
5.053683	11.842526	11.780047	5.391851	3.392703	11.889422	0.001	10.13558	10.526479	10.940492	1.692516	10.367219	0.252186	6.734296
6.885631	12.24246	11.20801	13.02082	14.520383	2.969273	0.001638	3.883025	1.814471	2.250688	10.831916	5.783967	10.400003	4.187715
6.923811	0.42485	12.482611	11.893578	6.184002	1.705465	0.001638	7.551055	12.690186	13.633481	6.724435	0.549097	4.115988	15.119805
1.385617	7.326694	7.730345	7.887228	3.362679	11.724203	0.001638	0.428995	0.27955	14.194092	13.707337	12.466972	9.254444	10.250206
0.911643	7.952295	1.236789	1.560434	19.530661	3.289631	0.002683	12.487495	0.833019	8.589588	14.823525	2.375514	11.814592	14.592132
8.944317	8.834912	6.412578	11.805991	5.465597	6.396475	0.002683	12.479626	8.393839	11.914529	4.257031	10.215342	2.47701	2.400068
2.297548	9.45991	7.280791	2.034243	9.076113	12.188684	0.002683	11.742012	11.989699	11.552794	2.847762	3.894167	3.748184	11.88541
7.164373	2.533442	11.147258	10.59233	12.283541	8.681356	0.004394	5.830956	10.956552	0.371394	12.200652	2.042695	8.174789	8.016269
14.177929	7.969472	1.190871	11.72099	15.19228	2.034933	0.004394	4.205067	4.714565	6.713864	3.131461	16.23815	12.019598	0.686425
1.726142	0.699222	1.768978	12.995454	7.75393	12.011578	0.004394	13.071025	9.998001	5.256435	14.074175	2.046153	13.236813	5.357699
6.683138	8.665446	3.302099	7.890657	11.884605	7.446615	0.007197	4.21062	6.977678	11.483565	3.408571	8.491764	6.667234	12.88081
10.324214	7.39521	12.995951	5.102901	2.700267	2.479932	0.007197	2.33542	10.338951	12.248249	13.018792	6.118287	7.341542	7.593087
8.488114	10.370475	13.818288	5.152363	5.503788	6.519594	0.007197	7.064765	11.690975	3.959333	6.381832	5.103364	8.439226	7.500686
2.853345	13.428328	15.292582	14.899934	3.754423	2.954699	0.011788	10.090785	9.057282	7.086079	1.801189	5.011913	5.616918	8.140734
1.033087	4.181556	6.896245	9.371375	10.756564	4.09118	0.011788	4.036766	11.003021	10.781093	8.751344	7.73536	13.133178	8.217444
10.794442	7.979359	5.725823	12.384402	13.577315	11.374031	0.011788	7.961636	3.105021	7.461314	9.424892	0.396158	8.29749	1.506329
3.778219	6.252699	7.942155	0.015278	6.614789	3.304055	0.019307	3.697489	9.212729	19.713912	6.622279	10.110802	4.048498	18.667789
16.974645	8.633713	9.208406	5.062243	10.039337	11.666243	0.019307	5.691942	0.986128	5.839048	10.41323	2.665428	1.034939	11.765391
7.601392	5.782499	6.165391	9.610165	0.348323	13.269328	0.019307	5.655395	2.956552	7.313835	11.02335	5.905868	12.460401	11.888194
7.755916	15.079835	14.226326	10.805077	9.98088	0.865269	0.031623	5.489914	2.101059	15.723712	2.681688	2.742089	9.629077	2.887536
4.866672	8.613077	6.266743	4.828478	12.58414	8.824729	0.031623	11.685537	10.999917	3.947689	10.717849	11.358145	1.020583	4.254817
4.588975	6.461396	8.295186	9.97071	8.179502	10.538383	0.031623	7.540842	8.080616	0.345008	2.494648	10.504313	11.080589	11.88821
1.262129	10.33293	9.466154	6.354164	7.752316	9.559457	0.051795	11.267124	0.924039	13.170939	6.924936	5.95901	5.173337	11.801671
12.001628	8.368348	3.880545	7.466014	12.130798	15.087358	0.051795	10.122359	5.637992	1.051331	2.717062	8.799294	10.617709	2.067767
10.194176	8.680201	7.774877	6.757256	7.758139	12.322077	0.051795	3.429633	4.731595	8.742651	11.499698	7.687371	6.930326	3.440205
3.642323	0.244535	4.212058	6.46465	13.833706	11.804692	0.084834	11.009506	13.971358	16.122724	4.614598	0.301827	13.46733	0.225858
11.026354	3.716912	6.162369	2.182357	3.561788	11.184076	0.084834	4.665309	12.817839	13.763204	3.385683	3.360819	9.746435	14.342021
6.255642	9.707598	3.475016	11.625055	7.431618	7.612299	0.084834	5.345985	11.930926	9.251519	0.674192	12.358912	12.577616	1.668787
2.449672	9.607288	9.58333	9.419664	6.651515	11.84883	0.13895	3.784781	11.57514	4.027585	5.096658	5.277096	11.278859	9.260633
7.822642	8.507646	12.170537	9.309096	9.510393	6.295651	0.13895	6.524016	1.52636	11.218029	4.269401	9.211041	11.543608	1.952632
11.649719	1.467712	2.007639	2.770415	6.710013	12.689736	0.13895	1.066146	9.881967	13.135573	14.362579	8.698984	5.109082	10.311486
14.829366	7.131806	4.155955	4.730772	13.109569	6.823654	0.227585	10.952285	3.330287	8.568737	1.465088	9.349315	12.498315	2.827266
8.669241	8.775715	7.572702	11.933898	2.231521	1.293212	0.227585	8.043333	12.426634	14.750361	3.532708	6.21595	13.961439	0.3657
3.640515	11.49955	1.175402	11.018656	7.865406	17.005726	0.227585	1.250655	14.152862	5.620309	13.359908	0.58617	0.579389	12.017868
6.742818	10.983184	6.614991	10.942831	4.50233	9.962584	0.372759	3.240554	4.2261	5.813056	9.137298	10.204637	8.90545	8.351407
11.927364	7.050287	12.751925	5.661881	9.669902	7.826195	0.372759	9.139103	1.686792	5.004653	7.65003	4.75486	12.86488	3.63937
4.006881	7.407035	12.583272	4.645296	8.341208	9.872565	0.372759	8.214935	8.446893	12.177977	6.79294	10.325781	1.794244	5.018212
7.59716	0.833018	6.479859	10.338597	12.497782	6.13764	0.61054	6.563704	5.28754	11.655411	7.843362	2.263687	12.978848	8.912855
4.658702	13.544835	19.279746	2.088232	4.347337	11.05702	0.61054	6.790678	15.605856	0.515052	0.676802	13.115351	6.056148	1.6537
12.626595	4.281189	2.155589	13.691719	6.378257	1.144652	0.61054	13.130308	1.791676	13.178892	5.71041	11.746948	10.711912	2.841313
1.358065	4.566736	7.491391	9.823136	5.106668	11.754449	1.0	7.637302	5.967146	12.405072	10.447997	5.688648	11.910721	4.842668
9.743127	8.546672	11.680944	10.214576	4.033058	1.247498	1.0	4.000156	3.260523	7.395379	11.095074	9.148067	11.936763	6.698164
7.072464	9.424873	0.307979	10.920222	9.424592	3.228086	1.0	10.598871	3.772581	6.766387	10.451758	7.061671	12.480411	7.490105
