CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
10.49966	2.912154	0.001	17.480487	0.720747	0.033801	11.830746	16.404986	4.273546	3.72387	9.467077	12.114075	5.237379	5.300472
1.056389	13.370322	0.001	9.192918	12.111628	2.702995	0.215139	3.1066	14.576242	10.868322	1.418275	9.948017	11.447397	9.984757
11.860685	11.432655	0.001	6.917904	0.22621	4.37193	2.482122	12.421096	10.959301	10.844035	3.539672	1.77896	13.003994	10.160438
7.830059	1.359759	0.001638	13.346101	7.907986	5.682288	8.162273	8.878896	2.203386	9.579696	10.599812	5.855034	7.339779	11.253293
10.152299	1.159697	0.001638	1.649645	7.556334	15.953224	16.899312	1.621479	0.462501	6.321412	12.381671	15.445199	5.381499	5.01409
7.628746	5.502516	0.001638	11.266068	6.51849	2.422569	9.933869	2.78038	7.478095	0.105655	13.954354	9.219044	13.907594	9.280982
13.093861	6.544272	0.002683	15.820051	4.955772	9.2242	13.397504	8.047495	0.496962	8.954833	5.804924	7.691862	3.864223	2.101358
6.273715	5.546577	0.002683	12.9625	7.886653	1.510916	11.163746	10.366117	16.519407	9.552902	7.591377	5.724169	3.695893	1.203345
7.133533	9.022339	0.002683	11.782771	4.4787	8.085391	7.918528	3.700031	10.852988	6.589349	6.552973	1.128672	11.724944	11.027101
4.063353	0.142913	0.004394	11.68432	13.76537	7.209838	13.717554	11.62987	5.45666	15.969663	1.024609	3.927271	0.17376	11.230425
13.704313	14.579004	0.004394	13.682726	5.529494	3.205201	1.692825	0.135949	2.79875	9.01252	4.500024	17.973318	1.316509	11.864971
0.745746	12.152	0.004394	2.450304	3.820394	13.980232	0.42245	7.495624	13.458649	8.274857	5.381507	3.696954	14.430439	13.686449
0.962003	4.004201	0.007197	12.668064	7.133138	9.257754	8.369033	11.303257	2.560561	7.995604	14.442443	12.316283	6.576228	2.404235
0.440578	11.291843	0.007197	11.541978	13.645819	3.639128	12.296239	0.846159	6.723663	2.801591	14.663335	9.38622	1.916879	10.799372
8.022656	11.23688	0.007197	3.901823	9.85906	12.901686	2.096156	6.891146	0.437864	3.16005	3.595109	13.966547	12.290519	11.633306
3.771124	4.371442	0.011788	2.862672	0.859888	12.982394	11.152971	6.484735	6.625383	15.398504	13.517024	6.394143	3.830462	11.737471
7.412179	10.157648	0.011788	9.253571	10.513027	13.216351	2.401679	4.565479	7.098586	1.05266	6.762089	4.027667	11.798829	11.728448
4.484328	15.560333	0.011788	12.483208	4.323638	17.070744	6.185887	14.836465	10.965391	2.973522	0.436643	9.945462	0.117474	0.605117
12.533361	9.100835	0.019307	2.063591	6.109302	0.197721	8.930819	4.087096	8.95396	3.418364	8.463159	12.196108	10.381635	13.544742
6.17128	6.780249	0.019307	1.608082	9.754763	2.31453	2.661289	12.573253	14.425217	14.636203	10.664103	1.808847	4.092463	12.490414
1.865699	12.331852	0.019307	5.177472	4.297716	11.985973	12.624414	14.905659	12.369383	2.583261	8.152981	0.264183	3.206326	10.215772
0.426419	2.811708	0.031623	3.456703	6.427997	14.048854	12.18133	5.290847	12.651993	2.576511	17.591356	14.664892	0.490099	7.349671
14.008746	7.88161	0.031623	14.098588	9.405822	4.242098	12.977798	0.955466	10.168367	8.914876	4.027081	4.857033	2.776932	5.653959
11.27735	9.564921	0.031623	7.884527	5.227703	5.328359	9.24545	7.969346	3.656561	4.245892	9.660397	6.188894	12.915323	6.803656
7.663167	5.394991	0.051795	11.836748	7.820099	10.967883	5.793941	10.926811	4.14537	3.929591	5.158053	10.457113	8.451301	7.403138
11.044808	11.075756	0.051795	2.00146	4.439857	13.131089	13.233578	13.003572	4.299206	9.748147	0.137297	9.009232	5.190024	3.634178
3.272211	2.37991	0.051795	8.435998	1.688508	11.210603	10.685403	6.617313	13.127602	11.624532	10.316228	4.182155	5.956792	10.450951
10.348009	3.417595	0.084834	8.995323	10.231522	0.266161	6.30628	1.663565	12.279493	10.479921	5.965421	9.40537	12.394892	8.161613
1.820093	1.598446	0.084834	5.408207	8.010384	10.789433	9.511405	5.543379	3.191192	17.437948	8.739085	16.394431	1.725134	9.746029
7.898999	3.888387	0.084834	7.19452	3.25584	13.283518	4.233961	14.204842	1.009894	11.692551	9.796917	11.437811	0.937736	11.08019
3.08863	8.575621	0.13895	11.06913	0.010973	13.085845	6.446099	3.648555	12.934372	1.165383	11.933466	4.245146	10.658693	12.999137
6.618489	10.649123	0.13895	2.031366	10.397384	12.633844	4.552897	2.537049	8.643273	10.937997	6.464173	10.315411	13.834199	0.245847
8.076064	10.40964	0.13895	9.552969	9.935808	9.781884	0.313523	5.976357	4.216918	15.588904	2.094652	11.650726	8.751571	3.512034
5.979719	13.417078	0.227585	9.282178	2.480051	10.001925	12.266856	2.319202	8.688981	4.427767	13.480348	3.805122	12.327101	1.296089
5.052093	0.228032	0.227585	10.065877	14.9091	8.053546	6.233504	13.170924	3.617782	7.938093	14.642031	7.909652	5.822863	2.128921
10.18405	12.019968	0.227585	11.077618	11.677453	4.392306	7.736824	10.864531	6.477767	7.215794	9.689569	0.465921	6.539671	1.430945
1.651861	2.759494	0.372759	14.749971	16.152149	14.706139	3.91427	12.114544	14.895503	11.404799	2.725163	3.699801	0.496031	0.357515
3.720853	5.578503	0.372759	16.813356	0.898603	1.911706	16.296574	13.80262	3.680889	1.657362	3.766503	5.278164	13.739905	12.482203
3.39507	9.780498	0.372759	17.045025	0.342096	7.971825	9.266567	7.175502	7.685614	18.223921	5.130639	6.768471	0.180355	6.661657
4.288322	8.861482	0.61054	2.30875	9.942894	9.233667	9.07288	1.500245	5.626852	1.168643	14.43718	14.546713	12.876702	5.525129
5.956469	14.513461	0.61054	13.443876	7.681173	9.573687	5.872038	4.972194	3.546933	1.725853	11.719414	3.67278	7.905782	8.805799
11.906701	12.475497	0.61054	8.180675	8.20843	2.03141	2.096629	9.938151	2.825219	12.860718	5.543219	11.149962	1.414441	10.758408
12.026364	13.421745	1.0	1.548396	1.26498	9.482915	5.274124	9.04534	5.054885	0.16012	5.939415	13.601219	7.433844	14.746653
1.219299	3.761751	1.0	7.588072	12.302876	8.701385	16.546808	7.191277	10.598342	4.688053	3.693381	7.925107	8.575073	6.208576
0.788638	6.291623	1.0	1.425269	6.385018	18.532399	9.376922	0.078072	18.517823	5.997715	0.981021	10.397259	3.029012	17.199229
