CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
1.0	4.242964	9.727991	2.48764	9.276884	14.262146	10.51105	2.714504	2.988385	11.723815	1.664164	12.54041	7.565846	9.294202
1.0	16.946883	4.90147	5.793087	6.94102	6.36608	5.600586	3.245494	10.738783	8.994274	3.96939	4.417968	7.698795	13.38617
1.0	7.310348	7.503049	8.641615	2.621892	6.432013	6.888139	7.257567	12.078934	13.761323	8.074576	11.29038	2.004406	5.135761
5.5	7.307491	5.512576	8.87116	8.575521	7.412665	9.197438	8.643014	5.346761	1.247877	11.123711	8.991908	12.083755	0.186123
5.5	8.022166	1.07114	9.539095	3.97824	8.826514	10.534063	8.330669	2.256654	1.802282	5.335602	12.678101	9.497714	12.62776
5.5	7.175427	3.76575	1.017045	7.10836	1.877298	9.489886	2.781227	4.606862	2.598467	13.458196	15.014918	14.751706	10.854858
10.0	1.98604	11.145764	2.745721	1.053944	1.923531	12.582386	5.564909	4.577422	12.938023	0.817467	14.508783	8.122394	12.033618
10.0	0.151716	7.696677	11.109541	12.158203	6.578982	12.570452	1.184333	0.680693	4.20991	1.564685	15.084718	4.863206	12.146884
10.0	5.321041	0.321907	7.873527	9.899479	8.407715	2.388655	4.419815	10.944846	1.293273	10.025135	9.096309	11.63564	8.372658
9.370433	1.0	7.418696	9.378475	1.782143	13.66047	13.484181	10.29061	4.933858	7.158625	0.322388	12.360975	2.810362	6.028785
2.273204	1.0	10.229954	13.731376	3.360931	7.312835	8.13845	18.694348	3.502308	6.538464	13.605185	0.519008	0.036495	11.057444
8.396312	1.0	18.201848	11.061141	4.163168	12.592404	9.903538	3.07779	15.949497	0.075568	2.657022	9.376696	0.690654	2.854362
2.588132	5.5	6.259576	4.893844	13.550552	4.715464	5.518296	13.579148	13.600503	4.467441	8.577078	1.177613	6.834289	8.738063
5.129843	5.5	13.820237	12.043999	13.443346	7.687956	2.946075	1.331103	12.015421	5.086179	6.891759	10.784073	2.561539	0.75847
8.980354	5.5	2.99972	6.701608	5.216556	10.40347	7.493117	9.645346	5.775876	6.269414	8.261976	10.692183	3.357524	8.702856
6.99063	10.0	0.647198	5.653086	9.151755	0.079049	9.52372	17.690854	0.32973	1.596851	9.233298	19.136566	7.844646	2.122617
11.755048	10.0	3.225582	13.08352	8.312746	6.321034	11.601788	5.627964	9.592777	1.547497	2.33988	11.816526	2.641276	2.134361
8.945106	10.0	0.170673	1.668574	6.764505	0.453704	12.216758	11.912727	8.387463	11.976366	5.281345	6.871047	7.392411	7.959321
3.295161	4.580049	1.0	1.359391	12.827471	5.538433	10.336652	10.206725	3.601296	8.051077	11.865906	10.119471	12.168229	5.050141
9.266842	12.588726	1.0	2.683738	16.982246	12.998226	5.905893	1.890138	10.739132	3.388759	1.741554	10.041361	1.017328	9.756057
