CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
13.858949	4.819909	5.942704	12.572453	2.743419	5.785684	1.0	5.388202	2.756991	7.54364	13.968671	1.581882	9.801135	12.23636
13.094901	16.182471	1.51161	3.199956	0.135194	10.809141	1.0	4.825097	6.971115	4.561369	14.577208	4.613641	5.864557	12.653741
2.123313	4.290773	7.162204	9.377508	12.354202	12.84131	1.0	6.18878	2.967779	2.429545	12.353819	11.27689	11.215066	4.418813
10.294409	2.848713	13.005112	4.061234	14.287815	9.920875	1.0	6.680702	13.329226	9.28117	2.9923	2.987125	1.707599	7.603719
11.598717	2.452406	3.260406	2.364665	9.731797	11.577286	1.0	7.479702	7.992809	10.189778	11.12648	4.735823	9.050849	7.439284
6.931963	10.161065	7.76847	1.195692	11.972239	2.607147	2.0	4.870979	10.022778	7.536459	10.042032	3.139164	9.845959	11.906053
9.758605	6.921095	8.888767	8.729021	10.083739	6.829444	2.0	4.662325	6.579349	8.016765	10.545745	10.683579	4.356313	1.945254
7.838536	13.663276	3.066332	10.378205	14.266686	3.692409	2.0	10.613289	13.692558	4.678217	5.809256	0.754408	7.01637	2.530459
3.332391	3.226221	1.341038	4.817935	3.165185	16.849579	2.0	11.510088	8.955472	7.947525	6.883148	16.791982	13.170931	0.008505
1.394515	1.555011	11.888177	9.508232	10.872091	1.353723	2.0	11.318686	8.836195	9.278638	5.217175	10.151845	12.148274	4.47744
5.061589	12.485488	1.869134	3.985428	4.145563	17.091881	3.0	3.132237	7.964781	7.584342	7.196632	13.274983	8.487437	4.720504
6.292728	1.151063	3.729972	11.370701	10.106895	0.98983	3.0	2.771861	8.266881	11.294334	11.419725	11.448392	8.101222	10.056395
5.408464	2.789959	12.245275	8.207754	7.337095	6.872433	3.0	12.401109	1.678548	6.486356	3.604929	14.381011	6.743249	8.843819
8.890047	10.586703	11.519431	15.701576	10.056125	1.13392	3.0	10.601523	3.734678	10.137075	6.21342	5.851252	1.066878	1.507372
10.572923	9.862552	7.955948	6.582656	0.870868	8.943555	3.0	10.335465	5.874201	10.381536	5.224552	8.93858	7.249797	4.207367
7.228226	11.401951	7.817302	10.078441	4.863759	5.606157	4.0	5.068472	10.892977	6.17428	3.505214	6.556032	3.814336	12.992852
15.015229	13.506617	1.601484	7.068598	1.485862	5.884905	4.0	7.105387	8.383829	2.666618	7.361992	7.112575	11.885107	6.921797
12.154308	9.920642	3.412487	13.037638	10.854001	8.387183	4.0	8.200165	2.265186	3.995373	2.488345	9.214181	11.072344	0.998145
2.547209	1.380163	3.456591	9.359521	12.917403	7.554159	4.0	11.621546	1.202113	9.167252	1.256867	12.863096	11.940133	10.733948
12.463518	8.346991	1.595158	2.383666	9.649453	7.273319	4.0	2.977603	5.078679	7.335781	9.054243	12.184456	10.123357	7.533776
6.382395	11.445364	4.121032	1.830996	3.441332	6.526861	5.0	13.60812	13.089561	2.831978	5.49088	7.362747	9.949732	8.919001
7.906326	10.251569	4.528053	6.504027	8.39617	2.815746	5.0	11.200346	12.127655	4.844008	4.973594	4.074658	10.433488	6.94436
11.481144	1.62404	0.960297	0.636681	9.350549	12.76999	5.0	4.461434	9.771496	10.167578	4.88871	9.606633	8.51146	10.769988
13.876706	5.712599	3.239135	14.653099	13.198165	2.691577	5.0	3.927762	3.79288	4.226928	0.384937	6.438248	11.950947	10.907018
2.214326	6.321924	7.37517	9.682412	5.111601	8.791798	5.0	8.970986	3.041866	5.185353	7.278491	10.767851	9.15916	11.099062
2.829387	4.267476	6.694177	11.172267	9.106145	5.288309	6.0	9.252124	12.512092	5.537318	1.769257	8.980147	10.850006	5.741293
5.127176	4.678799	10.150029	2.543651	7.706648	3.71373	6.0	10.101341	7.978301	3.901771	8.756697	11.956246	5.442493	11.943119
8.680222	11.672474	0.762528	1.066473	12.326016	7.727803	6.0	9.873738	5.133259	4.044329	11.675816	8.703733	3.91433	8.419278
7.982449	12.873057	5.797482	6.015422	6.429962	8.679819	6.0	5.923709	9.36234	2.457276	7.447877	2.829431	9.466337	8.73484
10.693869	11.545366	11.879616	7.747179	7.414378	3.616636	6.0	3.290743	9.921752	14.970644	5.981217	4.212588	2.094847	0.631166
7.352781	13.70524	4.863627	12.819626	11.942441	0.278495	7.0	14.119524	8.422993	5.613873	7.760618	3.886925	2.055803	0.178052
7.288597	3.384101	2.947706	12.163882	0.919936	11.588447	7.0	11.513092	10.14846	10.361956	11.082342	10.28259	0.137978	1.180913
3.721794	11.711825	7.388281	3.679539	12.427214	10.300539	7.0	12.025196	8.655741	0.118342	0.919422	7.103814	10.917696	4.030599
8.018084	4.667389	6.224609	3.428745	13.310873	13.681119	7.0	10.337909	0.000381	9.843774	12.754176	0.247	6.226432	4.259509
7.699192	10.741085	9.625394	7.971155	8.331112	9.421445	7.0	6.374779	3.582941	1.610349	7.061821	7.693725	6.527414	6.359588
6.101424	9.086993	5.646505	10.922148	1.064851	0.615951	8.0	10.689887	7.204063	8.234735	2.994816	10.325859	9.633454	9.479313
0.574445	9.098939	1.694741	5.147028	11.993145	4.05686	8.0	8.543349	4.170942	12.450088	12.249274	11.377519	8.033035	2.610634
13.303906	2.848992	4.733926	9.40205	0.545752	12.270396	8.0	0.622055	11.897315	6.949209	10.069652	11.753124	3.307211	4.296413
10.168224	2.332679	10.450856	4.500662	11.216644	6.080729	8.0	9.554938	10.311925	0.896067	6.74418	3.588654	12.05195	4.102492
4.286045	5.768824	5.596132	0.449027	5.029169	9.238799	8.0	13.21799	11.937462	13.15376	4.926632	7.517517	8.842014	2.036631
0.011409	5.954159	12.24217	2.368962	8.285556	3.327464	9.0	3.854237	13.92831	8.682424	6.645915	14.684498	9.702143	1.312753
9.645481	9.263274	7.1079	5.216004	4.703492	0.55837	9.0	10.950926	8.575154	10.501097	5.390041	10.772878	7.635737	0.679645
9.704934	3.135446	7.269602	10.666234	8.554435	10.309377	9.0	7.89993	5.990774	6.306813	0.225772	6.259648	9.227636	5.449398
0.24958	4.600729	8.825752	1.643032	5.39588	7.738941	9.0	11.409623	11.558208	11.467844	8.605551	3.761849	8.048339	7.694672
2.353813	9.692276	8.995994	8.625746	0.838016	5.833079	9.0	14.356642	1.639929	10.456293	8.515823	8.140335	1.366857	10.185197
6.788682	10.32815	1.329884	8.21332	6.482088	7.684068	10.0	8.24167	10.089648	4.517559	0.94075	6.402632	8.217645	10.763901
8.388584	11.315778	9.085082	2.897705	6.45509	0.198103	10.0	1.816123	7.916216	8.129851	9.5288	2.29911	10.686232	11.283325
8.790951	0.737749	10.830532	3.111493	9.298668	6.653814	10.0	4.295376	10.729206	4.504464	8.747822	1.156314	10.431703	10.711909
6.839252	9.404466	11.907626	0.962142	9.653828	12.445428	10.0	5.331785	12.349683	0.01595	1.458395	6.896808	0.870995	11.863644
