CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
5.841907	5.308182	1.0	12.589624	5.168085	4.392509	12.787379	6.656572	1.839204	12.018297	10.735194	9.497257	5.237323	6.928467
0.900146	1.59006	1.0	12.754122	11.877471	11.731871	13.772598	10.618172	11.439352	6.93837	6.898487	0.018033	3.963053	6.498264
16.332859	4.209618	1.0	5.673265	8.716259	5.432922	1.325741	0.001758	13.936708	15.782478	6.340624	10.041118	7.127021	4.079629
11.253806	7.847073	1.0	2.630843	15.614617	1.362444	1.704432	1.910361	3.176926	16.721913	11.175288	7.860477	1.739903	16.001918
6.698514	10.05995	1.0	3.72628	11.230973	11.869108	3.74129	8.333354	11.475008	13.210581	8.134756	1.077913	5.404664	4.03761
12.226348	5.624297	2.0	10.468055	7.22039	7.249047	4.551189	7.717195	11.792065	5.828303	0.868875	3.057676	10.227879	11.16868
0.39276	1.745348	2.0	4.960048	11.354165	11.305663	20.802442	10.907604	0.31681	8.878328	3.558537	11.538678	0.851769	11.387849
9.272431	12.872035	2.0	4.873285	5.520157	5.74977	10.849624	2.954295	1.892402	14.772398	14.456152	0.277514	11.041789	3.468147
8.717395	12.44188	2.0	8.36509	6.580764	3.679393	2.16817	3.14958	3.652751	13.160805	12.444907	14.070434	1.522977	8.045854
6.494812	6.239973	2.0	8.032377	2.999677	7.226884	9.934868	19.602592	20.450987	5.481497	4.966803	2.701208	1.827556	2.040766
3.469789	4.829771	3.0	11.903758	0.060816	4.598861	2.983024	12.480494	1.573242	17.844245	18.997363	0.021957	15.193172	3.043506
12.825321	0.534799	3.0	14.997374	4.956117	5.630763	10.267864	5.037101	12.444752	1.816798	15.471211	8.732162	0.236341	4.049397
11.79416	1.458043	3.0	5.810883	11.865803	4.989842	3.430056	5.988981	11.670667	2.504676	7.661269	10.695316	8.629493	10.50081
6.513112	15.005019	3.0	4.57899	15.73222	8.784524	0.526403	3.263459	8.626048	10.823535	9.766496	8.743088	4.581402	0.055706
3.655941	14.530991	3.0	8.871035	0.058343	7.186636	11.841854	8.451539	16.220433	16.688444	3.241841	3.078034	0.809931	2.364978
3.299959	1.338963	4.0	6.324737	10.137431	10.188657	11.747486	11.74041	8.66749	6.234598	14.156284	9.712088	1.559163	0.892734
1.063705	17.557782	4.0	1.624336	5.583678	5.85713	1.739913	9.05382	17.623593	7.163172	6.323219	9.108351	7.466794	5.834508
2.346759	10.021511	4.0	9.981039	5.933307	9.508271	11.54058	3.637257	12.434761	4.133891	1.237292	10.794323	12.124426	2.306583
10.790776	10.177738	4.0	11.487218	5.065209	3.588248	9.424336	3.009721	7.764854	11.523222	3.26592	4.006554	11.029374	4.866831
10.78524	1.715545	4.0	3.578242	5.814741	8.266016	8.045718	6.592355	7.326614	6.472794	9.697266	12.592506	7.10499	8.007973
13.962208	3.31948	5.0	0.161879	7.320319	7.115968	5.781734	5.455814	8.34598	10.141458	15.273747	10.482374	5.374198	2.264841
10.456936	4.338098	5.0	1.891248	10.383865	2.350123	8.434368	3.995271	8.659824	3.713365	2.167786	13.097335	12.024661	13.48712
4.360093	11.647939	5.0	1.513645	7.108511	11.806779	9.273899	0.131673	9.286375	7.375805	2.719032	11.829702	9.433701	8.512845
2.071539	8.679767	5.0	1.37729	10.930302	3.102186	9.175638	5.402976	10.839981	9.964273	11.872058	0.824098	9.2554	11.504491
17.540219	10.916821	5.0	7.984673	5.292596	3.711604	18.373971	5.495163	0.189269	3.138213	3.639945	6.005638	1.312026	11.399861
3.79905	2.604646	6.0	10.93768	12.024777	2.854128	6.485236	9.870659	11.098366	4.675413	4.734831	10.831038	6.690549	7.393625
12.523827	9.089228	6.0	2.399694	12.786512	11.349997	5.386891	1.112665	0.519302	12.706641	10.632418	11.291643	0.221912	3.979269
2.957225	7.734166	6.0	8.11383	2.463186	18.869404	3.530866	10.505987	12.091813	2.982018	4.399991	5.759696	9.967854	4.623963
5.008983	10.153202	6.0	12.09368	2.197552	8.763764	6.414158	10.962071	9.918855	6.267173	2.112445	14.719061	4.194083	1.194971
7.656603	12.265804	6.0	10.059568	10.51718	8.878522	0.714009	12.122573	10.217584	2.871344	10.640896	5.389267	1.738521	0.928129
2.951633	1.114039	7.0	5.172723	8.252059	9.760888	13.301498	1.308959	8.43218	14.133486	3.494004	14.509093	1.410165	9.159273
2.756539	14.798128	7.0	5.089692	15.156483	5.29961	13.067168	2.468579	9.268177	5.274824	1.266698	12.160946	5.438632	0.954525
9.690913	8.67898	7.0	4.620739	8.387194	5.293467	2.893963	2.793379	11.835551	10.366665	10.129097	11.563741	0.20441	6.541901
6.314172	1.303559	7.0	11.419141	6.427598	9.111533	4.84071	11.755822	6.138749	2.090557	6.383011	5.712613	12.579538	8.922997
9.229011	3.275245	7.0	8.674591	9.498393	9.260293	6.848102	2.823061	10.237981	9.783496	7.296464	10.450625	0.250559	5.372178
8.522396	7.138319	8.0	4.204194	2.734902	2.966897	1.387083	15.995062	12.439464	2.426751	3.569074	13.200374	9.691296	7.724187
11.60465	9.777298	8.0	10.323553	6.975976	1.830426	6.884163	1.033373	8.315053	8.204022	7.720156	5.852693	6.962598	6.516041
12.747049	3.483611	8.0	8.113896	3.343848	10.705745	1.088201	5.90967	4.850752	4.778911	8.17201	7.117813	8.839987	12.848508
10.443626	9.113941	8.0	1.77147	2.489108	8.423459	0.129088	10.141153	11.046765	11.106941	3.34805	13.621173	3.392815	6.972411
7.181489	7.451602	8.0	10.758291	5.073117	10.319759	9.801187	0.77413	5.278668	9.579674	6.524775	7.862709	2.325742	9.068858
0.615101	13.716988	9.0	18.161317	9.525548	1.071213	4.593662	16.754804	0.575482	10.952998	1.983159	8.892126	1.198935	2.958667
8.585348	11.799554	9.0	8.282485	1.974166	0.107928	1.476991	6.049469	12.745875	7.237231	8.319428	12.157138	8.040569	4.223817
3.30177	10.5206	9.0	7.618505	8.697091	1.160678	3.442417	8.815729	0.200342	14.335182	4.161452	14.019336	6.114717	8.612181
8.13823	1.99768	9.0	0.889094	8.385115	3.769411	1.742909	6.550557	15.372061	9.15469	7.891184	14.601293	1.536265	10.971513
