CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
6.69612	10.329313	15.385462	6.225867	9.7287	15.319845	6.197895	1.0	8.397246	3.556882	1.383909	2.819413	4.342956	8.616391
8.14902	3.007275	14.594975	6.418998	7.404671	5.090273	7.973897	1.0	12.919616	6.837648	9.056321	3.090182	14.128642	0.328481
10.286551	9.723253	2.662073	3.985719	8.341229	4.943765	6.392515	1.0	13.799223	12.189047	3.342201	1.561944	6.356116	15.416363
5.286731	2.938612	16.338231	10.339133	1.923526	0.641707	0.472307	1.0	7.210672	5.307819	6.323266	3.075414	14.62962	24.51296
4.601276	11.712772	0.143663	8.173043	6.247864	10.501508	15.199126	1.0	14.675405	1.052468	10.230665	11.60342	1.962492	2.896298
13.40084	6.09281	3.36132	9.191721	0.330611	2.635747	9.087598	2.0	10.993603	11.69869	4.34361	2.628955	11.797607	12.436889
7.227368	13.255961	4.544875	6.40967	5.635185	11.18519	9.978938	2.0	12.388751	4.551561	1.629857	4.635313	13.71769	2.839641
9.497342	0.897605	15.119868	2.827402	0.6941	2.770569	6.637059	2.0	12.156672	12.159274	11.074321	2.200987	6.663075	15.301724
2.829757	8.043028	12.752375	3.554125	5.265254	4.902146	3.057332	2.0	5.143886	12.689687	7.947754	12.98848	5.780016	13.04616
11.698339	10.803248	11.131944	13.151383	3.639994	4.567022	12.313056	2.0	7.42479	1.241694	3.027637	2.978052	4.460957	11.561885
0.722626	1.47541	5.100138	13.869477	10.7854	10.303771	6.037561	3.0	10.061591	3.541133	0.04413	9.608655	13.802539	11.64757
12.389115	12.789079	9.21121	8.415647	4.060056	6.809954	10.2011	3.0	2.887733	4.935893	12.665534	1.161658	9.789198	1.683825
15.524264	7.499399	10.369107	6.499154	3.931186	12.888343	3.137946	3.0	13.777958	4.807468	2.911763	8.735118	5.106418	1.811878
0.947089	13.351277	13.471483	8.087664	8.941112	0.72478	3.540613	3.0	2.550763	3.134128	9.404084	11.133133	10.173884	11.53999
9.165407	13.84284	14.737819	2.500052	4.13791	6.767915	12.564113	3.0	4.776238	3.119761	3.718731	8.78338	6.067218	6.818617
7.424924	11.180037	15.586455	7.609651	5.399118	5.612154	6.926292	4.0	10.431607	5.508258	11.390354	1.543432	1.985599	5.402119
5.539151	11.629245	8.350346	11.38561	12.502386	2.54029	5.160688	4.0	5.590332	2.74435	11.045909	4.762661	6.637183	8.111848
17.259013	0.148353	0.159515	2.360536	10.626352	5.546215	5.409149	4.0	9.011723	5.512222	8.400191	17.194721	12.034673	2.337337
15.28084	1.604304	3.017707	14.901737	2.960152	0.86561	0.094778	4.0	9.846974	6.135655	6.084521	11.138938	11.939019	12.129764
