CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
3.724524	4.402275	14.845468	9.186822	0.743097	4.493288	14.947079	12.639015	1.0	10.887101	5.749975	2.551565	9.412842	5.416948
10.573483	4.074456	0.587535	9.95145	8.307754	13.934931	13.905832	13.391506	1.0	7.061301	0.503871	3.776602	6.168107	6.763172
10.859892	7.567558	10.272859	3.644751	5.024449	4.71867	4.031478	4.013541	1.0	3.617787	9.030257	1.779968	14.963985	19.474805
2.892627	12.615529	1.576983	9.935386	13.30042	6.826141	3.380805	7.500315	1.0	8.759732	7.581323	14.131846	10.254642	0.244251
14.055569	7.585763	0.60164	4.246264	13.476943	4.722454	5.634213	11.642228	1.0	8.706498	11.948251	12.377829	2.51314	1.489208
0.958829	2.399813	1.527181	10.990859	9.914423	9.387002	17.939859	11.780811	2.0	6.330806	9.288494	7.737776	3.226394	6.517752
1.627563	12.893947	1.717076	1.903729	6.189797	13.817387	10.752242	5.580797	2.0	12.605704	3.902728	6.657399	13.702358	6.649273
2.043878	14.055225	12.472091	2.276741	6.982233	5.358897	9.970827	13.907335	2.0	13.077673	3.300614	0.270574	1.125441	13.15847
7.630719	4.493231	10.110888	8.332509	13.283024	2.291588	9.395491	4.41915	2.0	1.598258	8.871142	10.295446	12.460401	4.818153
0.503606	10.811204	0.873939	14.778601	8.585639	3.424767	10.876842	1.85283	2.0	3.801473	13.466392	2.935516	15.429736	10.659454
8.930902	6.627084	6.77324	5.380553	9.480318	11.07193	0.242056	8.498978	3.0	3.967915	10.50809	5.970581	10.443441	9.104911
5.976795	8.632585	7.789039	3.184731	5.851322	8.042965	10.586022	10.96422	3.0	8.426014	5.981698	4.21378	7.387239	9.96359
13.040378	3.37282	4.602048	1.983676	4.788076	2.607287	3.456128	9.535179	3.0	8.569757	7.143733	9.183346	15.248676	13.468894
6.190399	8.051241	2.976053	6.642447	11.496019	7.304728	8.112017	9.13247	3.0	16.191049	0.867805	4.796972	11.099132	4.139669
4.763868	1.896733	10.436408	10.372671	5.416196	10.039947	7.796985	6.288564	3.0	3.675198	7.292449	11.445106	7.011816	10.56406
7.314137	1.217513	14.655121	8.807053	8.367916	3.550388	2.351055	10.667847	4.0	12.113788	12.202508	3.852247	9.872682	1.027745
9.447561	10.795434	9.64545	2.160503	3.099821	10.667189	11.787535	11.209628	4.0	10.516624	7.158516	7.318337	1.721261	0.472141
8.790731	0.026863	14.987442	4.596466	2.673151	10.398468	6.717843	0.889517	4.0	13.074449	12.992424	7.322957	4.174248	9.35544
3.781701	9.525585	5.970372	6.335898	11.408699	13.384741	4.451207	0.070418	4.0	7.132907	9.420533	13.879336	8.89012	1.748484
7.934205	13.564535	1.916302	8.281217	13.67926	9.356092	7.071498	0.099974	4.0	1.80921	5.164157	11.296562	12.075809	3.75118
13.443624	6.174508	14.324632	2.645788	8.838358	0.416342	3.65789	12.524322	5.0	11.02596	2.726637	2.231003	14.003528	2.987407
6.629857	6.735343	4.003053	11.842636	9.269221	12.912537	5.191875	12.590109	5.0	0.543885	4.021964	13.459499	5.776879	2.023139
5.981745	8.966768	6.438786	10.624541	10.43065	1.866284	6.732053	5.423924	5.0	9.824329	10.216301	3.757423	8.67066	6.066537
7.75732	10.207183	5.590844	12.701343	9.246706	1.134861	5.361811	8.995511	5.0	1.250273	3.875639	7.131419	8.627666	13.119423
8.183375	7.473288	0.620292	14.287805	14.114523	4.148809	4.484484	6.715867	5.0	13.230844	8.78318	1.067253	8.030531	3.859749
11.518229	0.675524	2.648156	17.108068	17.035725	4.954018	0.593256	2.636331	6.0	2.972027	2.210305	8.188795	11.419937	12.039629
2.458383	10.404075	4.444916	7.965779	2.980535	10.201074	7.105309	8.319595	6.0	11.58301	4.258677	3.885111	10.913119	9.480416
0.980124	12.87997	12.141164	2.983899	15.488244	1.128855	3.046671	5.191993	6.0	4.239718	14.962876	1.92861	13.896068	5.131808
5.551118	10.05384	8.552259	7.46459	6.884618	5.73732	9.214506	1.666931	6.0	0.365294	10.127683	7.528405	12.012692	8.840744
1.237034	17.441231	4.373549	17.094043	3.517198	7.673401	5.862893	3.44463	6.0	6.265703	1.430133	4.592941	8.925205	12.142039
1.797494	11.493759	12.56478	7.221273	12.169318	5.208806	2.4843	1.186914	7.0	6.434944	3.60408	13.193695	4.537845	11.102792
8.840275	5.311602	9.782768	7.283655	7.453404	6.42223	9.079448	3.131183	7.0	12.022314	5.762403	9.998321	5.533561	2.378836
8.878266	5.980768	9.354046	9.062336	5.757416	4.702285	11.470387	7.531889	7.0	12.56864	2.061158	2.563442	1.171896	11.89747
4.686587	7.023927	2.469189	6.39712	2.251796	10.400312	13.831732	9.614043	7.0	4.646523	11.65051	13.081097	2.568447	4.378717
2.152615	6.13333	2.634888	3.011754	10.795313	7.388058	0.515207	1.237144	7.0	15.29367	14.198007	4.812169	14.8226	10.005247
2.383687	11.098647	4.189907	2.606348	5.869973	9.178389	7.743432	11.887769	8.0	5.525727	6.290594	2.273384	10.097778	12.854364
9.708838	7.223815	10.44776	2.877686	8.773289	3.575189	6.63292	2.386761	8.0	11.410959	5.022767	11.72151	11.440003	0.778502
9.168587	11.29611	7.348755	3.726523	2.914502	4.805388	6.69203	0.4161	8.0	13.06385	10.983094	0.341209	10.853758	10.390094
1.07946	12.814267	14.258558	4.931364	8.890607	4.342675	4.037789	8.891346	8.0	11.106024	10.849581	2.773173	7.751637	0.27352
17.380785	19.074963	3.353901	1.660346	4.637726	6.942814	0.853916	5.219745	8.0	6.796029	1.17775	10.88956	4.572464	9.440002
2.823384	2.191773	8.432483	3.961743	9.28085	6.853941	11.972812	7.818019	9.0	7.865672	8.136499	8.770058	7.379811	5.512955
11.778637	1.718231	0.625172	6.407366	11.101652	1.28508	10.654489	1.980051	9.0	8.786783	2.646024	11.232533	14.45899	8.324992
2.236501	1.303836	6.60831	2.918934	10.57597	0.996788	3.376232	12.782732	9.0	15.962482	5.959325	12.082125	4.263225	11.93354
3.332462	16.780427	9.785336	16.235183	9.139735	4.443021	0.520172	8.874165	9.0	10.107061	4.073087	3.491585	1.741165	2.476602
5.316518	7.044673	4.364714	0.155239	12.553419	1.367539	11.728203	11.090407	9.0	13.978996	10.444233	7.662822	3.818779	1.474456
4.345137	11.214058	9.620947	4.24898	8.630092	0.470219	9.547606	5.72629	10.0	5.031984	1.171532	9.446896	11.565339	8.980922
2.274768	10.067357	1.370937	1.790683	10.599105	12.040239	4.299116	1.37359	10.0	8.375988	3.660022	14.914282	10.67919	8.554723
13.301358	7.134666	6.464195	2.635356	8.149604	14.619215	5.546876	0.798072	10.0	9.972797	3.802873	8.140899	2.805323	6.628767
0.498174	11.408063	6.360396	8.523028	7.547796	1.343619	11.537689	1.770029	10.0	3.392406	14.112165	10.169453	7.669322	5.66786
1.979249	0.093863	0.456731	2.5511	9.099044	10.400573	3.849496	10.654946	10.0	12.478412	13.927784	9.209118	10.460201	4.839483
