CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
13.111404	16.361592	6.476897	3.414945	3.8194	12.900016	15.975293	7.818917	0.180761	8.32773	1.221361	5.763115	1.0	3.62857
11.989154	10.950286	17.677379	11.477251	0.565857	8.46948	0.607593	4.562504	5.452185	1.19806	10.997955	4.906373	1.0	10.145922
6.771591	3.108132	6.026229	5.259157	2.594952	10.914054	9.050014	10.505983	0.962915	4.502121	14.90868	6.686249	1.0	17.709924
1.962143	0.596329	6.864345	2.027619	14.954801	10.427274	12.941203	2.536066	10.735354	8.543902	5.502691	10.815473	1.0	11.092798
11.047916	1.868056	3.966341	8.046739	0.718429	2.701628	3.858183	4.213742	6.218845	19.641263	16.609403	18.016218	1.0	2.093235
9.713757	17.592636	6.315311	8.906206	6.549229	12.534634	2.494559	5.157978	9.65015	1.432829	3.403199	12.211274	2.0	2.038239
9.076424	4.718753	6.532117	13.142762	5.147022	9.019355	14.566753	5.346674	2.724649	13.584411	0.940165	8.468916	2.0	4.732
10.095582	11.654875	7.18227	13.163347	6.999392	2.222812	9.587484	7.339501	12.372833	1.695845	0.253782	4.775716	2.0	10.656558
4.148522	6.093356	10.641749	6.382095	11.111189	10.764224	9.161626	6.755749	6.144963	1.695152	11.035677	4.451947	2.0	9.613752
12.445064	7.980239	7.135569	9.005274	0.421752	10.802422	1.294696	12.533979	5.319208	12.604855	7.717766	5.042356	2.0	5.69682
12.393337	6.481228	10.48079	5.950959	5.167532	9.830392	6.878866	11.063519	9.200228	3.406614	1.892508	3.115018	3.0	11.139011
2.649647	2.211039	7.785879	7.895316	6.375747	4.791679	10.963915	9.782396	9.959344	9.51753	10.112716	4.983185	3.0	9.971608
2.489761	1.40552	5.256057	1.12522	11.994451	14.079028	0.963	14.016612	9.42435	7.787856	14.54089	1.647005	3.0	12.270252
4.957448	2.486755	9.873997	14.29401	0.53962	2.444551	16.130289	6.461612	3.189332	6.646461	7.791267	13.115076	3.0	9.069582
18.233735	0.706194	0.633954	0.902181	6.785051	8.403333	0.961316	18.900261	4.204013	10.645358	1.445748	18.110811	3.0	7.068044
8.05605	5.59151	1.124951	4.021216	9.64594	11.355836	9.913635	0.376575	14.872816	8.273571	1.544803	5.019414	4.0	16.203683
0.589667	8.549657	10.247977	5.394457	12.772728	9.118365	3.193592	5.32994	7.249695	12.473351	4.379689	10.136126	4.0	6.564754
5.422628	9.675678	7.348819	4.157118	5.308439	7.001781	4.322862	6.318945	10.024591	11.099186	5.94982	11.500108	4.0	7.870026
13.618358	6.210683	7.955092	0.575036	5.892211	3.627284	15.205088	8.664919	0.529529	6.737372	15.038024	2.961504	4.0	8.9849
5.953356	1.460839	7.993647	6.772077	10.465278	2.793007	4.094663	11.975129	3.279326	11.461081	6.630027	9.618062	4.0	13.503507
11.876478	12.608508	2.263333	7.274244	9.661214	1.001045	5.303247	12.718575	10.07919	4.798586	5.568572	9.175338	5.0	2.671671
7.650859	10.725045	9.517665	9.793356	2.330166	10.937889	6.40741	2.936683	12.007944	5.543743	9.202	1.997847	5.0	5.949394
4.966541	16.887178	7.58452	2.531483	3.4699	2.65555	6.20856	7.563115	15.572285	1.312046	7.381317	3.892329	5.0	14.975176
12.673995	4.968704	13.919135	13.911887	1.822827	14.131134	5.630699	5.697258	4.438995	2.164578	6.162704	8.626169	5.0	0.851916
0.685315	8.25926	3.81189	9.143458	0.76992	9.891953	5.697618	7.279191	9.779979	9.667935	11.04653	10.243405	5.0	8.723546
4.989675	3.522755	7.627934	7.409684	8.321556	11.370845	2.207879	8.18851	6.699187	5.272664	12.642198	11.737253	6.0	4.009859
2.154798	4.132972	0.246146	12.010176	11.288292	9.861913	12.164922	0.642753	2.862672	11.602941	8.523175	10.750235	6.0	7.759004
4.961075	3.864711	12.263494	0.781957	7.437655	10.145673	3.786983	3.101396	10.198953	13.094361	9.391826	10.097362	6.0	4.874552
9.660426	5.629643	13.554462	11.779928	1.262384	4.530227	8.727536	2.745419	6.923041	2.408214	0.376066	12.162617	6.0	14.240037
4.785547	7.294886	2.313305	11.357676	2.59782	13.325231	11.988329	4.509011	8.762056	8.696865	2.929439	12.718997	6.0	2.720836
4.174825	8.149917	11.175058	12.659201	8.229835	14.083472	5.483028	11.033374	1.205912	3.318183	4.299051	4.909952	7.0	4.27819
9.142511	9.92242	7.13861	8.930127	10.551827	2.525437	10.043678	6.86834	4.820788	2.010248	12.444541	4.732647	7.0	3.868826
8.880721	8.440208	9.831942	8.857738	0.27053	9.553359	10.946577	11.766323	1.082538	6.429741	4.983192	9.859053	7.0	2.098079
3.733305	6.495899	5.757979	3.353076	4.590474	5.458492	11.321707	7.649394	9.127536	8.546971	12.014075	5.586835	7.0	9.364255
2.212912	3.065166	8.251729	1.721706	10.598503	11.374412	12.4267	9.644627	2.300407	10.560662	12.40538	2.736478	7.0	5.701317
4.794916	10.253597	2.623706	11.322046	9.161197	10.281153	1.238573	13.314727	7.175172	1.615573	8.072486	8.821408	8.0	3.325444
9.730432	3.21076	3.199696	7.727221	10.055446	2.042853	14.33802	7.491381	0.041868	9.668542	5.937193	4.732571	8.0	13.824019
0.956286	5.072186	15.3031	5.706664	1.850945	1.922806	1.61184	19.113003	8.498837	7.690413	11.498209	7.475756	8.0	5.299954
6.585543	3.386179	5.740765	13.861833	6.806795	8.915306	4.80667	13.823587	1.595275	10.112721	8.055793	3.970429	8.0	4.339104
0.323168	4.220066	7.149904	4.727385	8.164021	11.300736	9.242068	0.717854	12.582764	5.169375	10.626213	6.342209	8.0	11.434237
9.520366	11.071198	5.386539	0.754315	1.402526	11.036987	1.127078	6.092751	6.243023	0.762811	11.776557	12.881259	9.0	12.944591
1.229867	11.814134	10.331685	2.546694	7.677	4.819039	1.884089	1.643561	10.955939	7.077097	14.948379	1.074542	9.0	14.997973
9.048625	5.488229	9.606844	4.403902	7.95329	4.773759	2.700781	4.487491	8.896178	8.861842	10.081882	9.961756	9.0	4.735423
11.635652	8.352978	9.426605	4.271148	1.869039	10.933426	8.070902	10.831317	7.753432	2.405316	2.745277	0.152326	9.0	12.552583
9.698679	8.713585	6.422879	1.824977	0.595267	12.614087	12.591332	1.545571	0.849573	6.639788	6.306046	11.608569	9.0	11.589648
12.598148	5.303283	6.408479	7.531669	0.882625	9.03629	10.676572	5.246639	2.379081	13.440211	7.576014	8.582136	10.0	0.338852
4.340052	0.594423	12.631237	2.550693	9.876642	8.668761	6.533817	0.238175	10.715713	13.115056	11.961257	5.953953	10.0	2.82022
2.182802	4.782651	9.211101	7.000446	6.723573	7.660001	6.966975	12.887542	0.845032	6.355932	9.445975	13.772871	10.0	2.1651
10.822606	5.941361	7.21193	11.130349	5.06623	10.067237	0.676001	7.570868	1.225455	12.075815	5.692587	6.746626	10.0	5.772936
5.101515	5.732306	7.722302	13.355059	0.962763	13.669659	9.747745	3.450228	10.034972	6.38537	1.67592	1.958196	10.0	10.203965
