CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
10.694588	2.161882	11.798426	11.837147	10.073721	0.345689	12.456213	5.773895	11.89555	6.765306	5.055053	1.0	4.033507	6.109022
1.686097	14.379669	1.231621	4.160418	12.088547	1.277767	0.668271	10.665746	8.579417	11.014936	14.177784	1.0	14.388451	4.681275
10.211147	0.155488	6.055354	4.959877	2.793962	14.908374	11.778879	13.406443	8.537658	5.248395	8.012748	1.0	5.056958	7.874718
7.476242	4.536628	3.269434	6.903793	10.561674	9.130584	0.977611	9.230048	14.370297	7.902082	13.992699	1.0	10.402344	0.246565
7.674903	7.824928	8.136225	9.587278	9.663349	6.512002	8.096225	9.326381	5.989904	1.73791	7.117976	1.0	7.928915	9.404003
1.094069	9.480525	15.071769	6.869585	6.137385	0.000384	15.834545	1.222545	6.744995	6.787726	13.479849	2.0	12.534222	2.742401
4.341185	4.290762	14.161176	6.61696	3.646037	8.476169	1.486477	13.204897	12.104626	14.117033	7.092024	2.0	1.448334	7.014321
6.168712	14.59481	4.769854	16.728715	13.921338	4.449555	1.833527	1.722077	7.370269	2.07085	4.440831	2.0	6.418175	13.511287
10.440408	10.438168	3.567635	5.507498	10.703048	10.171557	0.444647	10.533578	10.873749	6.637529	8.548326	2.0	6.596002	3.537855
9.185392	4.068235	0.381511	6.640645	8.122461	8.557469	3.082102	6.569018	16.690896	0.34106	3.038476	2.0	15.022818	16.299916
3.13658	5.269841	8.576774	4.389371	1.482156	18.014304	0.26358	10.016441	0.944448	14.039022	5.425967	3.0	12.957216	12.484298
9.147469	12.740019	6.972115	2.138023	1.168765	4.921713	0.988216	2.972195	12.419646	7.533939	14.830456	3.0	10.820972	10.346472
5.111559	13.641833	13.464918	9.372391	1.050199	2.35148	2.889857	3.098506	12.108263	9.805663	5.928262	3.0	6.195305	11.981765
4.555233	7.634121	2.18178	9.400866	9.174717	12.780027	3.76617	0.807742	0.883813	11.773114	11.572594	3.0	10.310593	12.15923
0.475056	8.813678	0.258157	5.832653	18.047581	5.46287	15.010092	5.420594	6.130855	14.066277	14.73868	3.0	2.606001	0.137508
13.160325	0.11603	0.050138	10.077181	6.617623	14.000347	8.265418	8.93974	8.262184	2.005016	14.748593	4.0	4.898964	4.858441
14.805757	9.297421	8.410288	0.771668	7.20481	3.863091	7.457524	3.154989	2.13196	6.691029	10.122136	4.0	11.904191	10.185135
13.665903	3.114382	5.06051	0.222354	8.569944	1.044872	5.427404	12.738389	13.796207	6.162996	13.535017	4.0	7.156938	5.505083
6.323871	7.518872	5.721842	3.946035	5.445116	3.659582	11.53365	11.32869	11.418479	8.132414	10.069558	4.0	2.561243	8.340648
10.575766	4.399497	8.73886	4.630933	5.599916	14.093292	0.460079	1.00966	10.358889	6.345204	14.249049	4.0	7.070481	8.468376
9.082074	2.410692	7.248863	8.533283	11.377411	4.679605	11.789916	2.355047	7.1289	11.84128	3.537903	5.0	4.944156	10.070871
0.916355	11.270277	3.374856	9.359967	3.263691	4.498791	9.603843	7.541184	4.159861	9.681977	11.246422	5.0	11.596246	8.486531
0.352522	18.131922	1.474445	0.38391	13.751307	5.689291	2.621273	11.670873	8.480703	2.712915	18.345996	5.0	0.234068	11.150775
3.477926	0.990241	1.727761	9.813581	7.348792	13.726786	0.936185	6.844146	8.549472	16.492875	9.012613	5.0	9.151962	6.927659
10.702937	2.515834	9.474231	13.419829	13.576371	10.634538	2.720288	7.724022	2.829022	0.154851	11.694294	5.0	6.781943	2.771838
6.161619	0.944681	15.622085	10.374324	1.193329	7.408905	1.384899	11.224162	20.044462	7.508825	2.504048	6.0	7.153726	2.474934
2.062025	10.603864	1.750805	3.329511	5.468696	8.627492	10.668225	6.625382	16.303001	3.886198	11.584741	6.0	2.942318	10.147742
6.409616	9.362549	3.254595	8.388772	1.675028	1.140346	9.055498	0.632181	8.941207	11.588706	12.777334	6.0	9.143527	11.630642
8.550715	5.237624	7.737125	4.5674	7.844148	2.399255	8.835403	3.496404	5.446968	11.848804	14.11875	6.0	6.810813	7.106592
4.128966	6.18572	1.7448	10.090686	11.826723	21.090319	4.644276	7.214925	7.323364	3.887289	5.247439	6.0	1.632175	8.983318
9.713418	7.951048	9.438408	8.011055	9.714491	9.846878	0.182645	4.627917	6.400185	10.341143	1.066105	7.0	7.480905	8.225802
5.407184	3.49871	9.715718	3.464571	12.129153	12.926163	10.156473	7.422216	4.606058	11.92189	2.67694	7.0	6.566151	2.508774
10.294363	3.091953	1.678949	12.43713	5.334988	9.798369	11.173638	8.792212	0.942088	6.016635	2.913295	7.0	7.206114	13.320267
12.62863	19.934602	19.598316	7.425189	0.580068	3.220201	1.558484	0.3696	20.333644	1.205545	3.386227	7.0	0.880448	1.879047
9.277902	8.9944	4.117961	9.70024	2.502906	13.245523	10.824575	0.580057	15.530832	8.181947	3.563316	7.0	0.656787	5.823555
11.193319	1.73969	1.633896	14.467865	10.848206	12.596291	10.040365	9.850193	2.867486	10.427729	3.64683	8.0	1.535169	1.15296
6.688591	5.97488	7.475011	9.042784	11.449357	3.991916	8.905509	9.179196	11.233433	1.556227	2.921653	8.0	13.080895	0.500548
11.901404	7.257268	10.635812	3.242529	0.911491	9.416865	10.126777	1.600021	9.972114	7.819925	0.124928	8.0	10.504563	8.486302
9.202823	3.721011	5.546477	11.730709	9.136831	8.108177	9.04044	1.049728	4.645269	6.848372	8.04573	8.0	7.768465	7.155968
5.071768	1.201304	12.201994	10.649396	10.294227	11.553937	2.290178	2.055178	6.881868	1.368787	9.773146	8.0	7.414314	11.243903
9.850887	12.890286	11.722693	5.430475	10.14924	5.553254	0.431661	12.582538	9.553505	3.396897	2.755247	9.0	2.232424	4.450893
4.330006	12.848377	13.882449	6.629783	4.845192	0.521792	3.669306	6.580749	7.154249	14.232632	1.335798	9.0	7.843299	7.126367
0.99239	5.877006	3.254523	8.371909	1.492576	11.887613	8.005141	9.897133	2.780276	15.469018	16.47703	9.0	3.512042	2.983343
5.37008	8.211474	1.34073	11.940749	13.739533	8.429008	5.293799	2.224563	1.633419	9.723671	5.124276	9.0	17.021041	0.947656
6.481803	1.791809	1.413749	6.16511	3.519135	13.065081	11.180911	8.44036	12.677609	2.285359	6.05848	9.0	7.917724	10.002871
5.139629	1.262801	7.238036	13.196757	4.118599	12.503194	2.546246	6.204259	1.715851	7.748935	7.13151	10.0	13.815294	7.378889
2.199282	12.639036	13.737206	1.667725	3.798842	13.224017	1.264734	4.069319	8.400831	13.623648	8.147759	10.0	4.201999	3.025601
0.457323	9.452231	12.536627	5.943612	3.96284	1.537216	8.847331	9.997375	7.817139	12.848092	5.355006	10.0	1.687479	9.557729
13.89699	13.733292	13.141705	1.878941	1.353593	7.279641	8.050747	0.766996	3.395979	10.324537	3.762319	10.0	1.125765	11.289495
