CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
7.403433	11.517958	10.231829	2.449981	1.0	10.689864	12.017089	0.260594	9.031405	2.380314	7.268022	9.674213	15.349149	0.726148
14.111895	1.523285	12.868451	8.017014	1.0	16.001353	1.74538	1.758743	7.688238	1.174189	8.521902	5.509074	8.279021	11.801456
0.037411	5.338687	0.202109	13.435081	1.0	9.317591	8.365689	6.776618	0.942015	14.391527	11.809465	10.416745	8.895714	9.071348
15.507715	11.258087	0.83727	11.916461	1.0	5.730239	14.034549	0.900364	5.428513	7.955884	8.965239	3.322967	10.951506	2.191205
12.818992	2.737895	10.945086	5.381219	1.0	9.205105	3.144082	7.68964	7.26175	1.480041	6.262233	11.57074	10.414354	10.088863
8.385302	12.110617	10.028919	12.584306	2.0	1.616933	11.728848	13.279913	2.86626	4.836119	1.010339	1.08951	5.507469	12.955467
11.642231	6.741438	1.794927	0.578213	2.0	6.901378	6.028221	14.021851	5.059436	13.057186	14.616402	7.160799	1.278217	9.119702
11.961048	9.212881	10.99694	0.6645	2.0	11.972258	5.791854	5.533331	1.982111	7.935751	7.688813	12.062379	5.521657	6.676476
3.27608	7.677418	16.149052	11.373834	2.0	4.347443	0.39125	8.918241	6.472316	2.247735	6.921004	17.304944	3.475338	9.445344
10.33055	8.609994	6.863311	14.993104	2.0	9.372511	3.305544	3.02624	3.262272	0.981687	14.205944	2.223543	7.431629	13.39367
2.378508	11.888067	3.531245	2.947555	3.0	8.196717	12.868501	14.460891	4.460677	10.392058	0.823038	8.926089	4.734733	11.391922
0.762106	11.579441	7.563226	10.921374	3.0	7.796975	8.492929	6.405232	2.397956	6.69074	2.261081	11.608831	8.820764	11.699346
6.776858	3.710839	12.265361	7.2774	3.0	3.582381	10.7847	11.940127	2.656297	7.050249	9.599932	13.415203	4.681039	3.259615
1.747694	5.982168	14.24669	4.938362	3.0	5.836645	4.705419	6.362112	6.046918	8.055417	10.066285	13.940596	4.727914	10.343781
2.554939	16.782536	0.808617	10.613284	3.0	2.063461	12.872763	5.156287	1.860552	6.460213	16.634542	10.97669	5.859693	4.356423
10.87688	7.397637	6.495709	1.950456	4.0	13.957913	12.607147	12.470658	2.119769	4.603009	0.418615	6.351478	10.115638	6.635089
4.589137	12.838663	0.980267	8.844035	4.0	9.370086	6.035185	6.690873	14.562538	8.598019	1.985652	9.529141	10.502191	1.474213
7.256441	9.531152	3.791735	3.085425	4.0	6.604766	10.468077	4.024945	11.435184	8.18414	0.230883	11.559581	8.610079	11.217591
7.487988	0.467484	4.459695	5.202877	4.0	11.171859	1.739544	9.600501	2.689353	5.995213	12.530678	13.276213	6.802642	14.575954
10.488701	2.979406	1.219836	3.138398	4.0	11.947574	15.313708	2.958685	1.959282	7.100391	12.649593	0.931826	14.653923	10.658677
6.83898	6.334639	9.194155	12.491031	5.0	13.78214	5.100153	3.6682	3.605573	3.161351	1.145304	7.317938	16.317147	6.043388
