CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
1.561355	1.341112	7.016904	1.0	12.405221	3.95826	13.074635	2.183508	10.93028	5.57716	10.995374	10.846147	13.835677	5.274366
8.066915	16.210983	4.489161	1.0	3.71886	18.164412	13.061465	3.331154	6.500457	3.340178	0.747278	7.623146	7.667523	6.078467
10.095789	1.54739	2.135602	1.0	13.803663	0.497369	16.173094	12.75054	4.593271	8.808653	7.740664	4.011089	1.39609	15.446787
8.200135	4.744871	8.917949	1.0	13.247548	5.655849	4.520029	7.856296	10.936542	8.854137	14.462959	0.106995	4.00978	7.48691
8.047192	13.79714	14.849184	1.0	4.970252	4.751547	9.423325	12.82229	7.257675	7.296311	5.457189	0.756807	6.487477	3.083609
3.998904	6.316008	10.586147	2.0	11.103988	2.534273	2.994839	0.205018	14.609409	11.596998	11.427469	10.35557	1.919983	10.351394
10.132113	4.222673	7.479902	2.0	5.917582	4.756768	0.686174	3.693678	8.191408	15.571456	14.725652	13.664457	0.0301	8.928039
2.484496	11.176942	8.471569	2.0	8.975571	5.940524	10.618767	8.329667	9.192252	6.908213	9.771703	2.054871	3.293525	10.7819
1.736329	10.698119	12.922413	2.0	2.627483	10.97358	13.56765	11.36563	8.742658	6.953797	5.419355	6.273535	4.262752	2.456699
9.958424	6.480355	4.16417	2.0	8.048554	11.60055	7.650243	7.276878	0.972453	1.357258	9.181605	8.619915	12.300205	10.389389
0.248338	8.508726	2.226319	3.0	11.265453	10.919441	13.816821	10.273679	1.782848	14.712763	3.543634	15.768199	2.03439	1.899389
4.043183	7.690948	11.280213	3.0	1.263954	6.876154	8.564541	6.438561	7.559738	5.296437	3.931153	10.817995	11.483075	11.754047
10.225622	4.055628	2.735576	3.0	13.329137	0.202448	13.226334	12.239561	12.402499	2.491141	15.16009	0.709296	5.599899	4.622769
10.23657	1.757821	13.169231	3.0	2.716007	12.424904	5.828251	12.994893	7.412006	9.473384	2.927191	1.949056	11.051363	5.059323
12.274131	4.296289	10.221516	3.0	2.406028	4.234682	1.43635	12.038719	5.714164	9.770111	10.242134	2.15163	10.649104	11.56514
4.862899	0.298109	11.560254	4.0	1.315214	15.996108	14.676159	3.296441	4.078017	5.068916	2.108869	16.211314	12.387971	4.139728
9.696003	12.140407	5.376386	4.0	7.584246	13.135764	6.075467	1.383917	12.156368	9.56676	3.247737	1.815362	0.481124	13.340459
11.983402	11.407696	4.761441	4.0	12.228103	3.030688	11.835312	2.79865	10.586277	1.323254	4.997971	5.959091	3.784801	11.303312
3.296273	7.886099	0.181961	4.0	11.431211	12.515765	9.246089	10.788803	11.989388	8.188004	4.758822	9.447955	1.07695	5.192679
19.25716	9.836013	3.107406	4.0	2.451842	1.627814	10.888325	7.07391	0.32624	4.296874	19.185109	0.359563	0.490659	17.099086
5.489419	10.977153	12.383739	5.0	9.165624	4.593163	10.062769	2.76464	4.352716	8.95014	2.981198	4.219858	10.905825	8.153757
8.744527	11.308896	11.506157	5.0	7.899416	3.464465	3.370053	6.386436	1.701421	7.838999	10.071621	6.741642	10.74668	5.219689
6.333052	11.211959	9.391547	5.0	8.261406	0.655597	11.645675	11.963126	4.297219	1.74258	7.608264	9.410187	8.252234	4.227153
9.605374	3.293712	5.051164	5.0	12.876757	0.934905	11.749306	10.891252	9.504824	7.700219	4.513112	1.959215	10.690071	6.230087
4.462435	9.950735	8.291119	5.0	2.05855	11.563353	4.572787	11.504375	10.165504	2.107361	8.676401	6.337692	9.621196	5.688494
6.877753	14.464332	8.819617	6.0	8.072183	2.449118	3.789708	5.171415	0.210089	14.055366	9.227194	11.821649	6.621798	2.419779
5.256238	9.125519	11.577553	6.0	2.358591	10.469807	5.537213	7.164725	1.466481	10.987024	0.695101	9.124096	11.956223	8.281429
1.40547	8.401973	6.086425	6.0	10.696976	11.261798	2.586281	2.359051	9.586103	10.693376	5.209239	7.147606	10.486666	8.079037
1.129669	7.975016	11.86303	6.0	5.506023	6.043957	7.269637	5.154071	9.939637	11.096743	9.243403	1.269298	11.185498	6.324017
6.238328	10.750889	6.297093	6.0	5.501989	10.838007	8.975749	1.268919	2.638994	8.871334	10.144508	7.528701	12.168723	2.776765
3.563546	10.136484	7.194879	7.0	10.381049	14.197074	7.441122	6.800629	13.754713	7.94884	2.694374	3.611212	0.779581	4.496497
12.375353	6.296718	10.557228	7.0	9.438694	1.222159	3.309479	5.848402	7.052386	5.722399	4.756173	2.883003	11.806718	11.731288
11.962754	3.286227	8.798388	7.0	5.431005	5.054809	9.66099	8.632391	9.888503	2.564728	7.757926	9.223164	5.757186	4.981929
11.639753	3.763531	9.300263	7.0	8.209412	0.507993	6.716515	5.297763	13.141071	6.068312	7.205798	10.106858	6.591465	4.451267
9.416656	5.644392	10.947726	7.0	9.032206	3.922027	5.58543	8.559778	0.553025	11.671356	7.663874	5.329273	3.456419	11.21784
4.36945	2.433491	4.042839	8.0	13.446153	12.472331	0.56982	3.525029	4.942188	9.976274	8.927769	9.495089	8.559431	9.240136
3.683343	8.098336	11.796993	8.0	1.424655	12.149282	8.533355	5.700569	2.7771	6.435622	10.38894	8.858848	7.183028	4.96993
0.180086	4.692397	7.878996	8.0	10.815172	2.574484	10.781361	5.672421	12.01526	8.279799	6.955663	13.103524	7.13149	1.919348
10.358832	9.969069	9.07854	8.0	11.130893	6.893551	0.338744	4.109529	5.59866	3.256352	6.950582	10.161278	4.450974	9.702995
2.290682	9.383073	6.010429	8.0	3.925431	3.305434	2.316228	12.815259	12.862975	10.070577	2.289699	6.353941	9.644385	10.731887
5.823908	3.241317	7.252022	9.0	10.395954	9.149797	9.326448	4.467285	0.350948	8.785251	10.789599	4.830377	6.732802	9.854291
6.447219	8.718905	10.58752	9.0	9.496106	7.455745	8.671753	3.674212	3.001202	10.107751	1.397785	4.160888	9.161102	8.119811
1.45909	2.553661	10.277266	9.0	10.357872	6.877818	3.835279	10.197232	11.683474	4.948007	9.323538	6.748297	6.143589	6.594878
4.201327	10.740969	10.47918	9.0	9.576209	13.18527	0.908586	1.650129	11.883721	0.938707	4.855588	8.429971	9.225373	4.924972
2.367324	8.478812	10.883601	9.0	7.077711	4.181057	11.810884	13.447872	6.968177	8.020438	8.589243	0.673183	4.461586	4.040112
12.760702	14.16955	0.669386	10.0	3.119315	5.073493	8.708047	14.256555	4.290839	3.860029	8.034083	8.585451	4.597189	1.875361
7.633788	9.653515	1.854274	10.0	11.075788	9.411507	12.277918	12.652916	0.357683	3.652686	4.694403	4.263373	9.300673	3.171476
8.305034	1.959274	6.667787	10.0	10.290275	9.997088	6.511799	8.294967	4.706838	11.413757	0.750883	10.03179	0.491307	10.5792
6.078553	9.134853	3.998967	10.0	10.683362	4.985629	0.172785	8.87623	6.400803	3.703434	11.793301	9.234689	4.130459	10.806936
10.679451	5.704661	6.630392	10.0	5.478726	13.023783	2.506829	14.651206	3.115436	7.329541	6.605358	2.91351	5.84034	5.520769
