CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
7.865085	1.864347	7.491997	6.090195	12.146468	8.578088	12.243083	2.096454	4.631704	1.0	7.62	11.618948	12.611113	4.14252
1.188155	12.201862	3.160314	5.888149	13.282021	3.554804	10.326032	11.17143	12.080198	1.0	2.671192	3.643667	13.915548	5.916629
0.758118	6.43769	5.124206	13.245925	6.165189	10.008714	12.600163	4.21888	8.02057	1.0	13.175387	3.267927	1.55772	14.419511
8.334288	8.4544	11.811195	12.193497	11.884443	9.078062	11.358457	3.271088	8.61376	1.0	0.725705	9.397993	1.012456	2.864657
11.253954	7.560963	5.878324	10.826868	11.163119	6.68866	10.292319	0.69159	2.64812	1.0	4.567183	10.017648	9.504475	7.906777
10.871582	9.902478	7.315715	5.288245	6.27897	11.922812	4.763207	12.070901	9.08521	2.0	7.587243	4.690412	3.319523	4.903702
7.86747	14.198193	7.020972	5.296119	2.339507	7.881934	4.323034	2.270768	14.532111	2.0	5.366284	9.810193	9.974782	7.118633
0.037564	2.692203	8.804417	14.275669	15.070595	3.950982	10.518163	9.070735	12.74548	2.0	7.160644	2.85472	7.920671	2.898157
5.200308	2.689002	0.518005	10.201855	11.234016	11.142269	7.278159	6.357849	7.32715	2.0	2.970348	4.599841	20.062148	8.419048
7.735989	13.059981	10.459761	0.374858	8.255848	7.287258	11.914753	3.338077	9.334666	2.0	2.342017	2.449291	10.498904	10.948596
0.890122	1.335901	5.118337	5.263397	14.677847	15.816221	16.242889	8.822222	6.410744	3.0	8.70437	2.534087	4.892741	6.291122
4.570674	8.035101	6.618563	11.824199	4.542121	10.95962	11.703765	10.522742	7.435662	3.0	7.484585	1.617944	9.61597	2.069053
9.098042	7.316947	5.686212	2.406185	12.593773	1.945215	8.290697	9.968882	7.99661	3.0	10.580639	6.213762	12.166984	2.736051
1.652806	0.287356	2.394973	1.923641	18.734066	8.291598	10.265691	5.106952	13.675492	3.0	5.022913	9.062821	10.246044	10.335647
6.839383	4.137738	3.838604	7.529319	9.506721	7.154359	6.235102	11.23425	3.009452	3.0	13.25727	0.391347	9.715727	14.150727
4.867499	0.642502	13.952329	1.2228	11.083644	1.184166	2.478664	11.321107	13.348087	4.0	2.649014	4.355481	15.0708	13.823908
2.100033	15.365345	14.096809	4.616968	8.708152	11.294428	1.154322	16.161159	3.672546	4.0	5.902271	3.033201	5.148813	4.745954
8.260307	13.216148	1.228856	6.817623	8.44499	1.979002	12.437773	11.190383	1.970834	4.0	12.068693	8.513032	2.397779	7.474578
10.878841	3.964355	7.799391	11.947725	1.956286	11.573735	6.858622	6.603438	9.339613	4.0	4.723742	11.199099	5.962716	3.192437
8.024792	9.278168	12.524649	0.697616	3.417897	10.126497	2.679991	11.90672	7.870602	4.0	14.234746	12.966801	2.103715	0.167805
1.223022	12.514326	3.160428	7.821091	7.310598	10.374971	8.31955	3.586989	7.314907	5.0	13.205915	3.464481	13.608798	3.094923
8.364454	3.229952	7.723122	5.084964	5.437421	9.91322	9.61441	6.50582	6.901323	5.0	1.067444	11.457512	11.98851	7.711848
3.820767	8.107499	7.365185	7.325405	6.800377	8.604948	9.304546	8.370555	2.329959	5.0	10.722725	5.281531	6.34787	10.618633
