CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
8.332368	2.587124	7.971363	0.150214	15.589022	5.136072	10.654373	4.365649	11.586901	7.905676	1.0	9.443376	4.210257	11.067608
12.629959	8.870318	0.235755	5.485047	6.432691	4.309284	5.096948	11.107658	13.549993	6.59502	1.0	10.219046	11.833706	2.634576
8.996093	2.228842	9.488853	12.177284	13.948825	5.000873	9.511825	5.388935	2.029762	6.654934	1.0	2.575404	11.25412	9.744249
0.354512	7.033592	5.469667	3.298302	9.359022	6.92868	11.400923	3.486812	7.041524	9.958972	1.0	11.080248	11.796807	11.79094
10.459078	0.101452	12.23023	10.545098	11.261279	10.8182	10.051347	9.044326	8.649614	4.703411	1.0	5.124853	0.58011	5.431001
11.015113	7.254573	10.592481	0.000689	7.304213	2.291231	4.677455	9.595535	3.954929	12.599098	2.0	11.903763	11.635209	5.175711
13.563451	1.867194	6.228639	11.867942	2.938147	12.171931	13.074966	6.552584	1.107486	12.713225	2.0	6.382221	5.460154	4.072059
6.851629	4.102988	12.25915	1.295562	18.304391	6.638602	1.140702	4.22654	3.767796	16.002898	2.0	8.348843	7.33802	7.722879
9.111043	2.262486	2.905568	8.881075	0.400607	12.85107	9.848298	5.290499	12.793745	9.020698	2.0	1.305644	11.308824	12.020444
11.182385	5.312721	14.137939	5.115416	17.160114	14.347735	4.487357	2.054436	1.0261	3.766567	2.0	13.945963	0.363285	5.099981
9.917773	7.161595	6.302226	11.75334	6.511041	10.605671	11.014682	7.333477	3.090411	6.278396	3.0	3.245521	1.580644	12.205223
3.637656	11.900306	14.763814	3.815997	0.679186	3.262977	1.817231	7.877124	15.11288	7.846164	3.0	12.914214	3.593441	9.779009
5.159432	3.87334	11.082637	19.108449	3.691987	12.138914	4.744077	1.600518	3.249209	7.570281	3.0	2.026581	4.529391	18.225184
10.374163	11.500187	7.446681	3.052814	10.157982	10.858805	7.601	8.546135	5.587604	7.386636	3.0	8.127322	0.037018	6.323654
11.870777	8.296737	13.4505	6.440207	4.976961	9.619351	5.099953	3.052906	11.021438	9.627957	3.0	1.833096	10.768418	0.941699
6.319587	15.06108	12.754587	0.22452	7.547856	3.902026	12.556722	3.500589	6.85866	7.32703	4.0	3.464022	8.861602	7.621718
4.181654	4.84539	12.388636	11.326824	9.590329	6.093586	12.082962	5.339809	1.960535	7.548127	4.0	3.731976	3.485828	13.424342
9.255134	5.980471	3.665375	0.72565	8.055645	8.543682	5.691554	0.635625	8.63151	12.684843	4.0	7.918961	9.552967	14.658583
3.632143	13.029668	1.652026	11.903984	8.739505	2.332683	9.480951	5.343195	15.805666	12.849717	4.0	0.800251	3.030835	7.399376
3.211968	5.842821	12.888441	2.456089	7.030063	3.708542	7.17398	4.798116	11.332107	10.995109	4.0	11.755806	12.976242	1.830716
6.629312	3.231697	5.346216	6.830541	5.030973	3.369699	12.910136	6.960329	13.63839	2.759933	5.0	12.326945	12.791352	3.174477
1.127224	9.036607	12.218181	8.485325	7.250126	4.346444	5.133064	2.732561	13.411895	10.712414	5.0	6.417754	13.521594	0.606809
4.525289	8.890306	10.873059	3.389463	4.346509	12.147464	5.60433	10.956196	6.646145	10.25519	5.0	1.442515	13.896056	2.027479
4.854738	2.811142	0.255511	12.996829	2.776803	14.506428	2.362712	5.843675	10.179322	2.035937	5.0	9.838502	14.145024	12.393377
7.746768	6.963182	2.61217	7.295533	7.839712	8.555043	7.123336	11.309053	4.257919	6.965536	5.0	9.403509	9.062677	5.865561
4.673257	12.204559	5.04873	0.068398	5.865647	8.60446	7.972611	8.047914	10.408307	6.83936	6.0	3.257651	9.825674	11.183431
4.165921	9.721966	8.017493	3.895087	2.567301	17.908919	8.694682	5.237891	0.966738	11.567937	6.0	2.807952	2.228971	16.219143
4.768864	8.679088	5.142712	8.678989	10.930535	1.208835	9.904889	7.463626	7.013157	8.275283	6.0	7.879182	11.033109	3.021731
12.345863	14.091334	4.123866	4.294014	2.626491	1.732026	3.757252	5.14133	15.207166	13.520411	6.0	7.451677	4.61753	5.09104
5.11482	9.832254	1.693615	4.681829	4.713459	2.674042	10.592595	9.023752	6.388667	13.676175	6.0	3.96854	7.443953	14.196299
3.304213	10.672715	3.716	7.973238	2.957029	10.063734	5.689929	7.9426	13.00426	7.224976	7.0	1.287626	13.683576	5.480104
0.504915	5.879135	7.241257	2.420611	2.896307	13.68874	1.432197	13.787874	10.215916	3.778166	7.0	8.054252	9.408312	13.692318
9.163313	4.500785	1.324915	2.220788	13.059496	12.044389	8.771591	7.828985	2.519667	10.177711	7.0	11.824548	3.043724	6.520089
11.766662	4.739101	11.070237	9.740054	8.175965	5.47626	2.796907	8.578122	7.508317	9.902565	7.0	7.166798	1.894836	4.184177
4.277386	12.990547	2.190834	2.858223	12.733158	12.47539	11.743624	13.618118	0.561761	2.773999	7.0	2.789158	13.490098	0.497703
7.549947	12.586583	2.857356	6.379124	4.246258	6.985702	8.036752	12.651915	7.778444	5.823226	8.0	8.221589	6.960823	1.92228
6.786047	8.584249	8.426949	4.926317	10.748556	11.768855	2.6667	5.622574	3.239029	7.094282	8.0	3.543891	11.036151	7.5564
0.963073	6.970963	12.553271	6.15478	8.976959	6.558787	14.647948	6.450187	0.978091	7.101603	8.0	3.226027	4.350236	13.068076
3.452834	9.086921	12.900714	12.346427	3.553863	2.759829	4.456593	8.012185	12.137486	5.590776	8.0	5.077394	4.544729	8.080249
11.213119	5.517493	4.452006	3.8832	1.078606	1.179227	5.805978	1.443145	14.449131	7.626706	8.0	12.585432	15.22774	7.538217
3.657458	7.374564	13.278989	0.482134	10.074255	5.75143	10.755512	6.723559	5.035409	0.017607	9.0	11.026962	5.380592	11.441529
10.540792	7.472337	11.825589	2.703594	10.759615	9.735651	9.14592	12.805981	0.889923	0.949201	9.0	5.903848	3.109293	5.158259
3.10279	0.003689	10.272456	3.950975	4.793002	9.578212	8.914096	2.4044	6.952416	12.5397	9.0	13.187292	3.024324	12.276647
8.765572	10.123203	0.334146	8.659698	8.064304	10.026995	12.934272	0.433003	0.597758	12.922694	9.0	9.527956	8.193664	0.416735
9.462822	2.607291	2.574732	7.149516	4.801957	8.164096	3.02748	5.800577	13.890218	10.965844	9.0	10.926215	5.893383	5.73587
6.771443	7.428537	5.517977	8.321234	7.889085	7.623889	6.149804	8.377175	8.292203	5.560034	10.0	8.304696	2.352397	7.411526
0.488553	10.782829	1.606406	4.764507	4.558705	0.145528	9.608379	6.30143	9.84602	7.074942	10.0	12.455894	10.932875	11.433931
0.224774	2.562391	2.042452	6.931499	7.586989	10.624168	14.245167	12.533359	11.096117	7.070369	10.0	4.755181	3.375826	6.951708
14.23134	3.455015	3.618794	1.393866	7.995764	2.607647	0.01074	5.738949	3.29311	10.063269	10.0	13.585226	14.885627	9.120652
10.773562	5.869559	11.75941	3.371556	7.344682	8.141387	5.31828	7.186291	11.171032	0.846145	10.0	4.098325	7.36762	6.75215
