CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.256978	7.226223	17.206935	2.471079	16.398912	1.0	0.098483	6.227008	6.692043	5.71241	12.252383	9.312626	5.842997	9.301923
4.907884	4.539394	8.463268	4.978721	14.32269	1.0	2.949199	10.925646	14.091283	10.391951	7.406989	0.430975	3.449554	12.142447
2.985738	7.291032	9.630621	1.87499	9.667156	1.0	10.944033	13.14858	0.479042	13.842061	9.638627	3.742055	14.325281	1.430785
3.880583	3.724126	4.211119	10.112471	10.017505	1.0	11.644219	9.673959	10.742239	11.050934	6.619485	1.321382	5.328807	10.673173
6.443163	6.181992	8.107909	8.236581	7.414734	1.0	4.363914	10.653208	12.286488	12.311355	0.895715	10.730005	3.631945	7.742991
8.629788	5.172804	11.620377	2.752461	13.586108	2.0	13.532044	6.668678	2.429321	7.931702	8.048589	2.737387	6.430244	8.460497
7.287609	14.496835	6.912324	16.831961	8.676784	2.0	0.540669	9.39438	3.380491	10.378088	8.36121	1.981063	3.689098	6.069489
5.950723	14.2327	7.278677	1.783274	9.775316	2.0	1.555781	0.220515	14.002605	12.79337	2.356782	12.013908	12.813172	3.223178
3.182985	3.658445	0.215891	12.240907	15.133897	2.0	11.099755	0.857909	4.499037	16.728124	8.732818	2.377066	17.162347	2.110818
5.983328	11.343772	5.295001	10.818822	4.225656	2.0	12.427505	6.664106	4.621433	0.807322	8.282342	10.673338	4.445187	12.412187
2.313206	6.915897	1.253624	1.436964	6.997029	3.0	17.03989	1.537716	2.104922	13.724129	1.9979	17.393675	7.947685	16.337364
5.41385	2.931486	10.863991	2.237301	3.291598	3.0	9.988188	10.982344	10.265152	8.595027	12.440487	10.299709	1.460368	8.230499
6.010133	2.222639	3.930977	4.372384	11.965901	3.0	15.171354	11.305185	7.291224	10.98356	6.707863	1.924646	13.644094	1.470043
6.221663	1.345985	10.307002	3.777886	6.080319	3.0	0.988032	16.429123	9.780583	14.786567	5.167837	9.379776	5.66686	7.068367
11.08005	4.984871	0.341063	10.131479	7.660589	3.0	1.505468	6.797743	6.604787	8.09356	11.377377	7.249443	10.942662	10.230909
11.348628	16.185466	7.379454	9.054232	4.02436	4.0	13.918255	5.497556	3.019141	11.463947	0.9257	7.590165	3.822158	1.770938
13.171945	12.550485	8.476989	8.03239	0.272924	4.0	8.603028	0.833651	4.842256	1.683007	8.777011	13.864806	12.775207	2.116302
3.338076	10.593526	6.6944	3.555618	15.343988	4.0	0.605559	12.252052	3.752981	5.429077	9.30264	11.805993	1.097839	12.228251
4.562991	2.907219	11.325757	12.869948	9.85823	4.0	2.372594	11.203557	8.416011	3.137987	2.391279	9.392137	7.09444	10.46785
9.199229	9.719321	14.24101	11.952631	3.191083	4.0	1.673079	1.16767	5.998841	19.338071	0.534711	4.489945	7.388802	7.105606
10.053966	2.372151	9.169439	3.730333	13.646289	5.0	9.042676	3.367674	3.27923	9.938001	1.728413	12.315349	7.630177	8.726302
6.889594	3.991691	8.478809	9.856388	9.4527	5.0	5.497851	9.366244	2.016886	9.409762	2.532627	7.974573	9.03513	10.497743
12.21926	10.435613	9.678584	0.639508	7.072453	5.0	8.998611	10.89728	6.638036	2.953105	9.808711	1.317354	4.582136	9.759349
4.39789	1.320167	1.261184	12.615572	7.052613	5.0	9.32246	4.318536	8.873543	9.283098	8.393668	13.312924	8.584782	6.263562
12.552931	5.493351	8.340049	6.78455	4.086038	5.0	13.383671	7.441837	2.936713	3.032065	13.433858	0.91289	11.811575	4.790471
9.379827	9.712606	9.552492	6.522545	10.06676	6.0	5.743999	5.906174	3.201337	7.871895	0.392587	8.846507	9.928521	6.874751
7.170357	0.987905	0.934455	2.413442	11.600784	6.0	0.153301	7.185081	17.968196	4.304047	15.673487	7.312189	4.751487	13.545268
2.811549	1.018013	7.143967	10.873303	2.458643	6.0	16.268904	15.905256	17.357234	8.996376	1.608431	2.140729	1.681222	5.736374
7.631004	10.614429	13.351129	2.155869	15.85293	6.0	6.904269	0.946891	0.083738	16.053164	2.226556	0.194955	15.078536	2.90653
3.00971	1.015586	13.522385	9.693132	3.117033	6.0	13.391072	11.487098	3.160663	2.454295	9.153461	9.802925	13.635388	0.557252
4.913946	4.038441	12.299801	10.401021	1.79487	7.0	9.671629	0.575626	9.875312	10.557773	10.455462	12.139861	2.88251	3.393748
2.457312	6.69301	3.45988	13.813701	13.009728	7.0	1.728608	9.555249	9.61431	8.283576	1.962551	13.149545	3.303825	5.968704
3.684728	1.978758	0.408143	5.412922	5.899824	7.0	7.290497	12.208593	16.71923	3.319446	11.203788	13.69603	10.781544	0.396496
7.383496	7.014127	11.42654	13.099315	2.366242	7.0	0.064811	11.80207	1.277398	4.879304	10.203352	10.239305	11.089934	2.154106
5.861337	0.764521	8.843916	1.318413	14.896167	7.0	16.007518	15.944695	15.546167	1.758776	2.496604	6.477116	0.634957	2.449811
6.786841	12.284881	0.426142	7.731197	0.759302	8.0	11.357668	12.067964	0.714821	8.361581	9.224687	8.075845	7.056114	7.152958
13.572601	5.349879	1.805315	4.84415	8.553631	8.0	0.810273	5.024453	6.260286	6.454198	11.846012	13.611131	13.278193	0.589878
8.026439	3.09923	2.148171	11.384779	6.528677	8.0	13.060516	0.592996	9.520677	2.981668	4.730374	11.771027	7.890212	10.265234
0.72147	2.959531	12.363607	11.853328	5.225375	8.0	6.408072	4.109462	8.134055	0.952483	4.925506	11.021545	13.22134	10.104226
9.452827	8.270051	4.544459	5.470296	11.75836	8.0	14.667132	10.173649	5.731531	2.734099	1.22464	12.23304	5.63138	0.108537
3.543521	7.179859	4.491705	5.806941	5.684597	9.0	3.077159	6.886491	10.280275	0.402345	12.004325	11.066294	10.159997	10.416491
