CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.848929	1.53948	0.566312	1.55041	0.51383	0.260748	0.797218	90.0	0.160676	0.845464	0.970977	0.640619	0.49474	0.810597
0.950656	0.077914	0.695531	0.20441	1.634272	0.459715	1.221141	90.0	0.832802	0.559778	0.423542	0.170376	1.31433	1.455533
0.817608	0.764791	0.594667	1.403949	0.279779	1.221483	0.393345	90.0	0.62448	1.029227	0.45714	1.208819	0.873422	0.33129
3.134972	0.63424	4.116817	4.042936	2.138886	2.731815	3.351033	70.0	3.074264	0.231072	3.150113	1.177271	1.816974	0.399605
3.159212	0.738417	3.418157	3.337985	0.404299	3.877924	0.025371	70.0	2.841262	1.334955	3.915491	0.284677	3.730957	2.931293
1.014801	1.972413	3.514937	2.523715	2.420679	3.360907	0.74159	70.0	4.041811	2.222988	2.884231	1.961946	0.748478	2.591505
1.488606	3.039698	7.356985	0.504163	4.1493	1.589621	1.595688	50.0	7.284185	2.011523	4.08994	6.450853	4.053192	6.386247
2.550016	5.744669	1.391135	1.418534	2.742289	3.989957	5.916138	50.0	4.924969	6.368667	5.019942	4.038109	0.751011	5.144564
3.427138	5.211445	5.312197	0.786988	3.427746	1.815525	6.626522	50.0	2.748495	4.647558	6.721529	4.354995	2.488675	2.43119
6.660752	0.99972	4.308089	5.753098	6.654196	8.151906	5.2396	30.0	2.592811	8.217669	7.296982	2.776908	4.410605	6.937665
3.047866	11.037108	2.52571	7.638187	5.839674	2.292158	4.086289	30.0	11.373155	2.863398	7.844665	3.469133	1.554421	6.428237
10.401181	10.132912	4.01368	2.222319	0.979988	0.730989	7.100887	30.0	5.324135	7.184775	6.725995	7.720062	3.364008	4.09907
6.879171	0.877069	11.246739	15.039561	7.450086	2.89532	6.635927	10.0	6.796031	17.514017	0.929049	0.873504	10.706029	2.157496
10.676707	4.537894	9.002408	4.589919	6.256133	10.453202	3.877753	10.0	0.792074	3.205332	14.124068	13.36412	7.694241	1.426149
11.50758	4.496532	10.045523	0.697471	9.597448	11.600431	6.665938	10.0	5.878759	10.424553	2.669209	4.438944	9.352778	2.624833
