CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.830911	1.792746	0.042218	0.575005	0.24914	0.259947	0.131676	0.478933	90.0	1.32292	0.86927	1.377249	0.355246	1.714738
1.097697	1.494691	0.089315	1.220481	0.235229	0.551364	0.007151	1.691601	90.0	0.88238	0.221137	0.378363	2.049093	0.081497
0.721688	0.238238	0.682232	1.224677	0.481049	1.205261	1.191999	0.657096	90.0	1.155162	1.109091	0.357711	0.057669	0.918127
3.967501	3.396561	1.808028	1.049468	3.150437	2.877735	0.896114	1.335424	70.0	1.095941	3.625532	0.235118	2.026682	4.535458
3.604057	2.745373	2.46527	3.562153	3.676398	0.754819	1.964491	1.09488	70.0	0.125495	2.26964	0.800807	3.13318	3.803436
2.65152	1.649957	3.795472	0.826047	1.966605	2.399064	3.032814	4.048141	70.0	2.645177	0.334186	2.522383	3.507563	0.62107
5.106707	6.43558	0.358921	9.475852	2.804796	1.390558	0.737338	0.88577	50.0	8.176321	9.62799	2.899376	1.164575	0.936216
5.462469	2.032545	5.921568	1.334245	4.472933	4.154919	5.574636	1.753914	50.0	1.325323	4.605349	6.151011	4.049761	3.161328
3.343268	4.286115	3.174596	2.955161	5.032194	6.085542	2.534827	4.067903	50.0	6.95023	3.121186	2.873669	0.8822	4.693109
8.943786	11.241029	9.064296	10.270968	3.046454	4.796283	1.610393	3.905958	30.0	10.310843	0.955175	3.788865	0.104544	1.961405
1.179836	11.265361	10.66796	0.925479	1.321172	2.48413	3.468249	10.125139	30.0	2.347521	11.063099	2.319814	6.41717	6.415069
5.158388	8.692256	3.827627	2.95385	1.899659	4.638998	5.012572	8.810189	30.0	3.334889	7.903483	6.75034	1.960087	9.057663
6.567672	11.690949	5.59189	3.925472	8.802428	9.395312	7.133219	6.849892	10.0	3.88451	4.501852	0.185474	11.120635	10.350696
8.206183	3.702827	9.00961	8.217946	4.003191	8.696856	5.191016	10.852556	10.0	7.866467	10.530632	8.683545	1.861792	3.177379
6.025679	14.478605	3.379423	11.382265	4.051339	12.737726	9.237239	0.824788	10.0	6.854973	11.222319	8.987818	0.444647	0.373179
