CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.780022	0.773992	1.064328	0.932749	0.733165	0.796365	0.058353	0.10236	1.252769	0.632073	1.239639	0.743667	90.0	0.890517
1.242145	0.849793	0.378006	0.77186	0.562411	0.588355	0.75265	1.087041	0.889001	0.765284	0.19472	0.934876	90.0	0.983857
0.651108	0.037701	0.122528	0.612068	0.613693	0.886144	1.138667	0.646088	1.194155	0.887631	0.824727	1.220652	90.0	1.164837
3.634466	3.612343	2.958343	3.930051	3.787707	0.519443	1.590315	3.585363	0.758741	1.438764	0.319789	1.975502	70.0	1.889173
3.903874	2.412628	6.097039	3.621174	1.418348	1.568895	0.274302	2.787649	1.55072	0.82266	1.664613	1.896859	70.0	1.981239
2.35017	2.987698	2.555942	4.585246	0.923755	3.410004	0.777669	1.091293	0.242843	3.663311	2.454737	1.953486	70.0	3.003846
6.605067	0.578776	3.365957	0.969368	1.179075	3.814079	3.789903	2.258234	2.012663	4.984216	6.161483	6.850804	50.0	7.430376
3.977496	6.60993	4.125887	1.376	5.902601	4.232119	6.523999	5.564792	0.389876	4.135494	2.361219	0.889489	50.0	3.911097
1.021052	2.460421	3.633025	4.838937	4.248135	6.256474	0.798015	5.816427	6.323173	3.923571	2.481493	3.960706	50.0	4.238572
1.431601	6.447951	6.176814	1.342492	3.471586	9.2862	4.05308	3.854484	7.341631	5.524371	6.304155	6.934739	30.0	7.830897
5.971934	2.568912	2.916926	6.579396	5.748239	9.358235	7.22071	4.649161	0.109175	6.398404	7.533407	9.899421	30.0	1.04608
6.475477	5.537555	8.154735	9.113418	3.138397	1.999252	3.068085	6.815655	7.496613	1.415936	7.860068	0.143186	30.0	8.781624
9.698943	0.915537	0.377749	10.55636	13.92493	6.608447	2.214222	12.094522	1.462664	13.880203	13.383658	0.502607	10.0	4.38016
2.770003	3.570365	11.749745	1.415082	11.72712	8.093212	8.323324	8.132187	11.30168	4.996493	2.593568	3.820273	10.0	11.506947
2.575098	6.740829	11.74096	6.839626	0.523402	0.834288	13.740173	8.313848	1.748402	11.345262	8.907035	2.889113	10.0	13.801964
