CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.099267	0.59867	1.45533	1.644467	0.836433	0.85855	1.391815	0.934422	0.480525	0.039134	0.057816	90.0	1.213958	0.389614
0.12688	1.174301	0.511797	1.348779	0.085346	0.676208	1.271687	0.740019	0.706619	0.768622	1.158832	90.0	0.613348	0.817563
0.193193	1.107057	0.304044	0.813513	0.788785	0.025356	0.946925	0.26141	1.141837	0.498064	1.31339	90.0	1.590106	1.01632
3.000352	2.087767	3.204138	1.98469	1.056837	2.332593	2.697541	2.562369	3.200898	3.276251	0.507422	70.0	1.558431	2.530712
2.38557	1.755266	4.176587	1.791385	1.484997	2.654342	1.126233	4.460552	2.227683	2.718549	0.996959	70.0	2.025833	2.196043
1.31094	3.04479	2.008806	2.479513	1.950237	1.692347	0.447586	2.555944	3.420431	3.577408	3.653632	70.0	3.195521	0.662842
2.495654	3.942568	1.75626	1.460675	6.546542	4.884264	0.554599	8.675023	0.397903	5.084657	7.060298	50.0	3.55673	3.584828
2.402025	3.550553	0.46616	3.626718	4.859233	1.362984	0.686726	1.294414	8.24971	1.266127	7.989437	50.0	5.960221	8.285693
1.47132	1.107451	4.006062	7.93689	1.846863	6.832836	1.916074	5.105595	5.226957	4.50006	3.494104	50.0	2.719327	3.836461
8.349051	7.346597	1.315496	3.49322	8.694662	6.66315	7.050278	4.872478	6.689478	2.074894	8.55249	30.0	3.102526	1.795679
0.412677	0.593964	11.969204	5.095337	6.047719	11.380628	2.639427	4.906806	2.443295	7.323187	2.965525	30.0	12.135089	2.087143
7.606104	5.918952	5.072752	3.655744	2.546307	6.463046	0.719026	0.704054	10.080534	9.626754	7.367288	30.0	8.017168	2.222273
11.616428	14.097999	8.615761	12.093814	0.389389	7.506027	9.920182	5.348816	0.949705	0.325788	5.344152	10.0	3.604948	10.18699
1.055249	10.475551	1.059193	5.232785	1.146828	10.80128	15.577822	4.927884	0.99583	2.506473	11.992762	10.0	16.257198	7.971144
12.437623	9.556722	10.230741	10.044757	0.851846	3.772073	7.605778	8.322116	7.199129	0.7945	7.216924	10.0	10.085402	1.882391
