CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
1.206381	0.711964	0.156181	0.366861	90.0	1.021815	0.543388	0.499115	0.791523	0.720343	1.164041	0.891557	0.776593	1.150238
0.248513	0.639884	1.025052	1.002691	90.0	1.04539	1.057837	0.005263	1.044661	0.506752	0.521349	1.265542	0.26806	1.369005
1.393906	0.643162	1.47415	0.440216	90.0	0.755453	0.97916	0.02663	1.32027	0.70458	0.111702	1.601234	0.53011	0.019427
2.176436	2.062992	1.350872	4.209567	70.0	0.913251	4.254893	0.47919	4.376685	0.754727	3.419429	1.98352	1.924055	2.094383
1.888327	2.034893	2.53093	1.440763	70.0	3.6067	0.477221	4.096636	3.961845	1.875519	2.41532	1.739797	1.591185	2.340865
4.69714	0.899832	2.016834	1.250719	70.0	1.144426	0.150298	2.42632	0.980018	2.895987	4.274805	1.53519	4.307077	3.421354
2.932294	1.471027	6.861995	1.935757	50.0	6.108088	2.282527	5.636683	0.325417	6.894039	4.414207	6.141366	4.570182	0.426419
4.955718	2.928044	2.475552	5.42358	50.0	4.636695	5.166424	1.21849	1.949965	2.605893	5.307213	5.540501	3.875978	3.915947
5.897351	4.717634	5.979455	3.923767	50.0	2.442136	7.895887	0.437594	7.477905	0.117781	6.529459	0.491724	0.602596	3.486711
8.67474	1.037568	3.773005	3.534944	30.0	4.179154	7.929702	6.896994	8.527061	1.165369	0.284425	7.213179	8.658562	8.125296
0.780405	5.577477	1.940527	5.1393	30.0	1.378208	7.960601	2.203062	2.702349	3.495694	15.620464	8.340854	0.721406	14.139652
6.985789	4.07386	6.247303	8.631159	30.0	1.23106	5.748326	1.190816	3.605774	3.930688	9.484	5.523131	9.420133	3.927962
11.551076	9.829467	1.463421	2.228483	10.0	3.351115	1.026115	11.486985	14.134536	2.098329	11.295529	10.347655	6.312563	4.874726
7.774263	12.386032	10.548422	12.462544	10.0	3.600426	1.036671	6.509315	6.633134	3.677126	4.244066	14.020571	1.950335	5.157096
15.11127	15.157607	5.021719	2.037162	10.0	1.769427	6.297429	3.910356	9.059805	1.439485	11.534918	4.813608	11.233388	2.613827
