CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.93434	0.446723	0.691083	90.0	0.541027	0.225777	1.344029	0.426912	0.589644	0.840938	0.623854	1.246803	1.028331	1.06054
1.448345	1.264647	0.379504	90.0	1.17118	0.744802	0.365177	1.007335	0.960926	0.441427	0.543618	0.015413	0.514291	1.143336
0.310127	0.123657	1.306287	90.0	1.604085	0.759657	0.220943	0.217209	0.65289	0.902828	1.047717	1.097973	1.171119	0.585508
2.90561	3.964365	3.545196	70.0	2.534486	1.418318	2.041802	0.578877	2.324866	0.359331	1.430827	2.089055	3.482781	3.324487
2.708761	0.327342	0.633755	70.0	4.790968	1.073546	1.708275	4.163301	1.18641	2.977814	1.005632	3.363023	3.314594	2.74658
2.441107	2.44812	0.442912	70.0	4.338602	4.050828	2.647271	3.149736	2.362121	1.130216	0.584483	3.749805	2.17483	0.47997
6.098969	5.534918	0.110686	50.0	2.764777	4.31132	5.561674	3.433354	3.1256	2.130044	4.268796	5.770401	4.661486	2.227972
4.099155	0.38417	5.887911	50.0	6.170708	4.535376	3.653848	3.763778	3.016907	1.694659	4.879325	1.324826	6.461113	4.128223
5.733382	4.663028	4.08967	50.0	4.643513	7.206294	3.490224	6.664169	3.38513	1.315945	2.3436	4.569395	1.246622	0.649028
7.234489	5.009094	9.078009	30.0	5.727803	7.327185	0.65817	5.226172	0.31712	2.445402	9.845436	5.587323	7.243876	4.299922
2.217865	6.713162	0.231101	30.0	9.688354	4.627584	4.11447	7.160894	9.413802	5.086355	3.685068	4.888983	4.583391	7.58897
0.482438	1.082332	7.440569	30.0	0.200058	0.578294	9.54687	8.993496	6.754768	7.404912	9.667388	6.129572	2.279991	9.439312
11.087057	6.985955	5.177554	10.0	3.509857	6.879367	3.278026	13.299027	6.650883	9.103971	2.579743	0.493305	8.418723	12.536533
0.289655	5.300653	2.188293	10.0	4.492376	13.186123	7.011513	2.709354	14.366358	11.005406	6.661214	2.824808	7.920024	12.044222
10.219442	3.089665	1.634363	10.0	7.525304	11.280718	2.502365	11.822	5.609183	4.776223	6.60486	6.649648	2.859918	15.426313
