CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.247494	1.454447	0.502069	0.977714	1.278015	0.375465	1.178149	1.05068	0.656371	90.0	0.424262	0.641785	0.39255	0.820999
0.328216	0.025472	1.002142	0.652016	0.250851	0.426456	1.436465	1.441398	0.959704	90.0	0.176173	0.37426	1.499541	1.427305
0.746988	1.303811	0.361412	0.250889	0.197653	1.159271	1.035974	0.57651	1.252905	90.0	0.137407	1.023052	0.298696	1.655432
4.579072	1.152179	1.469445	1.32867	5.958365	0.899392	0.559506	1.463902	1.6953	70.0	3.703321	5.002049	2.096966	0.091833
0.654671	2.052473	3.5418	1.844608	3.51544	2.604419	2.338474	2.70023	1.059291	70.0	3.738273	1.840852	0.598364	3.511106
2.763904	5.181644	4.048589	5.16162	0.978254	1.246917	1.853843	3.571449	0.115644	70.0	2.181249	0.147629	2.027015	0.722241
1.22102	0.961742	6.877572	1.327884	7.65609	4.505226	5.887141	4.538983	6.843293	50.0	1.898599	1.817462	1.075881	5.389107
4.237324	5.605201	3.995405	0.255707	4.038823	2.228235	2.245604	5.78323	6.815149	50.0	0.285779	4.050133	4.602291	5.85712
3.74667	5.242763	6.277473	1.79715	4.16779	2.360257	5.073587	5.916752	6.634987	50.0	2.558774	3.436092	0.084879	2.702825
0.15206	3.160617	7.90915	0.09321	3.865951	10.235585	7.418827	9.91221	3.182126	30.0	6.84692	1.588114	6.696891	8.938339
5.643392	4.456638	10.235054	3.436084	6.210223	5.474538	6.096242	1.135864	12.346343	30.0	2.525918	3.07027	1.316296	8.053138
0.884317	10.468367	7.374448	4.29358	1.458951	8.105632	2.758139	5.491487	5.570371	30.0	5.881486	6.082779	4.14123	7.489213
6.249121	9.215543	13.872853	0.142451	3.379285	8.671841	7.287879	11.577491	0.034985	10.0	6.535426	5.508966	14.183226	3.340933
12.321021	3.958212	4.531619	11.794446	0.95684	4.770528	6.236444	12.566641	6.352054	10.0	2.152805	4.956195	8.688583	10.714612
9.675496	3.957602	8.3717	3.184803	9.781698	8.496032	11.643584	6.238111	4.217048	10.0	4.090825	12.75099	2.436916	5.155195
