CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.426867	0.142869	0.476074	1.102388	0.878421	0.753209	0.983855	0.97495	1.403639	0.360242	1.067741	0.05549	1.374255	90.0
0.234916	1.199491	0.818597	0.135451	0.241928	1.424348	0.628042	1.444284	0.986216	0.422617	0.24924	0.727508	1.487362	90.0
0.941067	1.267271	0.160316	1.254083	1.122999	0.466941	1.157992	0.172124	0.205399	0.880006	0.452396	1.056867	0.862538	90.0
0.959193	3.756411	2.445222	3.677265	4.461302	0.141578	2.111625	1.343139	1.968229	1.522577	3.168248	2.50295	1.94226	70.0
4.520028	0.730231	0.557463	1.284851	3.241925	3.129175	0.527273	0.938287	3.351297	3.660639	3.349888	1.923766	2.785178	70.0
1.417896	2.437407	4.789378	0.102273	1.198096	0.187499	1.239618	2.236292	4.518555	5.331507	2.596791	3.742437	0.20225	70.0
1.961242	7.031163	5.542153	1.688681	4.310738	6.929747	1.839102	5.435656	0.566724	4.452535	4.036463	0.802996	5.402799	50.0
3.138041	0.083107	4.458543	1.298137	1.17934	6.819332	8.594774	3.324216	7.940418	3.172372	4.91661	0.210791	4.864319	50.0
3.759019	7.795104	9.769293	8.525962	3.993433	1.617478	1.380655	1.911027	4.081935	3.462256	0.057954	1.343309	2.302577	50.0
7.736066	4.808547	0.067374	6.186931	8.255016	4.397681	8.070631	5.462819	4.515538	4.558445	5.887101	1.716852	8.337	30.0
1.58262	5.444129	7.457348	8.669025	5.391496	5.78798	3.212953	10.471474	9.400509	5.304142	3.520796	1.269586	2.487942	30.0
9.930125	2.509358	4.778384	1.279093	4.350748	9.754559	2.268019	0.59137	5.830142	5.75791	9.050644	10.087103	3.812547	30.0
9.995869	8.397967	3.47799	12.000523	5.351297	2.770958	0.611228	13.894918	11.711311	9.704236	6.194919	4.427566	1.461217	10.0
9.015991	17.389836	13.446083	2.064243	9.707737	4.734286	6.552957	8.078526	7.922059	5.688396	1.349614	0.5286	3.521673	10.0
5.396835	8.855534	5.549436	5.48283	6.830521	4.849311	5.749451	8.571411	7.144517	9.190092	7.876401	5.514916	8.988746	10.0
