CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.597369	0.692421	0.929212	0.857422	0.924301	90.0	0.540293	0.975543	0.84212	0.836842	0.899665	0.626526	0.379935	0.898351
1.51187	0.053705	0.293798	1.439818	1.182181	90.0	0.416121	0.14351	0.72934	1.39669	0.566679	1.18218	0.309718	0.774389
0.153784	1.258164	1.376424	0.742037	0.626106	90.0	1.354093	1.196643	0.210767	0.901787	0.758168	0.332517	0.049708	1.039803
3.740988	0.04096	4.460133	0.271038	4.463983	70.0	4.267688	3.692949	1.210955	2.938316	0.126719	2.201098	0.659199	1.925974
3.414469	4.755768	1.244348	2.103921	3.769521	70.0	1.217664	0.288697	3.278953	0.64445	1.327498	0.695957	3.458132	3.800621
3.628032	0.497543	3.698539	2.680236	2.185607	70.0	3.717865	2.324327	0.59888	2.43425	0.395795	4.369175	2.071503	1.398245
0.736618	3.341981	4.235185	6.111235	4.03874	50.0	0.610027	5.694356	2.670157	4.757768	5.32836	5.749631	4.471833	2.254109
5.680368	4.562609	3.312985	5.475272	5.03087	50.0	1.389755	4.636576	3.612362	1.705524	3.643704	2.534725	3.570297	4.844952
5.070433	4.811849	2.472403	5.800593	1.366353	50.0	1.989559	0.084149	0.236656	7.678459	6.713722	4.722195	1.497809	7.555821
2.85582	1.817772	10.286937	1.844612	5.044753	30.0	5.417656	6.71141	4.037431	4.013482	7.604511	3.477341	7.410611	9.477664
9.566471	1.014681	0.321311	3.952194	9.131485	30.0	0.578806	3.961082	11.194887	9.771629	5.882538	5.456887	4.34256	4.825469
8.205117	0.571488	5.065739	1.342344	1.984361	30.0	10.795954	9.233727	3.779631	10.121281	1.678941	5.025136	5.929101	6.267179
5.833666	8.394232	10.245177	6.281561	0.977026	10.0	8.308474	2.300489	7.048121	10.273579	9.889398	8.926829	1.516636	10.004812
14.286625	6.676361	13.412697	0.248119	7.004677	10.0	1.291287	5.602208	3.15473	2.124609	4.506686	9.937104	14.818095	6.936801
9.71242	0.402624	13.668692	7.857232	0.312683	10.0	10.019538	7.542208	6.875228	0.847617	2.145804	5.348316	12.753703	12.513934
