CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
5.161735	0.001	15.060341	9.024716	10.524255	13.540694	0.929157	3.389117	4.852123	9.301256	15.712763	8.786806	1.607319	2.108717
13.359325	0.001	3.757837	11.138987	15.397953	11.882038	2.10024	0.619559	0.06946	2.470737	1.786731	13.754004	13.846377	9.815753
4.446496	0.001	3.627404	9.454225	2.65573	4.354516	10.771367	7.489776	5.295031	14.036011	12.430939	13.334495	5.911306	6.191706
8.620546	0.001	6.995803	4.891203	6.265325	11.306612	7.86898	7.764221	5.432778	8.550667	5.746667	10.53493	7.367035	8.654234
18.612526	0.001	14.396085	6.934247	11.262702	1.287785	9.758599	3.4268	5.038885	13.544538	5.673781	2.363803	6.406889	1.292358
17.793615	0.002154	8.694414	3.559413	8.624917	2.319774	1.524729	3.917991	3.792185	9.408017	11.330704	16.192775	10.063234	2.776077
12.802971	0.002154	3.276346	8.348632	13.919099	9.647537	3.11334	3.261608	9.351914	14.604272	4.524689	10.262099	4.593089	2.292248
7.713726	0.002154	13.469661	15.956618	6.864243	2.142436	6.22384	3.063037	5.941019	9.732622	3.786489	13.006311	6.210749	5.887093
5.334951	0.002154	4.785257	8.916964	10.847619	0.088006	8.857135	13.130912	9.749046	10.798638	8.806881	5.242954	5.205148	8.234334
2.568918	0.002154	4.262572	10.470598	3.551024	4.940583	11.646765	13.78943	5.616306	8.565762	2.40827	13.630114	10.808168	7.739336
10.91087	0.004642	4.228505	7.303496	10.280804	2.19058	8.968594	7.938972	10.801462	6.51826	6.141917	10.105763	5.364261	9.241873
12.937727	0.004642	12.50628	5.649928	12.034254	8.485468	3.499306	9.498592	12.474208	1.650406	10.913	5.683044	4.27387	0.389277
13.131749	0.004642	14.008892	8.823207	1.609829	8.231422	5.389776	15.842782	1.975016	8.446508	7.557681	0.985287	13.631818	0.361393
0.982316	0.004642	4.555855	3.507818	7.468495	16.957469	9.538671	4.319098	14.119375	5.354648	8.874062	14.371429	4.068305	5.877818
11.667154	0.004642	4.64187	11.52425	3.695977	9.77899	1.832736	11.362465	7.488795	8.937109	4.107562	10.942662	6.449236	7.566553
10.240876	0.01	13.061336	6.610412	13.649281	6.485692	5.028461	10.583491	10.381577	0.579374	8.24722	4.769272	7.266633	3.086377
4.498188	0.01	6.061176	4.587844	13.958547	7.472159	0.396042	10.904231	10.899665	12.195871	2.257077	18.689669	7.687439	0.382092
2.658735	0.01	10.267082	6.746586	14.177622	9.191243	4.346189	3.99201	13.360402	4.173152	6.890988	8.164359	10.807982	5.213651
1.449624	0.01	12.534811	0.737661	6.773377	11.473215	8.25987	10.797711	8.492381	9.038731	4.385046	2.102381	12.788983	11.156209
9.103386	0.01	6.985329	10.375151	11.298336	7.5807	7.610605	3.458406	6.758063	10.815202	9.327889	4.055772	2.695984	9.925177
9.503015	0.021544	19.469445	5.063674	4.541166	2.072674	17.396874	20.227269	7.093881	2.030804	3.222733	0.442003	6.341694	2.573223
0.702419	0.021544	7.704771	15.012216	0.449622	15.452945	4.417119	13.320118	10.750697	4.454374	11.130405	14.453893	1.364637	0.765239
7.191766	0.021544	3.680847	6.796288	12.77973	7.785194	11.475662	1.656083	13.158459	12.007988	8.999242	3.193991	1.945277	9.307927
13.863971	0.021544	6.645971	7.131388	5.409163	8.080358	12.072451	10.483667	2.108042	4.191326	2.930694	2.976441	11.534237	12.550747
11.815282	0.021544	3.883222	13.276337	2.78534	3.699755	10.826603	4.564944	14.123011	5.867426	3.028879	10.095668	3.523471	12.488518
3.82391	0.046416	0.452773	10.743724	10.266132	13.59741	4.258277	0.552396	9.300451	10.663061	6.130962	10.69128	6.504604	12.968603
11.125199	0.046416	16.34269	5.025148	4.979806	16.512771	3.558438	19.071466	3.765491	12.469387	0.022984	3.17635	0.276805	3.627049
14.876941	0.046416	0.993129	2.437183	10.17165	4.78335	9.843908	3.802788	17.319033	10.326947	6.109649	0.283279	14.229335	4.776391
0.809149	0.046416	6.312183	13.06894	4.488752	6.913997	0.375397	2.456194	9.304077	11.447504	4.559127	5.642507	14.790333	19.785423
7.965153	0.046416	9.670583	4.720615	5.097169	11.956338	0.151297	7.340801	8.135878	4.335392	15.252429	10.963441	1.15576	13.208729
11.334858	0.1	3.414364	15.803161	4.100465	9.377639	18.090951	0.245808	7.786725	2.308815	14.945952	0.705845	3.184639	8.600779
1.467913	0.1	13.141024	2.574416	13.81347	13.275591	0.671652	9.860254	6.555328	3.29823	2.252165	8.436397	10.743503	13.810056
10.834161	0.1	9.087331	6.801735	5.762521	4.985818	4.350464	11.561381	10.052003	7.730477	11.022266	8.630131	4.902855	4.178856
4.621964	0.1	1.454989	14.062976	9.092533	9.448668	5.114835	11.940015	12.670023	9.41847	16.526575	3.258246	1.643049	0.647658
13.96942	0.1	9.522689	0.172835	6.104386	6.23212	11.950202	0.049921	2.081117	12.316489	5.977136	10.328581	5.993168	15.201937
1.886287	0.215443	7.769052	7.171955	3.086531	8.363898	8.886452	5.844749	9.097631	4.982361	12.060755	12.273365	10.144029	8.217492
5.032988	0.215443	4.175159	0.716447	6.016739	9.361059	13.525722	5.634084	15.587545	7.026818	10.223197	1.298729	14.003477	7.182593
13.919883	0.215443	13.204817	4.905691	11.665127	0.351675	3.678394	12.619923	7.281845	6.239737	14.458782	2.770746	0.915367	7.772568
5.191705	0.215443	5.777113	2.196205	2.180783	4.287548	4.911132	13.066825	12.061952	8.970711	11.340056	11.323936	11.840093	6.636499
7.157954	0.215443	8.239871	10.814123	11.427737	10.804336	1.669582	11.005386	2.889832	7.59297	11.375716	0.574544	5.268421	10.964086
9.471429	0.464159	4.289095	9.883803	11.372589	3.821213	8.363471	6.218492	11.508973	1.115768	7.537542	7.688351	9.689313	8.575802
5.30189	0.464159	6.594216	16.655202	14.977384	4.478116	9.880176	11.997484	5.274897	1.699771	8.228911	5.240712	1.60783	7.599252
11.575796	0.464159	3.330577	5.606235	7.868887	12.886779	2.516609	10.422448	10.576977	2.524461	10.860817	11.361456	5.438542	4.566257
1.457382	0.464159	11.355637	5.980014	13.559113	1.071684	1.111556	6.748797	9.742624	1.897902	8.412905	14.912418	16.223086	7.062724
9.210137	0.464159	10.585033	11.5282	2.704033	3.064815	1.817579	7.302982	6.412589	10.1815	3.730636	11.286101	11.803494	9.908743
2.91408	1.0	1.34644	13.913888	5.739612	0.537487	5.787732	17.445184	0.919707	11.736655	7.786564	14.874016	11.912521	4.086116
11.25837	1.0	12.184079	8.756886	14.798758	0.160148	1.462011	3.380708	8.117681	15.710563	0.408361	9.592458	9.820219	3.349758
12.641877	1.0	1.74132	14.832844	6.271754	15.079889	4.823671	11.479008	6.747135	7.755534	0.719359	9.131357	6.097074	1.67918
18.208939	1.0	0.89943	7.3969	3.115287	0.496433	14.765323	2.284598	9.962048	18.764165	8.937621	5.489726	6.224568	2.454962
12.071927	1.0	3.320441	6.603993	1.746412	2.979395	0.987406	12.582724	11.050147	11.314476	10.714688	13.929079	0.321554	11.377757
