CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
7.680158	2.065223	0.492957	12.782111	5.637139	3.430015	10.223472	0.001	1.94091	11.094197	12.877221	14.511438	8.980478	8.283681
12.381661	11.207602	14.014476	4.16215	0.300609	15.054387	7.18161	0.001	11.672119	5.820998	10.289528	0.268371	1.354652	6.290838
13.630814	1.246275	9.96489	9.562224	7.847703	9.410192	9.315788	0.001	5.090007	13.640709	0.951874	3.328121	2.854715	13.15569
8.618583	0.584209	15.623048	14.754227	15.141854	2.680436	2.865517	0.001	10.332483	1.59074	2.047058	3.69223	3.191439	18.877176
8.407131	13.337876	1.037806	13.213833	0.274183	8.577287	0.323175	0.001	0.292369	15.159812	15.064731	3.776569	7.926025	12.608205
11.797621	8.607151	7.904075	4.145221	11.298462	5.962883	9.174815	0.002154	11.388355	6.425058	6.098422	0.13007	8.302065	8.763648
6.535255	8.557192	13.112313	12.72188	1.941568	8.17601	3.737865	0.002154	9.545996	4.701357	3.89866	11.009455	9.979194	6.081101
2.906023	13.425438	6.713275	5.578596	12.992595	9.420681	11.020159	0.002154	1.549713	5.868534	9.239973	6.128544	3.294917	11.859397
3.300073	1.095266	15.221004	19.271407	2.2411	9.991769	0.292617	0.002154	6.748508	5.173759	22.327163	11.106567	2.348804	0.879807
7.312407	0.129625	13.442988	3.731486	10.314144	10.360448	4.330166	0.002154	3.268595	11.12153	13.963626	3.84063	4.191038	13.991163
6.041269	19.08642	9.751539	0.055095	7.655592	3.701027	0.4313	0.004642	7.851884	1.308473	6.791862	15.154504	8.622631	13.543763
8.217197	10.055945	8.165642	2.902439	13.505055	4.204099	9.771388	0.004642	10.946753	3.241717	2.050753	11.030963	9.12669	6.776718
2.525005	12.138355	4.158358	3.052789	5.591524	8.18739	9.963707	0.004642	9.327048	9.781054	6.071522	11.135496	8.655269	9.407842
8.922669	8.094016	9.714851	9.752629	6.232149	9.027475	2.193467	0.004642	12.259682	8.046241	12.106168	3.557825	9.340051	0.748136
6.946481	0.989221	9.607776	13.16213	11.815036	10.428358	9.75024	0.004642	8.921936	3.485525	6.630897	12.688322	4.073822	1.495614
8.968466	3.535663	10.402654	12.032475	12.394272	12.137513	0.740353	0.01	11.375281	13.700641	4.326515	1.040537	2.0394	7.296231
8.364678	0.403587	2.501386	6.793179	6.782461	5.40242	6.235443	0.01	10.520901	8.174973	9.02106	13.145384	15.45958	7.184947
12.743544	12.72121	12.108662	4.627879	4.041475	0.950716	13.681293	0.01	1.022155	8.081804	11.919468	4.594351	8.992933	4.504509
9.517841	6.477131	7.380547	11.171458	7.644689	12.426439	7.859723	0.01	4.849008	0.029866	4.252987	10.327557	10.563983	7.488771
