CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
12.332584	8.663626	2.594467	3.6757	0.819464	7.387209	13.928254	18.627402	0.001	7.442282	3.996264	7.375123	4.376951	8.779674
2.930598	11.916346	12.279708	1.090163	13.412732	13.707544	3.284421	4.374925	0.001	7.489109	12.318772	0.968957	8.634014	7.591711
5.85206	8.256563	9.334042	6.181524	11.072927	9.829318	10.690947	5.719376	0.001	0.372229	5.531696	11.250206	7.872597	8.035515
3.359362	13.807046	10.062187	15.069916	0.092955	3.209688	9.357132	1.099339	0.001	7.546866	8.306522	7.225208	9.62395	11.23883
9.841078	3.050397	6.987369	0.670317	2.154806	9.242114	12.082153	8.360039	0.001	7.138387	3.52573	10.679868	13.626038	12.640703
13.47459	9.800415	4.96321	13.464066	6.547387	7.476861	9.690676	10.455801	0.002154	2.793714	12.182685	4.549964	3.150202	1.448274
5.487611	11.903773	7.788962	8.25424	11.812951	4.936454	12.617813	3.20068	0.002154	9.854035	2.03931	8.697177	0.484108	12.920731
7.473827	1.455997	5.688949	6.811946	8.823899	4.324903	2.792011	13.310353	0.002154	10.679666	2.04896	11.148378	12.688996	12.749961
7.345117	5.317412	9.906583	7.043862	7.246784	5.870702	8.553652	10.097133	0.002154	9.244473	8.391347	4.465704	6.315893	10.199183
0.005779	3.79284	4.363271	12.000276	1.013687	9.451327	13.231187	8.546929	0.002154	9.885785	9.747261	9.795358	8.038866	10.125279
6.351751	4.704939	5.671562	14.18648	5.890988	10.466014	7.051426	5.007487	0.004642	8.472531	7.786737	4.258802	5.352592	14.79405
0.03997	1.806775	5.093402	8.458359	4.1371	14.058234	12.104822	7.996518	0.004642	12.187388	8.618975	11.507622	1.959176	12.027017
3.681766	2.678395	14.386595	14.482856	13.900713	0.868737	7.905809	1.975786	0.004642	13.147676	2.190922	5.457448	11.731696	7.58696
12.524573	0.043485	12.661613	11.023857	1.281723	9.077562	1.343415	12.961106	0.004642	10.722672	4.398156	11.161654	11.168231	1.627312
9.527647	1.800068	18.519339	13.220935	2.142845	3.901596	0.454326	12.904523	0.004642	9.434596	3.744467	4.160113	8.188133	11.99677
3.08788	8.970423	1.296971	10.908585	12.942819	9.795041	13.289385	7.461835	0.01	10.291044	9.154915	1.914043	2.304567	8.572493
7.529602	7.912518	9.395967	7.12008	6.345443	11.736647	1.856909	4.425981	0.01	2.665048	5.495816	11.739186	11.809908	11.956894
0.219168	12.801952	7.925394	10.155934	5.499687	1.43035	6.564951	5.247772	0.01	11.15306	14.901323	10.556675	4.364025	9.16971
9.348426	15.822868	9.691751	4.278012	7.415777	7.023518	11.070871	0.297006	0.01	3.618767	6.452581	1.926315	16.425278	6.618829
6.623016	10.75171	8.950816	6.86739	6.977387	7.577876	11.03958	7.452179	0.01	7.661166	9.737663	1.668859	6.147305	8.535055
1.919622	4.769035	1.514272	6.854446	8.254111	3.984105	14.522053	9.77991	0.021544	11.9214	1.499351	7.123299	14.023437	13.813415
7.730298	11.987454	7.725272	8.39136	10.94626	4.204131	13.989847	2.143819	0.021544	5.226529	10.142243	4.14622	2.724219	10.620803
5.571835	12.293358	2.944713	11.988685	1.4119	1.41553	11.483875	7.08261	0.021544	1.694691	10.374729	8.966309	12.341622	12.408599
11.086124	6.984575	10.22485	1.018554	0.903374	11.713438	14.253974	5.487417	0.021544	12.995744	3.063814	3.932321	7.527662	10.786608
7.310402	13.728579	4.799112	1.634918	15.044992	7.036667	4.219887	4.189053	0.021544	15.256207	7.572972	2.404189	7.092662	9.688816
13.529944	13.414471	6.657485	4.974301	1.968986	2.681423	2.954132	13.998076	0.046416	5.948428	1.531131	13.454714	6.097091	12.743402
10.397593	6.619296	3.560678	2.889637	6.175066	15.135583	11.482499	5.017139	0.046416	7.553101	13.300729	7.234254	0.022271	10.565737
7.898298	9.852731	9.610441	4.971821	12.187087	8.144758	12.192197	7.357993	0.046416	4.315725	8.126351	0.889663	11.375512	3.031009
9.553434	1.871406	8.46719	7.941523	3.214469	2.447802	3.934915	8.336822	0.046416	13.576903	13.477442	6.384293	13.039055	7.70833
5.946464	0.612164	1.488452	4.085147	11.856398	13.119733	6.204351	7.885156	0.046416	14.757846	5.24669	9.702819	12.348078	6.700285
4.84717	2.969885	4.822176	10.878697	1.151678	11.269579	12.167063	10.400808	0.1	8.13725	2.103384	6.336608	12.494542	12.321161
0.60855	3.499195	5.837022	9.776363	8.608259	9.805581	5.174292	8.341518	0.1	12.953494	14.446226	10.74562	8.988968	1.114912
15.382202	0.367242	13.735501	12.848578	4.035015	2.801006	12.95428	15.864611	0.1	0.076909	1.541351	11.505216	3.153481	5.634607
7.336919	6.315798	1.964084	5.42154	8.761908	2.150332	13.611706	2.840593	0.1	13.096027	13.329519	9.850135	4.695315	10.526125
0.4013	9.900838	4.610397	5.296168	9.880478	9.888989	6.871869	8.337453	0.1	12.951139	9.338723	6.111999	10.931745	5.378902
10.828266	9.101656	12.593471	2.654472	14.519265	2.726723	14.205215	1.076798	0.215443	0.477956	1.899017	9.108962	12.481058	8.111699
8.807017	11.768018	6.388526	2.579703	6.30219	1.377126	12.182782	12.014641	0.215443	8.870642	3.899596	10.83838	12.834303	1.921634
3.072018	4.855697	9.153105	2.704642	5.56481	11.317118	6.131792	13.269743	0.215443	9.649032	9.31067	5.033679	9.422038	10.300213
6.783493	3.787941	8.56527	6.986601	11.099704	7.94302	4.931837	9.334823	0.215443	10.681277	7.865276	4.95087	11.376675	5.477771
3.658951	5.492776	11.407748	12.096784	13.654451	5.912069	3.678064	5.608579	0.215443	2.376584	8.284099	10.535624	11.673174	5.405653
14.950147	0.635834	9.075829	4.053528	4.171484	10.414518	12.235947	10.784402	0.464159	2.275936	9.926576	7.847245	2.318705	10.84569
11.742195	6.178002	11.704398	8.954378	8.22117	6.998422	4.453245	6.835126	0.464159	5.268861	9.832636	7.312461	7.258965	4.775982
5.758347	10.936936	2.704104	3.573765	10.70464	7.397041	10.61908	9.284492	0.464159	2.026746	12.543467	8.701016	10.536925	4.749282
5.805166	9.760084	15.801688	16.608325	6.912989	0.734766	13.853447	13.976983	0.464159	2.191815	5.708449	0.656554	0.168573	7.357002
2.729916	9.975187	6.369162	11.298108	7.891583	1.755663	10.701212	7.753745	0.464159	10.710019	1.330544	11.930285	9.585677	7.50474
2.354114	14.084044	7.044585	10.849616	0.992733	7.992293	8.927106	8.944121	1.0	6.113803	9.040688	6.766293	12.128513	3.762091
11.040876	7.162438	9.412627	10.241329	7.126728	9.41429	2.853705	8.776463	1.0	4.665455	12.181487	1.906169	7.313985	6.904447
3.175194	11.585554	6.009063	8.991652	1.831808	4.057001	6.996199	11.497186	1.0	7.782469	7.35826	11.322347	10.949151	7.444116
0.357921	0.996325	4.080829	11.097749	13.600497	9.294955	5.212732	8.029732	1.0	1.090722	10.45498	11.235593	9.370732	14.177233
9.536038	2.147376	4.795235	12.822206	3.100108	2.158611	14.159308	15.460334	1.0	7.461935	3.5496	9.867109	9.40172	4.540422
