CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
5.501553	11.183906	13.259285	4.070718	3.776659	3.832451	4.951352	9.017858	7.900136	8.291217	13.543936	12.867312	1.0	0.803618
7.194361	14.423748	7.542731	2.938743	8.789509	11.398832	4.719861	13.093773	9.497103	4.064848	0.101371	4.563191	1.0	10.671929
10.893701	18.844816	2.810422	7.924375	11.341205	12.380197	5.8768	4.16076	3.501007	6.049575	4.279884	10.237496	1.0	0.699761
4.296219	11.754064	3.365829	11.100415	12.109104	11.153186	3.219585	12.212973	7.760538	9.505541	4.841502	7.410657	1.0	0.270388
9.22194	12.92706	0.329528	6.32407	4.338799	4.396011	9.746228	3.454037	12.609075	9.043286	13.135131	1.210992	1.0	12.263844
12.109852	11.863468	0.126215	8.559707	3.556743	7.237574	3.368098	8.88944	10.573806	1.328807	6.283697	5.654114	10.888889	9.559591
4.939063	10.254875	3.972106	9.319992	6.721569	11.31503	11.062017	10.532953	0.744081	8.153733	1.252379	7.256703	10.888889	3.586611
7.118426	9.717018	6.865929	11.868601	9.741791	8.499837	2.168223	1.482085	9.186566	9.042196	7.507373	0.269576	10.888889	5.643492
7.436493	10.431253	8.337068	1.081618	7.78696	1.908358	0.00879	9.909111	4.310349	4.751155	13.092615	9.689707	10.888889	10.367634
8.176281	5.535056	7.509149	15.280323	3.717893	1.874588	12.068042	2.836582	0.898531	0.317142	8.777279	5.538922	10.888889	16.581322
0.162358	0.63106	3.638854	13.787118	8.349097	3.62419	11.814561	2.569627	4.221303	10.633009	13.95321	0.494162	20.777778	5.343672
3.767492	1.406689	15.808896	3.176564	2.729924	0.76193	10.603816	3.486012	1.085669	0.333596	13.910471	10.582698	20.777778	11.568465
7.485257	4.070084	0.091512	9.014038	10.722294	0.814372	12.986608	4.285638	2.235706	0.065587	8.000901	12.63582	20.777778	6.814406
0.219808	4.293191	8.901574	1.345409	3.285398	6.56633	5.741675	11.496748	9.132775	5.321124	7.765085	4.237918	20.777778	10.915189
8.879211	10.193657	9.186635	2.932508	1.490803	1.04737	1.728361	10.406064	8.425353	0.905415	7.7328	10.347282	20.777778	5.946763
9.015494	7.78333	2.536949	7.094705	2.654672	10.778541	7.527548	2.694761	0.582896	2.477108	3.745871	9.459466	30.666667	2.981991
0.018781	7.883039	2.499326	4.034608	8.09354	3.036034	2.679397	5.52707	3.808314	7.255158	7.59955	8.090754	30.666667	8.80776
4.738009	9.638215	1.830259	7.879167	3.631517	7.22305	1.040161	3.968101	8.129096	0.431944	7.63124	8.47222	30.666667	4.720355
8.337207	4.81442	3.367694	9.049765	2.49377	6.121188	5.559475	5.455686	9.550691	6.667251	4.69969	1.967182	30.666667	1.249313
2.318197	7.399812	4.128114	6.932052	6.461404	9.14785	7.880215	0.520259	0.891567	5.298442	9.094458	8.77619	30.666667	0.484774
3.151932	1.166701	3.8333	5.830331	3.605744	5.37128	6.615843	6.388591	0.651081	5.331724	6.655737	6.695049	40.555556	4.147132
2.400321	6.505277	2.503841	6.765182	4.944734	6.297281	6.686107	2.139753	0.052738	6.111508	2.490223	7.236152	40.555556	5.311328
1.336568	7.51436	3.531565	3.293316	8.884487	2.893232	1.662475	7.067478	0.510675	1.587155	6.988857	8.028994	40.555556	6.145282
5.048912	4.266663	1.674358	0.70973	5.35203	3.695231	2.756083	5.315486	7.494467	6.873845	5.460584	5.567385	40.555556	5.229671
7.652121	5.441963	2.37104	3.43771	0.579661	4.90671	4.627606	6.682999	1.898281	7.776918	2.005287	6.574825	40.555556	5.489325
3.983268	2.057299	3.752303	5.296159	4.571311	3.781843	0.461066	6.129349	5.006102	2.421252	5.884157	2.004259	50.444444	4.207188
0.559673	2.312873	6.989437	2.584963	2.842141	3.881364	4.937335	3.382462	6.465022	1.98588	5.341522	2.13466	50.444444	6.138223
1.153401	8.372561	2.04985	5.467103	3.173537	2.850369	5.393962	0.803071	7.621369	0.218281	5.147519	6.708982	50.444444	0.59555
3.800893	4.337277	6.241865	0.582347	4.185917	3.700035	4.176902	2.262186	5.914306	5.489405	0.335723	5.119671	50.444444	3.409028
4.363336	4.563262	3.615611	3.528957	6.506447	5.542576	1.363125	1.210399	1.25463	6.768413	0.841869	5.549361	50.444444	4.44757
4.64243	2.545746	1.180794	0.394898	2.276138	4.330501	4.744149	3.769919	0.173521	5.723314	2.197973	1.888666	60.333333	5.798619
3.221046	0.775712	4.540893	4.289611	2.492102	4.8726	2.977132	0.695476	1.82919	5.351492	2.389611	0.754189	60.333333	5.477613
0.482147	3.445584	4.473863	4.16688	1.708721	3.99338	0.002207	0.623404	0.728054	5.107451	5.379219	5.215456	60.333333	4.340301
1.527314	2.141132	0.033612	1.968582	6.300158	1.850398	3.704053	2.587796	0.501345	4.033733	5.464313	4.309011	60.333333	5.24522
7.812975	1.291373	1.920785	1.091629	1.786928	1.300055	7.473386	0.497673	2.581418	2.355561	0.375622	5.646146	60.333333	5.533116
3.071581	0.712471	2.875255	0.263382	3.036525	0.809198	0.779223	1.956377	4.673434	4.046142	2.642244	2.390837	70.222222	2.52111
4.531048	3.13976	3.722885	0.517427	4.267234	1.295174	0.407117	1.384962	1.618198	2.435088	3.329089	0.518872	70.222222	2.610924
2.752937	4.085894	0.787153	0.567276	1.291403	2.417077	3.635197	2.084475	2.474317	1.698611	3.205895	3.084862	70.222222	1.69268
2.034995	2.592164	3.949647	0.896286	0.305657	2.287863	0.755714	3.614897	4.271075	2.870354	2.353335	2.076604	70.222222	1.769188
4.972043	0.875444	4.579093	2.647918	2.584333	1.414019	4.31144	1.166827	0.424647	0.778211	0.393387	2.262405	70.222222	3.368011
2.84557	1.656512	0.055009	0.249049	1.730936	2.13849	0.402597	0.286681	0.303972	2.539214	0.746531	3.684537	80.111111	3.24979
2.473531	1.544261	1.04928	0.835726	2.284946	1.373309	0.060129	2.525659	1.858327	0.930879	2.855676	0.829615	80.111111	1.26755
2.657562	2.822562	0.493769	3.105979	2.123605	0.810165	1.610172	2.433196	1.178233	0.488192	0.977566	0.732888	80.111111	0.455001
1.14492	2.373078	3.132637	0.956261	0.305917	1.435088	0.424669	1.368501	0.070729	1.409247	3.298212	1.351636	80.111111	2.617995
2.24391	1.29095	1.370912	1.673592	1.619984	1.830662	2.511886	1.608252	0.153159	0.786636	1.465347	1.597214	80.111111	1.736384
0.830086	0.248579	1.255198	1.082073	1.154812	0.342362	0.477779	0.970939	1.001723	1.227692	0.541189	0.711473	90.0	0.156097
1.474005	1.307653	0.396094	0.547058	1.855091	0.283433	1.040354	0.463815	0.858747	0.069374	0.238034	0.657116	90.0	0.809225
0.211739	1.316054	0.856472	0.412971	1.528443	0.733662	0.81658	0.771566	0.126168	0.948271	0.79165	0.68775	90.0	0.798674
0.65754	0.078423	0.320387	0.565295	0.887506	1.298905	0.946163	1.137206	0.236539	1.088958	1.29426	0.785985	90.0	0.702832
1.261238	0.97044	0.207005	1.302486	0.806286	0.382636	0.838434	0.458367	0.865718	0.18371	1.037222	1.173523	90.0	0.512935
