CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
15.408491	3.710526	12.955739	0.208678	1.909109	6.986136	1.129631	15.321241	2.209338	5.759476	13.778865	0.001	6.230824	14.390947
13.872809	6.310301	6.088772	14.755813	6.395519	12.565994	10.234546	2.315587	13.190984	0.625382	0.695244	0.001	0.920864	12.027185
9.548331	2.699416	1.657861	12.687176	5.81115	9.544218	0.831301	13.877219	6.648362	7.108741	15.07397	0.001	9.911262	4.599993
9.71764	3.052052	14.191385	12.879796	1.111087	14.07241	13.308485	9.433541	8.894712	3.613538	4.799747	0.001	3.187974	1.736633
10.484085	8.531805	4.911714	11.394813	1.835684	12.218858	11.143215	11.299061	9.532125	2.048289	5.831045	0.001	10.629769	0.138535
6.304128	14.207911	10.745766	10.546035	14.443215	9.728986	2.849191	3.961796	0.073048	3.897058	4.675739	0.001	2.286926	16.279201
12.374442	6.647453	6.332179	7.519821	3.423617	8.366313	14.076526	13.021194	0.239277	11.54262	4.357056	0.001	3.202614	8.895888
8.774771	14.627251	3.493309	3.3553	5.611848	11.082805	8.533686	13.89068	5.964313	5.956026	14.028238	0.001	4.314885	0.365888
2.612991	6.653101	7.826393	15.668095	8.599849	1.331434	13.740408	6.24981	6.900016	8.685247	0.401317	0.001	9.840703	11.489636
4.126924	5.863101	7.544433	7.002365	2.431664	11.362018	13.807749	6.635252	8.743273	10.219544	9.349453	0.001	11.395497	1.517728
6.652494	6.258297	10.841324	1.730016	10.489422	10.566539	10.214804	7.091247	12.238564	2.807097	9.619562	0.417625	6.287043	4.785965
4.389623	6.595138	1.358032	1.2401	6.124848	7.864809	13.681993	8.309006	11.688863	13.159129	3.69796	0.417625	12.627197	8.845678
3.622039	13.537161	8.769924	12.604082	6.913322	6.739341	3.756241	16.844677	6.873484	3.334411	4.993979	0.417625	5.4319	6.161815
7.924908	1.55392	13.111587	9.927374	11.725198	3.873718	6.212177	10.938484	12.893688	12.691715	0.934768	0.417625	3.397564	4.397274
2.292887	7.474065	12.697612	12.542868	13.299707	3.479622	1.802395	4.93358	12.708963	2.937524	12.669734	0.417625	1.062696	11.680721
12.572666	5.587392	11.743708	7.192349	8.521796	9.177583	11.025531	11.226053	5.223886	2.261618	8.684339	0.417625	3.848717	2.516736
10.250162	15.355145	16.570932	2.516159	0.410447	0.809385	0.300452	15.535121	10.787873	1.221557	4.049205	0.417625	6.384976	15.390961
13.097921	10.497703	13.125648	3.88332	7.62239	12.888777	1.754322	2.647757	9.957007	6.333639	10.048544	0.417625	7.222765	0.502582
5.728653	1.211836	12.534254	8.526485	13.67244	8.254614	9.59357	8.448443	3.270535	13.136795	4.168782	0.417625	8.734042	2.301926
13.627755	10.305347	12.831838	0.65205	0.831532	14.476299	6.922165	1.85864	6.570719	8.942192	13.394436	0.417625	1.041032	8.128368
0.80833	8.003941	10.810982	1.488112	2.753643	12.011447	17.116128	7.911642	11.037357	0.830767	16.397453	0.83425	0.926675	9.069271
5.523195	6.816321	10.890329	9.560405	13.06441	12.540142	2.437576	2.632177	3.776958	13.493763	8.099004	0.83425	5.71713	4.61434
9.217607	11.060877	7.102368	12.58642	11.794773	8.201284	0.22647	10.152636	1.876126	2.311477	9.042072	0.83425	11.756354	3.837285
0.947192	9.474977	12.64259	2.695711	13.344587	2.110527	13.90471	4.297046	3.100821	3.732703	12.085839	0.83425	11.716619	9.112427
3.138254	13.756141	8.558442	13.711809	3.29337	5.055445	5.995334	1.502622	10.02623	5.199341	5.31644	0.83425	8.800806	14.811517
13.47925	1.383757	9.057842	1.76841	13.44855	6.87168	8.408723	6.072639	17.917129	3.447987	2.009477	0.83425	6.12143	9.178876
11.567343	8.344679	8.94725	11.465463	4.108966	9.108919	1.885543	6.712807	9.146276	10.600296	8.253615	0.83425	2.22041	6.804182
9.095499	4.168588	3.368505	4.672021	3.148547	14.257864	5.385915	8.983984	7.469856	5.27474	13.380046	0.83425	8.557323	11.402862
3.939702	6.74708	6.985046	13.452612	9.870853	6.860565	13.173338	2.296692	7.1438	2.329748	2.827829	0.83425	16.17481	7.363674
14.186781	7.329325	10.253462	2.356393	2.181464	10.741281	2.468042	9.523642	9.627422	14.344507	3.327364	0.83425	4.804777	8.02129
3.731684	3.621219	11.42207	5.230399	5.291621	10.523209	7.225014	5.209415	13.540763	10.642637	0.636069	1.250875	13.997466	7.677558
0.978652	14.261497	4.529599	3.612609	11.000619	9.215496	8.38056	6.942485	2.050101	11.690105	11.874047	1.250875	5.5844	8.628956
10.695852	9.281362	8.868959	7.861173	8.919633	11.705689	0.03061	6.979778	10.959884	6.791833	6.899962	1.250875	0.735347	9.019042
1.565121	12.832589	5.580899	10.956972	8.123394	10.97723	7.125391	8.799339	9.346318	2.336463	9.730609	1.250875	0.672574	10.702225
2.854361	16.447167	7.334641	7.91734	0.23655	7.752235	2.960516	2.564218	6.924892	8.680633	10.947271	1.250875	13.204064	10.925238
5.003174	12.13726	10.815632	7.301675	3.322765	10.165178	9.353581	17.004434	5.855285	1.758926	11.974434	1.250875	1.160893	2.895887
11.979388	3.315348	12.382253	2.799607	5.817972	5.690325	11.302341	11.141045	11.214753	9.791618	3.490992	1.250875	0.561766	9.261716
4.897472	6.829259	11.601162	10.251887	0.103548	7.397261	10.677296	8.362041	6.071889	0.411159	3.752827	1.250875	13.983761	14.409564
10.214817	9.118994	9.567476	0.806686	11.734547	0.426808	0.731211	11.432846	4.01189	7.902451	10.860305	1.250875	11.035749	10.905346
1.614687	12.569485	12.10034	9.727508	8.586307	1.403399	5.424864	2.545266	11.178993	8.447479	7.539747	1.250875	6.752597	10.858454
20.256542	2.740801	11.675261	15.59217	8.383663	9.070793	4.336242	3.164375	0.965586	3.16765	8.659623	1.6675	2.139343	8.180452
9.810182	1.565519	10.750393	11.380191	8.945891	17.299755	5.405207	3.198825	7.481326	4.451344	9.26156	1.6675	1.607766	7.174541
2.161208	10.580552	0.390229	11.4131	13.304213	5.467178	5.26242	10.822004	11.98052	3.474042	9.612099	1.6675	8.038261	5.826675
3.772809	1.063891	5.052561	7.721979	13.350272	8.467904	12.874632	11.895875	6.998543	12.064442	0.057697	1.6675	11.800723	3.211173
2.037924	3.016782	4.891773	0.897316	12.995746	6.516865	5.340023	11.393338	8.767216	13.416009	13.38505	1.6675	11.686587	3.98787
8.291565	4.608717	4.613599	11.663619	2.314577	13.016861	13.293471	5.374797	17.341285	8.09012	2.304091	1.6675	1.799285	5.620513
11.989246	5.596319	6.500404	9.110589	13.929901	14.027195	5.227075	6.647026	1.498841	1.735093	1.812934	1.6675	13.213163	7.044715
12.642764	12.669562	4.830801	10.281102	9.653605	10.015384	9.456781	0.566935	2.450917	3.427453	9.765057	1.6675	0.520031	12.052107
13.845539	6.234586	14.737951	2.981144	6.27883	10.84246	0.388702	12.816511	4.073286	11.313295	9.580457	1.6675	2.138408	3.101331
2.686172	7.557276	14.262084	9.629777	0.764207	6.621508	14.488479	2.018658	13.962507	1.674074	7.765431	1.6675	0.196896	16.70543
1.10885	4.909917	8.187288	8.469255	5.519946	4.913366	4.159018	9.168857	3.531257	17.52337	5.476425	2.084125	11.78859	13.159735
7.870607	5.596626	12.05283	10.707055	1.830364	4.22818	10.296412	11.404983	15.366327	4.898003	7.07234	2.084125	4.224888	2.367261
0.47373	8.423219	5.788961	3.697513	15.452952	2.691338	9.917935	15.156452	8.276291	11.752185	14.410279	2.084125	0.522486	1.352534
6.128559	2.72947	1.526554	5.491169	12.448215	5.779273	15.205984	2.550013	16.713777	16.538091	0.673527	2.084125	4.870045	7.261198
