CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
12.446077	7.299624	9.627972	11.173723	0.001	3.689838	5.375694	3.12993	6.953424	4.64728	11.673072	6.385362	7.682733	9.914273
12.577546	12.46369	9.497407	11.246593	0.001	7.272199	6.311139	1.878645	7.889545	5.678955	3.782876	7.346793	0.781254	13.272358
15.215254	0.653308	12.85862	6.763657	0.001	3.909796	2.327287	8.784305	9.410175	8.681498	8.561566	12.477131	5.850992	4.505411
10.223812	12.068278	10.659752	8.559947	0.001	3.564203	7.687283	14.025675	7.861587	2.370563	7.112143	2.280115	0.442667	13.142976
3.076743	6.575541	10.494373	7.479735	0.001	10.73433	13.683057	13.931046	0.630345	5.340922	5.109842	10.829375	7.976529	4.137162
5.100159	9.235187	6.312089	3.005735	0.002154	14.76202	5.864763	1.736605	11.833815	11.296167	4.885298	10.175911	14.950824	0.839273
7.582847	11.857187	6.921366	9.211221	0.002154	5.481755	13.240407	2.439524	6.753943	13.024191	13.237641	1.278407	7.712272	1.257084
1.975505	0.096965	8.524547	12.713132	0.002154	1.068088	11.38653	6.699992	8.242758	1.560568	13.734573	7.01101	12.258423	14.725755
3.891223	6.082336	12.742227	11.977646	0.002154	9.26748	8.869506	2.792315	0.713948	8.107427	6.539424	9.595263	9.16921	10.249842
12.789914	7.894663	3.944989	7.987244	0.002154	11.23139	3.924887	5.554202	7.598042	6.44807	3.811385	10.154728	6.256449	12.401884
0.247591	10.160742	12.248022	5.845533	0.004642	9.121358	8.838553	11.295733	11.489286	9.944044	3.453915	10.464693	6.553122	0.332766
14.386919	8.698046	3.205115	4.148159	0.004642	5.811788	0.270082	3.797251	13.660204	6.883024	2.029173	9.798544	12.079735	15.227317
2.717477	3.022936	9.575443	5.874274	0.004642	11.261537	9.243543	1.982588	10.664579	6.604537	7.093248	9.95327	11.026163	10.975762
11.519281	9.468494	12.559881	8.907718	0.004642	11.76478	1.868833	0.623852	0.262874	7.615351	10.609514	11.93615	3.787296	9.071336
11.085246	2.095475	12.759527	0.878151	0.004642	0.411677	18.782476	11.741143	6.39826	11.384204	1.216412	5.707758	4.702922	12.832108
7.406308	5.00375	15.799195	6.014218	0.01	5.617201	0.531808	10.389088	15.651164	0.948578	5.281759	0.370773	12.523901	14.452257
9.228496	6.450925	6.137449	9.91756	0.01	2.475663	9.69009	11.423283	10.091176	11.678033	6.565659	10.411844	5.527313	0.39251
14.13662	4.408076	5.544632	2.384857	0.01	11.823609	5.328773	8.09583	7.58572	14.215922	15.804105	2.783129	1.983194	5.895533
15.731875	6.737391	11.348482	3.570034	0.01	1.260182	9.085377	0.136646	7.16208	5.477577	0.291318	15.933758	16.289548	6.965731
11.569322	12.53106	6.099686	9.614788	0.01	8.22658	5.682112	6.91761	13.159974	5.107738	10.610416	0.472918	6.563464	3.434333
7.904515	11.537477	5.094715	7.702647	0.021544	5.865995	6.10455	10.582484	7.182246	0.464482	5.076773	13.035446	11.099267	8.327859
9.189343	16.665919	2.395356	17.325629	0.021544	18.518952	2.830815	7.728875	2.623926	1.025668	4.049545	2.761442	12.950867	1.912118
7.153031	14.380666	12.358537	1.947972	0.021544	2.639383	10.952059	2.18561	5.399004	2.333395	9.639704	13.253955	7.428087	10.307054
0.675032	7.001543	3.174437	12.535069	0.021544	10.099511	9.989408	12.202235	10.066928	3.058731	0.575842	7.603544	9.78646	13.209716
14.088401	13.018459	7.331897	4.919594	0.021544	12.965864	0.242959	9.27646	0.615569	11.307697	1.33835	9.870775	10.130576	4.871854
4.246556	2.272027	15.104319	13.526678	0.046416	8.17726	1.911117	11.869537	7.470123	4.443612	2.499361	3.282202	14.502761	10.648029
14.922846	9.080921	8.306849	4.546617	0.046416	9.38717	7.241714	9.171865	4.330888	0.129488	1.972052	12.496057	10.312416	8.054702
0.688688	15.580756	4.102093	0.764222	0.046416	1.233901	1.558254	13.284708	15.234603	9.012568	13.280736	8.280121	3.753073	13.17986
12.085802	12.209232	0.577136	5.082517	0.046416	13.560318	10.640213	9.739555	4.132583	0.478165	11.659647	5.132368	3.36253	11.293519
2.915289	10.498556	5.391414	15.019807	0.046416	10.749015	1.623644	5.588651	0.038006	15.201373	8.530082	1.753712	8.756434	13.887601
4.473341	15.82855	11.527052	8.859458	0.1	4.074985	3.619105	6.911571	6.253503	7.892499	14.443499	0.136382	11.924246	3.955809
2.347383	1.258434	5.117854	13.716695	0.1	10.156915	9.601454	6.172924	9.580409	13.391128	13.009863	10.087157	0.554405	4.90538
7.368413	12.998214	10.854556	9.333448	0.1	2.673254	2.600616	4.446615	4.82128	5.61743	6.994265	16.680532	11.460889	4.050487
10.543195	5.09255	2.506253	12.18165	0.1	0.503085	12.866892	13.787517	4.943518	8.009017	8.678558	1.996469	5.977557	12.81374
5.506592	7.393429	10.044393	7.991536	0.1	4.482263	1.974179	9.391245	13.504519	10.093748	9.429816	1.82468	13.874223	4.389378
8.745502	0.748324	10.586666	9.565786	0.215443	8.491456	6.906803	4.111242	4.853762	10.275843	8.77905	9.294864	6.968143	10.457117
11.326867	6.823331	11.969842	10.644423	0.215443	2.714622	3.792123	6.520108	11.363815	6.67789	10.136466	10.815663	4.361854	2.637554
5.922678	9.609665	3.143093	0.385768	0.215443	19.461744	26.070844	3.813457	0.752399	2.538862	21.256507	0.771155	4.776241	1.282143
13.18404	9.222385	12.676473	4.582162	0.215443	7.465928	9.366666	3.083068	5.352434	0.771431	10.179435	13.870165	8.410452	1.619917
7.342503	3.658311	4.403575	11.016698	0.215443	6.595326	13.231455	6.288	0.038276	2.910315	8.627859	12.301151	8.918739	14.452347
16.46961	7.665986	16.700704	1.062326	0.464159	5.73083	3.419642	8.858098	2.56285	5.419451	2.306536	16.763631	5.200263	7.375915
16.205817	16.377247	4.470842	13.491635	0.464159	13.854939	11.259802	0.36454	0.439355	11.541735	7.67277	2.912489	0.143968	0.800703
8.318747	4.204167	3.444083	9.069925	0.464159	13.247898	7.357571	11.728854	10.029284	1.369071	8.92199	8.102734	8.333058	5.408459
6.26251	19.965434	15.276225	0.223268	0.464159	0.330982	0.471341	1.555588	4.087483	10.246838	20.630047	0.668539	15.256795	4.560791
12.355418	12.096571	3.148512	9.091425	0.464159	11.876954	4.294214	0.857723	2.830751	9.02698	11.544616	10.638852	11.527324	0.246499
12.200539	10.652952	4.023471	5.829344	1.0	5.982366	6.097261	10.586346	5.551703	11.313423	11.93267	3.544265	6.881213	4.404447
10.695896	12.391434	0.501349	3.166007	1.0	10.542185	14.842739	6.764885	4.530393	2.64649	12.646192	2.597962	2.395459	15.279009
11.238906	1.015493	12.018687	6.554156	1.0	11.143782	9.760012	14.741109	0.56794	1.445414	6.434992	5.74307	3.243308	15.093132
6.842687	2.895281	1.093334	3.861956	1.0	0.648178	8.173263	12.456008	10.006063	5.025351	14.619566	5.471681	12.753209	15.153423
1.483475	6.271721	9.937576	7.416302	1.0	8.627675	5.851759	11.90091	2.12786	5.525628	8.486545	13.11472	5.859698	12.396132
