CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
2.820032	11.605138	7.026496	0.001	1.768217	2.627772	10.051137	14.045607	14.894432	12.718864	1.458841	1.47135	12.232675	7.278438
14.375273	2.086704	13.289851	0.001	4.870724	17.516821	3.213469	0.74967	18.346029	0.750246	14.672544	0.953876	7.979412	1.19438
4.064738	9.609976	8.530235	0.001	6.034938	5.570916	5.852477	2.257681	1.539826	14.654636	15.125966	7.155732	5.806555	13.795324
12.307571	12.287064	0.597126	0.001	2.243096	3.09982	9.983341	8.804118	8.628587	14.753922	0.797964	13.873706	1.628053	10.994633
4.494707	10.991629	4.456556	0.001	2.671386	11.98096	11.122072	11.60775	0.199039	11.816383	3.826327	8.098312	6.298023	12.435854
13.1627	2.314929	12.965834	0.002154	8.17969	7.82338	8.445851	3.223945	11.960734	16.229324	0.292092	6.33052	5.656024	3.412822
11.192321	5.4672	7.950478	0.002154	12.42417	0.070744	11.311017	8.089934	0.786686	0.043883	8.927294	13.583407	8.226606	11.924105
7.289187	12.777499	14.106089	0.002154	1.446309	1.209708	12.417879	1.157116	9.187399	4.05439	13.537672	11.310348	11.100268	0.403983
5.283247	9.515761	4.372104	0.002154	9.700424	1.354539	8.496424	2.28096	13.742444	7.364122	10.871597	6.885543	12.100614	8.030066
6.316851	3.753355	7.319977	0.002154	15.031637	8.486617	15.699253	2.45162	13.3906	2.844755	0.07322	11.344335	2.337958	10.947668
4.469786	7.356748	14.179123	0.004642	13.120677	5.588969	8.237339	2.568438	0.012104	5.933927	3.829252	13.305009	14.078476	7.315513
6.778	11.528708	0.080998	0.004642	9.914037	5.262326	12.378863	14.355767	4.518997	8.346759	11.012254	5.970738	1.310549	8.537361
16.999	11.547872	15.38311	0.004642	1.50298	1.167165	3.229386	15.666354	11.016894	12.226294	2.744722	4.142642	3.768279	0.600661
3.083394	12.242648	11.791595	0.004642	4.012027	5.245168	12.707603	12.757771	7.803713	9.534444	2.620774	3.767366	8.868176	5.560681
0.375301	6.450787	11.707068	0.004642	10.640123	5.786472	5.702597	8.048745	9.804072	12.336013	6.185105	11.357278	5.525533	6.076265
3.841525	9.581926	12.886088	0.01	8.149973	16.68602	18.350295	4.768238	3.807798	7.993696	0.031267	6.091524	5.730887	2.070763
2.65269	5.66357	15.122499	0.01	5.698105	3.0779	11.974803	11.304809	3.949062	11.476322	3.766452	9.013659	1.996012	14.294117
4.135658	11.258345	6.584522	0.01	4.071564	3.306984	1.666311	1.278139	11.056109	5.840314	14.542769	15.035447	0.684527	20.529313
12.440104	7.47463	3.786879	0.01	9.883425	10.17488	10.423265	4.180376	1.549836	6.995609	4.149983	8.764823	9.847569	10.318621
5.079533	1.596586	5.025566	0.01	1.793334	14.505887	7.942551	11.781543	0.20059	10.299495	11.544128	8.675494	12.281271	9.264022
4.548192	5.991424	12.037568	0.021544	5.486845	11.72249	11.625787	3.449059	12.888814	7.836502	4.520389	4.836139	8.658347	6.376899
0.649499	12.450517	10.436423	0.021544	16.263699	1.762378	2.273048	2.206593	0.167596	22.386347	0.281131	19.596462	8.47606	3.028701
10.88386	5.430943	12.745109	0.021544	1.99552	1.909211	6.177622	11.785473	12.036312	6.503485	9.0918	6.335083	3.266951	11.817087
11.937938	10.658367	12.280646	0.021544	8.748029	11.552411	11.212255	5.271054	10.136851	1.417597	10.131188	1.824782	1.216248	3.591091
14.115448	7.960004	3.256474	0.021544	2.673619	16.847407	0.994977	9.125626	6.760965	13.086637	3.28947	1.96056	14.827553	5.079716
11.972749	5.326802	14.875705	0.046416	12.772485	3.439533	0.989286	0.058177	13.041427	5.022342	12.667872	2.399672	13.805641	3.581894
5.473236	7.274503	3.196105	0.046416	3.265029	8.249629	4.537947	8.36211	10.284066	11.00764	10.379021	9.358914	10.362528	8.202855
1.635528	9.934231	5.71501	0.046416	6.378944	2.267809	13.270707	11.653812	3.418388	6.475316	10.691213	9.591382	7.445457	11.475785
14.626952	4.146553	7.249391	0.046416	5.722294	13.809225	2.87004	10.238946	15.393817	2.857659	4.539115	11.055504	2.670107	4.773981
14.028397	2.57178	2.428406	0.046416	6.691229	1.578581	11.955968	13.92848	8.414172	1.675811	8.959916	3.305506	11.896513	12.518825
9.620904	8.044592	3.596826	0.1	8.553121	1.298306	10.259245	6.428979	12.740308	14.010958	4.340915	1.570282	13.107298	6.328266
8.429314	12.550511	5.914004	0.1	5.91261	7.971725	4.049184	14.402527	8.80663	0.329932	10.564018	10.058663	5.227563	5.68332
4.801675	10.348927	13.570009	0.1	5.169346	6.386353	9.640302	10.963073	3.0308	7.619898	4.256726	8.83834	7.570131	7.70442
3.465317	15.047376	10.254931	0.1	14.876848	13.006546	7.136183	1.495051	2.555055	9.379	14.435099	3.087485	2.402612	2.758499
20.00906	5.463957	11.924424	0.1	0.212049	1.135094	14.851011	12.959387	1.795152	1.931134	5.179243	8.161381	10.062507	6.2156
11.167566	11.735886	5.495925	0.215443	11.999516	0.425047	8.381405	10.712851	5.165951	7.130842	7.893933	7.811537	2.238041	9.626056
2.774261	9.24376	3.405329	0.215443	12.53666	5.624138	11.579695	5.531165	2.179358	14.113535	14.728076	9.291982	1.269321	7.507277
16.214448	2.76897	8.197909	0.215443	4.618243	15.043859	6.371146	3.881494	2.906717	9.468613	0.660122	17.48605	11.654907	0.512078
8.459045	0.291055	13.272348	0.215443	9.553401	1.649191	7.546325	14.840712	3.180605	8.308308	2.154088	0.052955	15.507004	14.96952
6.311034	10.129194	10.911088	0.215443	9.509941	9.154138	11.938295	7.671841	0.130392	7.290357	5.265158	7.629465	4.299247	9.544408
9.245411	12.355565	3.638505	0.464159	1.022988	11.569931	0.972433	9.537308	13.173586	7.455426	8.449006	10.756886	4.73203	6.626767
1.639878	5.964022	6.588691	0.464159	10.846962	11.242327	13.770589	6.426365	5.232191	3.705859	8.293578	10.292753	7.098101	8.434523
13.510119	4.025515	5.607963	0.464159	12.407666	2.365651	3.319339	16.006085	15.251365	2.802238	1.027857	2.221888	12.888495	8.10166
1.786497	7.538313	11.655929	0.464159	10.774248	7.8779	9.319658	7.650925	11.162107	6.293499	7.976131	13.943589	0.527583	3.029462
1.766323	2.315972	10.185238	0.464159	12.04536	1.547213	14.701907	9.603653	5.028791	9.282604	2.388834	7.673632	3.465798	19.530516
14.192811	4.227464	13.795698	1.0	10.31205	3.73785	8.197482	7.485984	7.869288	11.187037	4.441153	0.952171	10.490756	2.110254
5.694552	8.119373	5.257239	1.0	4.922485	13.40051	11.943005	0.688316	3.514411	1.084977	5.800753	12.437155	14.118909	12.018312
5.954923	3.61312	7.560357	1.0	4.929155	0.166658	10.97245	12.985259	1.310034	9.707973	6.405749	12.89227	10.211209	12.290845
8.855273	11.461951	2.333095	1.0	10.965395	8.188401	11.452473	9.666059	11.276636	9.95458	0.818095	4.73462	2.29161	7.001812
0.78836	5.753814	6.609376	1.0	7.717197	9.075332	5.947046	15.026812	8.166554	12.677513	7.49074	7.687682	5.128137	6.931436
