CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
8.602406	4.202783	9.300239	10.783676	4.095767	10.941772	3.293288	7.038206	5.729227	0.001	3.383365	12.93539	13.128898	6.563985
14.086551	2.322893	1.341887	3.649506	6.616607	11.768697	5.480513	3.134604	12.604483	0.001	13.681661	8.211387	8.992028	8.108183
4.427963	4.192946	6.304178	6.783709	1.876249	12.701588	0.228145	14.00167	13.68804	0.001	4.310144	13.013349	7.835253	10.635766
7.1724	10.354202	8.014501	8.054163	1.492508	7.694104	5.4637	2.597134	10.652973	0.001	5.189388	11.985718	9.030409	12.2978
11.949114	4.201357	4.116856	9.714962	12.238241	6.162174	3.584925	13.859377	10.375089	0.001	6.555334	6.258327	3.917224	7.066021
7.585226	4.034013	5.754335	9.375319	6.779671	12.423906	8.763813	8.188735	8.447167	0.002154	4.288453	7.803079	2.132536	14.421593
10.34915	2.06267	11.188088	6.40587	10.341798	4.652215	6.098191	9.678924	6.234335	0.002154	7.581698	4.54913	9.628744	11.227034
6.250283	9.916399	5.06087	5.277996	5.159401	5.646445	9.264994	9.061822	13.442278	0.002154	7.650441	6.969308	11.006472	5.291135
10.84336	6.649499	9.597011	13.358988	5.871569	12.516756	9.054517	1.585375	5.828388	0.002154	2.630634	7.847177	1.219679	12.994895
12.79855	0.959247	1.386754	16.933651	5.519104	9.592339	6.635022	15.209615	17.646707	0.002154	3.905304	5.141706	3.201051	1.068795
3.684389	7.287537	3.876597	8.40485	5.948418	7.754995	8.622017	9.14614	0.930452	0.004642	14.098405	7.534239	12.375592	10.331725
2.992136	15.286851	18.715511	10.682734	3.704554	2.79826	9.839118	3.347704	11.540239	0.004642	9.054575	4.671788	5.005424	2.356465
5.186923	8.427228	6.674467	10.359759	0.684319	1.399405	5.703097	12.936779	0.08904	0.004642	3.963458	16.826489	12.27662	15.467774
3.242525	0.406853	10.213267	4.650481	0.274218	1.435509	11.308415	10.778151	13.24508	0.004642	8.389551	8.688946	13.847735	13.514628
11.790462	6.321871	13.126676	7.953742	1.250873	9.838675	8.948733	1.148648	9.786746	0.004642	3.04906	1.88801	11.058994	13.832868
8.697319	8.636978	10.022328	8.064266	8.198509	9.302279	5.294853	1.74478	1.118116	0.01	10.590752	9.86041	10.642413	7.816996
5.924601	7.510033	13.100895	13.473724	5.811936	8.146542	12.509328	11.341143	9.872453	0.01	6.812054	3.96265	1.366954	0.157687
7.321409	10.095595	3.130793	6.498289	15.133091	4.712653	14.002499	3.746995	1.926268	0.01	12.743052	1.286091	3.318045	16.07522
11.326374	8.477254	4.045995	2.312067	6.813965	9.071783	12.296983	11.584717	13.517584	0.01	1.585057	8.335545	4.146124	6.476552
2.165211	4.592375	1.073271	10.152103	2.176412	1.12484	20.914436	0.895712	1.392006	0.01	22.521249	2.703497	17.948407	12.330481
2.567176	11.381578	6.457778	10.045159	5.59553	7.605964	6.258242	9.75491	3.845873	0.021544	12.227151	10.230843	6.889232	7.11902
13.037873	14.23747	10.034148	1.169153	13.008808	0.327736	2.242968	10.330217	11.394364	0.021544	1.269846	11.184945	11.679473	0.061455
6.527032	8.038476	10.457021	11.741369	13.639918	0.760575	10.023186	4.510492	0.121547	0.021544	1.104119	13.325061	17.085409	2.644251
11.924428	6.942952	10.760064	7.707837	6.932795	13.789522	3.378331	7.617576	0.192159	0.021544	5.785468	0.2854	12.065322	12.596602
1.204544	4.123815	8.727751	6.303505	1.321936	6.176916	16.711072	9.151781	12.673265	0.021544	14.229633	2.358879	13.711832	3.28353
0.694781	4.706386	4.23269	10.500061	2.941135	13.423832	12.810715	6.374571	7.413689	0.046416	6.756119	15.597249	10.004964	4.497392
6.209791	8.766189	14.564379	4.891354	9.744666	7.4024	3.765371	9.520459	0.777395	0.046416	6.464929	15.466074	12.225396	0.15518
3.508502	11.718486	11.861048	14.82414	1.007787	4.730583	1.833105	15.673003	1.830772	0.046416	12.703806	2.586308	2.681418	14.994626
6.8645	4.318116	2.187372	8.234017	8.939757	8.956607	10.634977	11.205647	5.831805	0.046416	11.259575	11.155859	5.989433	4.375919
9.437958	6.488066	8.748904	5.274802	8.732642	6.286285	4.653373	7.905697	6.596788	0.046416	9.727651	5.537359	9.67881	10.885249
6.150197	11.8462	4.332317	10.840885	1.890671	12.56788	7.121325	8.08165	14.079114	0.1	3.207934	2.14763	11.622102	6.012098
12.818637	9.120258	0.082798	12.784545	11.469853	3.609843	6.962772	5.088171	2.632927	0.1	8.042475	6.285529	11.139941	9.86225
13.260935	0.305702	14.65428	7.788568	5.899321	16.097757	1.553256	7.531003	11.402142	0.1	2.393713	7.80412	6.813001	4.396203
1.710616	8.411184	4.342385	5.290129	14.420292	1.392317	14.819207	6.584739	11.721356	0.1	15.447141	1.533634	2.569971	11.657029
4.265904	11.416723	9.170651	6.613559	11.667555	8.827266	11.683105	5.147704	9.135154	0.1	1.535283	6.867848	5.550219	8.019031
4.032465	3.339973	8.704699	7.791688	11.203163	9.161972	6.441471	6.34607	13.479708	0.215443	7.11213	10.320082	6.202503	5.648633
10.408407	0.423591	4.73302	1.767289	2.336465	5.872986	6.817669	9.033116	7.842542	0.215443	14.951098	13.036265	15.342656	7.219453
3.201598	14.785413	5.629047	2.224219	2.714547	4.219405	15.473324	3.280814	7.997935	0.215443	1.533909	16.927231	10.39398	11.403134
9.870076	3.193108	2.261277	6.504765	6.418507	6.331153	11.000161	9.495392	5.063577	0.215443	12.181048	9.869263	8.02892	9.567311
4.598702	6.044218	7.318428	3.095232	11.960467	12.523	5.259722	14.425364	16.205832	0.215443	1.399831	4.169662	1.348665	11.435434
8.038991	10.181604	3.382072	4.366721	5.754625	12.274728	10.955149	11.485571	4.799538	0.464159	4.342343	2.692192	10.288942	10.973365
9.5393	5.474014	0.539364	8.815222	15.357968	0.92588	12.80173	2.076922	10.259321	0.464159	4.090284	1.88104	13.641549	14.133245
11.825552	6.997395	12.228878	6.246933	8.792947	9.138299	7.391519	3.128955	2.448549	0.464159	12.168048	3.198158	11.413248	4.55736
2.083362	1.373288	16.184908	9.082882	10.482906	10.034301	1.307509	9.113045	13.301271	0.464159	0.836549	7.36372	8.713149	9.65895
8.107649	8.084068	5.318281	12.112912	14.595479	4.201427	13.743911	5.151678	3.491333	0.464159	6.00725	8.508717	9.128338	1.084798
4.742713	12.990474	3.849717	6.353751	9.313435	10.11674	9.239268	12.66756	2.285074	1.0	10.295724	1.25607	7.922667	7.966806
7.309741	3.382852	11.452802	10.324555	9.988686	3.486286	3.577651	9.659727	7.709766	1.0	7.607207	3.330045	10.943936	10.226747
10.804438	6.71598	3.00703	2.787985	14.451762	20.280762	6.925839	0.833224	1.678442	1.0	5.211201	1.701567	5.196412	19.405357
11.735686	12.558901	6.770307	1.284695	17.822409	11.695813	5.923458	1.110961	3.062389	1.0	8.615514	9.014388	3.906926	5.498552
8.539429	13.934627	3.786135	4.013515	4.220722	13.247397	1.032492	9.624132	12.43252	1.0	2.491083	10.441918	7.67685	7.559181
