CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.001	7.885888	2.172402	5.478062	12.513055	9.100476	5.10692	11.611825	10.871841	1.123017	1.059433	16.380862	7.448356	9.246863
0.001	0.515664	15.861884	9.626723	11.582871	14.465188	4.474178	6.371656	7.046899	12.120064	4.913278	5.276999	1.838617	5.904979
0.001	3.48717	6.667517	8.796901	11.762315	8.813112	1.305429	15.326116	10.264903	4.392718	11.110514	2.75527	11.134863	4.182172
0.001	3.417728	1.902984	15.545089	7.867087	0.922468	15.956744	16.541893	15.51133	7.561372	0.273998	2.296787	11.548417	0.653103
0.001	3.631581	6.115137	4.998415	6.026518	1.270327	14.014586	11.798737	4.215429	7.670527	8.949419	9.286673	4.291705	17.729946
0.001	6.378612	13.468614	1.997159	9.401921	14.307727	6.166598	8.384569	10.248983	7.00543	1.340178	3.147681	7.445246	10.706281
0.001	12.910845	5.115678	8.32251	14.061429	4.458166	13.037363	2.423986	11.181157	0.708082	1.526962	10.306363	5.092503	10.853956
0.001	7.471905	3.904964	5.139787	6.299393	14.171968	7.376099	0.225385	14.445394	13.631335	11.018646	3.303329	11.802544	1.208253
0.001	0.178436	11.212416	17.287602	10.291441	17.361052	3.392646	15.902252	0.145936	7.194165	2.656035	0.821653	2.335723	11.219644
0.001	0.306441	3.203423	1.736271	10.672808	0.984573	4.144425	11.211986	15.270986	7.253652	8.369984	25.288776	8.846603	2.70907
0.417625	8.987519	11.278151	13.498892	4.193218	8.734042	1.625627	3.687194	2.655072	7.742423	10.059492	10.437347	3.848543	12.834855
0.417625	4.489202	2.657684	3.083539	9.60476	7.098698	2.325366	1.349514	18.14731	3.095479	13.665014	18.853438	8.138503	7.073867
0.417625	10.564403	4.24107	12.765859	8.177357	3.328701	15.635297	13.635099	1.812913	5.819428	3.511292	12.692182	3.346299	4.052474
0.417625	3.067233	10.87597	10.487285	10.18831	3.216025	9.621558	1.536259	4.359058	11.720356	10.835354	7.297255	14.952669	1.425043
0.417625	8.40712	5.883332	1.124189	3.690609	4.618301	10.550238	12.959171	11.493192	3.590306	8.107895	9.732502	12.139015	7.286506
0.417625	11.840542	7.78766	11.636605	3.797321	11.655761	12.109857	6.196495	5.322528	6.301474	5.132501	5.093539	5.399991	7.308102
