CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
13.458889	5.224412	5.78719	11.57491	11.415694	2.490757	1.0	2.990081	2.626577	4.156315	13.623489	11.167708	7.832729	6.651249
9.417131	10.007034	9.02541	14.504394	9.223341	0.175766	1.0	0.767029	2.984286	8.281125	6.94554	12.211848	7.288417	8.16868
2.447785	4.38784	3.226432	4.823943	7.605816	7.902037	1.0	7.567043	9.393697	5.214373	10.735132	4.98585	14.005896	16.704157
8.992592	14.237932	3.965972	6.073723	4.704498	2.871249	1.0	12.733162	0.84755	15.023404	5.075672	7.713453	12.405	4.355794
10.189012	5.118014	12.674008	12.692726	10.7194	2.430385	1.0	10.318006	4.478284	4.774892	3.191736	5.219592	12.512922	4.681024
5.942998	0.486423	5.935483	11.451935	13.332411	2.415897	10.888889	3.864812	11.704514	8.72172	9.627102	1.290229	2.774659	11.56293
1.065426	9.860702	5.78971	7.97524	1.244864	9.051062	10.888889	6.415182	6.845263	4.327949	4.71486	12.788795	7.191425	11.840631
2.101186	5.299976	13.267994	14.580201	14.643976	3.718497	10.888889	3.926581	3.837602	0.717089	5.404928	13.993542	3.251611	4.367926
12.029356	7.010566	9.204572	10.10406	11.298338	1.472125	10.888889	5.053517	4.702095	5.365128	2.093602	12.865788	5.160143	2.751823
2.672997	7.767264	10.837064	4.373583	1.813494	6.189541	10.888889	6.66333	7.851581	6.788498	11.233705	3.216449	11.3712	8.332403
1.951671	4.120766	7.03042	8.604204	8.69523	0.4869	20.777778	10.772475	3.498511	6.121066	10.511985	0.302487	4.680377	12.446129
10.358095	2.214479	4.940075	10.107306	3.539739	3.506609	20.777778	5.58458	0.022943	10.367208	13.673728	8.543784	0.797062	5.566614
6.227614	0.823878	6.49698	7.001091	8.82609	0.749247	20.777778	7.845149	10.123138	4.565154	9.530757	2.707638	10.331169	3.994316
6.217081	9.968907	3.787337	9.541186	8.756018	8.743845	20.777778	7.769961	5.133372	1.267783	8.011398	1.971408	0.228025	7.825901
12.685426	0.390854	12.797471	2.010171	1.354294	0.731571	20.777778	12.615814	8.354394	0.495792	9.659797	3.804499	4.897291	9.424848
8.318265	5.867895	3.67753	1.92807	5.463853	3.976367	30.666667	0.210632	0.009567	6.04994	9.558191	9.702098	7.18712	7.383808
6.116253	5.138622	0.711407	3.307503	7.264085	5.030032	30.666667	5.032006	7.382776	8.318375	3.630295	6.803466	6.817725	3.780789
4.057547	4.366197	1.362904	0.944648	8.383837	1.286244	30.666667	12.699571	0.108184	12.521882	4.102603	4.924403	13.155106	1.420207
5.015495	4.651325	5.917089	6.936564	2.863831	6.261856	30.666667	0.37104	7.541822	7.103669	5.005488	5.581589	5.136944	6.946623
10.339576	12.007925	5.579856	1.313546	8.574227	3.044147	30.666667	2.312181	5.79452	3.334522	0.788552	11.465461	3.689117	1.089703
2.148788	5.974246	12.316307	0.045607	1.558327	2.815776	40.555556	2.492591	3.928065	4.908627	2.272544	2.46945	7.356888	11.15723
5.986285	4.745276	5.276714	2.831218	6.713169	3.020763	40.555556	5.120551	3.841554	5.665821	6.767674	6.890572	0.148281	2.436565
1.699863	4.554588	0.277482	8.825735	8.085442	2.800041	40.555556	5.03583	3.120788	3.364397	8.778215	5.929045	4.937432	2.035588
